sequence,v115@RhA8DeC8BeC8AeE8KeT/IvhFelBChBXiBdoB5oB8qB,v115@RhA8DeC8BeC8AeE8Kei/IvhF5lBNmBUiBGjBzkB/tB,v115@RhA8DeC8BeC8AeE8Ke/EJvhFNmBUiBaoB5oBTlBGqB
TILJSZO,O,O,O
TILJSOZ,O,O,O
TILJZSO,O,O,O
TILJZOS,O,X,O
TILJOSZ,O,X,O
TILJOZS,O,X,O
TILSJZO,O,O,O
TILSJOZ,O,O,O
TILSZJO,O,O,O
TILSZOJ,O,O,O
TILSOJZ,O,O,O
TILSOZJ,O,O,O
TILZJSO,O,O,O
TILZJOS,O,X,O
TILZSJO,O,O,O
TILZSOJ,O,O,O
TILZOJS,O,O,O
TILZOSJ,O,O,O
TILOJSZ,O,O,O
TILOJZS,O,O,O
TILOSJZ,O,O,O
TILOSZJ,O,O,O
TILOZJS,O,O,O
TILOZSJ,O,O,O
TIJLSZO,O,O,O
TIJLSOZ,O,O,O
TIJLZSO,O,O,O
TIJLZOS,O,X,O
TIJLOSZ,O,X,O
TIJLOZS,O,X,O
TIJSLZO,O,O,O
TIJSLOZ,O,O,O
TIJSZLO,O,O,O
TIJSZOL,O,O,O
TIJSOLZ,O,O,O
TIJSOZL,O,O,O
TIJZLSO,O,O,O
TIJZLOS,O,X,O
TIJZSLO,O,O,O
TIJZSOL,O,O,O
TIJZOLS,O,O,O
TIJZOSL,O,O,O
TIJOLSZ,O,O,O
TIJOLZS,O,O,O
TIJOSLZ,O,O,O
TIJOSZL,O,O,O
TIJOZLS,O,O,O
TIJOZSL,O,O,O
TISLJZO,O,O,O
TISLJOZ,O,O,O
TISLZJO,O,O,O
TISLZOJ,O,O,O
TISLOJZ,O,O,O
TISLOZJ,O,O,O
TISJLZO,O,O,O
TISJLOZ,O,O,O
TISJZLO,O,O,O
TISJZOL,O,O,O
TISJOLZ,O,O,O
TISJOZL,O,O,O
TISZLJO,O,O,O
TISZLOJ,O,O,O
TISZJLO,O,O,O
TISZJOL,O,O,O
TISZOLJ,O,O,O
TISZOJL,O,O,O
TISOLJZ,O,O,O
TISOLZJ,O,O,O
TISOJLZ,O,O,O
TISOJZL,O,O,O
TISOZLJ,O,O,O
TISOZJL,O,O,O
TIZLJSO,O,O,O
TIZLJOS,O,X,O
TIZLSJO,O,O,O
TIZLSOJ,O,O,O
TIZLOJS,O,O,O
TIZLOSJ,O,O,O
TIZJLSO,O,O,O
TIZJLOS,O,X,O
TIZJSLO,O,O,O
TIZJSOL,O,O,O
TIZJOLS,O,O,O
TIZJOSL,O,O,O
TIZSLJO,O,O,O
TIZSLOJ,O,O,O
TIZSJLO,O,O,O
TIZSJOL,O,O,O
TIZSOLJ,O,O,O
TIZSOJL,O,O,O
TIZOLJS,O,O,O
TIZOLSJ,O,O,O
TIZOJLS,O,O,O
TIZOJSL,O,O,O
TIZOSLJ,O,O,O
TIZOSJL,O,O,O
TIOLJSZ,O,O,O
TIOLJZS,O,O,O
TIOLSJZ,O,O,O
TIOLSZJ,O,O,O
TIOLZJS,O,O,O
TIOLZSJ,O,O,O
TIOJLSZ,O,O,O
TIOJLZS,O,O,O
TIOJSLZ,O,O,O
TIOJSZL,O,O,O
TIOJZLS,O,O,O
TIOJZSL,O,O,O
TIOSLJZ,O,O,O
TIOSLZJ,O,O,O
TIOSJLZ,O,O,O
TIOSJZL,O,O,O
TIOSZLJ,O,O,O
TIOSZJL,O,O,O
TIOZLJS,O,O,O
TIOZLSJ,O,O,O
TIOZJLS,O,O,O
TIOZJSL,O,O,O
TIOZSLJ,O,O,O
TIOZSJL,O,O,O
TLIJSZO,O,O,O
TLIJSOZ,O,O,O
TLIJZSO,O,O,O
TLIJZOS,O,X,O
TLIJOSZ,O,X,O
TLIJOZS,O,X,O
TLISJZO,O,O,O
TLISJOZ,O,O,O
TLISZJO,O,O,O
TLISZOJ,O,O,O
TLISOJZ,O,O,O
TLISOZJ,O,O,O
TLIZJSO,O,O,O
TLIZJOS,O,X,O
TLIZSJO,O,O,O
TLIZSOJ,O,O,O
TLIZOJS,O,O,O
TLIZOSJ,O,O,O
TLIOJSZ,O,O,O
TLIOJZS,O,O,O
TLIOSJZ,O,O,O
TLIOSZJ,O,O,O
TLIOZJS,O,O,O
TLIOZSJ,O,O,O
TLJISZO,O,O,O
TLJISOZ,O,O,O
TLJIZSO,O,O,O
TLJIZOS,O,X,O
TLJIOSZ,O,X,O
TLJIOZS,O,X,O
TLJSIZO,O,O,O
TLJSIOZ,O,O,O
TLJSZIO,O,O,O
TLJSZOI,O,O,O
TLJSOIZ,O,O,O
TLJSOZI,O,O,O
TLJZISO,O,O,O
TLJZIOS,O,X,O
TLJZSIO,O,O,O
TLJZSOI,O,O,O
TLJZOIS,O,X,O
TLJZOSI,O,X,O
TLJOISZ,O,X,O
TLJOIZS,O,X,O
TLJOSIZ,O,X,O
TLJOSZI,O,X,O
TLJOZIS,O,X,O
TLJOZSI,O,X,O
TLSIJZO,O,O,O
TLSIJOZ,O,O,O
TLSIZJO,O,O,O
TLSIZOJ,O,O,O
TLSIOJZ,O,O,O
TLSIOZJ,O,O,O
TLSJIZO,O,O,O
TLSJIOZ,O,O,O
TLSJZIO,O,O,O
TLSJZOI,O,O,O
TLSJOIZ,O,O,O
TLSJOZI,O,O,O
TLSZIJO,O,O,O
TLSZIOJ,O,O,O
TLSZJIO,O,O,O
TLSZJOI,O,O,O
TLSZOIJ,O,O,O
TLSZOJI,O,O,O
TLSOIJZ,O,O,O
TLSOIZJ,O,O,O
TLSOJIZ,O,O,O
TLSOJZI,O,O,O
TLSOZIJ,O,O,O
TLSOZJI,O,O,O
TLZIJSO,O,O,O
TLZIJOS,O,X,O
TLZISJO,O,O,O
TLZISOJ,O,O,O
TLZIOJS,O,O,O
TLZIOSJ,O,O,O
TLZJISO,O,O,O
TLZJIOS,O,X,O
TLZJSIO,O,O,O
TLZJSOI,O,O,O
TLZJOIS,O,X,O
TLZJOSI,O,X,O
TLZSIJO,O,O,O
TLZSIOJ,O,O,O
TLZSJIO,O,O,O
TLZSJOI,O,O,O
TLZSOIJ,O,O,O
TLZSOJI,O,O,O
TLZOIJS,O,O,O
TLZOISJ,O,O,O
TLZOJIS,O,O,O
TLZOJSI,O,O,O
TLZOSIJ,O,O,O
TLZOSJI,O,O,O
TLOIJSZ,O,O,O
TLOIJZS,O,O,O
TLOISJZ,O,O,O
TLOISZJ,O,O,O
TLOIZJS,O,O,O
TLOIZSJ,O,O,O
TLOJISZ,O,O,O
TLOJIZS,O,O,O
TLOJSIZ,O,O,O
TLOJSZI,O,O,O
TLOJZIS,O,O,O
TLOJZSI,O,O,O
TLOSIJZ,O,O,O
TLOSIZJ,O,O,O
TLOSJIZ,O,O,O
TLOSJZI,O,O,O
TLOSZIJ,O,O,O
TLOSZJI,O,O,O
