sequence,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeWAJvhExbB6iBXhB8?mBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeWAJvhExbBTdBXhBC?nBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhECdBGgB/mBT?iBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhEFdBXhBSnBx?qBuqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhEchBTdBGgBC?nBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeC7IvhExcB+mBTiB3?lBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeWAJvhExcB6mBTiB0?gBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhEfiB6iBxqBu?qBUrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhEWhB6iB8mBX?hBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhEfiB6iBVmBx?qBuqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeC7IvhExcBTiBGmB/?qBFrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhEfiB6iBUhBx?qBuqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhERcB+iBUhB9?qB3rB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeC7IvhExcBTiBFmB/?qBGrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhEXdBSnBxqBu?qBFrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhEugBSiB/mBU?iBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhESiBGgB/mBU?iBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhERcB+iB3hB9?qBUrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex7IvhETdBuqBCsBf?qBFrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhETdBuqBCsBc?rBFqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhEchBTdB1qBC?nBGqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhECcBGiBxqB8?qBXsB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhEUcBXiBxqBt?qBGsB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex8IvhEfmB6mBTiBU?lBGqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Je8BJvhE+iBRgBXhBF?lBCrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeX9IvhERgBSnBuqBF?qBTrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Je08IvhE6iBRgBuqB3?rBFqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhECdB/mBTiB1?qBGqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex8IvhEGgB6mBTiB8?qBFqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeT9IvhERgBWnBXhBF?lBCrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex8IvhETiBFmBflBG?mB6qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jel7IvhECdBTiBGmBf?lB8qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeWAJvhETdB3lBCnBc?mBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jel7IvhETdBuqBCsBf?qBcrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeG9IvhERhBzlBCnBf?lBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex7IvhE6iB8mBuqBf?qBFrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhECdBTiBGmBF?lB8qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhETdB3lBCnBc?mBGqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeSBJvhETdBWrBxmBf?lBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Je/BJvhEGgBTiB8qBF?qBCsB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JefCJvhE6iBRgBGmBF?lB8qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex8IvhEGhBTiBUmBf?lB6qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex8IvhE8lB+mBTiBf?lB6qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex8IvhEXhBTiBSrBF?lBGqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex8IvhETiBGmBflBF?mB6qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeC9IvhERgBTiBGmBF?lB8qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeWAJvhE1hB6iBRmB/?qBUrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeWAJvhEXhBTiBCiBx?qBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Je07IvhETdBtqBxrBf?qB6rB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JecBJvhETdB5lBCsBf?qBmqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhE+iBRhB3hB9?qBUrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhE+iBRhBUhB9?qB3rB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex7IvhE6iBzhBuqBf?qBUrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex7IvhE6iBzhBUmBf?lBuqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeG9IvhEzgBUiBSrBf?lBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhEFdBSnB3lBT?mBGqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex8IvhEfmBSnBUlBl?mBGqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeC9IvhEGgB/mBTiBF?lB8qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhEUdBFhBSnBx?qBuqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeR7IvhEfiB6iBGmBF?lB8qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeC7IvhExcBGhBTiBU?mB/qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jex7IvhE8hB+iBzgBf?lBCrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeC7IvhE8gBTdBxmB+?mB/qB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeC9IvhEUhBTiBWrBf?lBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jem7IvhE5lBcrBTnBf?qBCsB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jez6IvhE+iBFmB8mB3?lBCrB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeWAJvhEUdBXhBSnBx?qBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Jel7IvhEGiBRmBflB8?qBCsB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeGCJvhERmBflBzlBC?nBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeGAJvhExhB6mBTiB8?qBFqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeC9IvhERgBTiBGgB/?mBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8JeuFJvhEcmBTiBflBC?nBlqB,v115@zgA8GeC8GeE8EeD8DeG8AeF8Je8AJvhETdBxmBflB+?mB6qB
TILJSZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,O,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,O,X,O,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
