sequence,v115@vhG5+I/kBVnByqB2uBUsBTtB
TILJSZO,X
TILJSOZ,X
TILJZSO,X
TILJZOS,X
TILJOSZ,X
TILJOZS,X
TILSJZO,X
TILSJOZ,X
TILSZJO,X
TILSZOJ,X
TILSOJZ,X
TILSOZJ,X
TILZJSO,X
TILZJOS,X
TILZSJO,X
TILZSOJ,X
TILZOJS,X
TILZOSJ,X
TILOJSZ,X
TILOJZS,X
TILOSJZ,X
TILOSZJ,X
TILOZJS,X
TILOZSJ,X
TIJLSZO,X
TIJLSOZ,X
TIJLZSO,X
TIJLZOS,X
TIJLOSZ,X
TIJLOZS,X
TIJSLZO,X
TIJSLOZ,X
TIJSZLO,X
TIJSZOL,X
TIJSOLZ,X
TIJSOZL,X
TIJZLSO,X
TIJZLOS,X
TIJZSLO,X
TIJZSOL,X
TIJZOLS,X
TIJZOSL,X
TIJOLSZ,X
TIJOLZS,X
TIJOSLZ,X
TIJOSZL,X
TIJOZLS,X
TIJOZSL,X
TISLJZO,X
TISLJOZ,X
TISLZJO,X
TISLZOJ,X
TISLOJZ,X
TISLOZJ,X
TISJLZO,X
TISJLOZ,X
TISJZLO,X
TISJZOL,X
TISJOLZ,X
TISJOZL,X
TISZLJO,X
TISZLOJ,X
TISZJLO,X
TISZJOL,X
TISZOLJ,X
TISZOJL,X
TISOLJZ,X
TISOLZJ,X
TISOJLZ,X
TISOJZL,X
TISOZLJ,X
TISOZJL,X
TIZLJSO,X
TIZLJOS,X
TIZLSJO,X
TIZLSOJ,X
TIZLOJS,X
TIZLOSJ,X
TIZJLSO,X
TIZJLOS,X
TIZJSLO,X
TIZJSOL,X
TIZJOLS,X
TIZJOSL,X
TIZSLJO,X
TIZSLOJ,X
TIZSJLO,X
TIZSJOL,X
TIZSOLJ,X
TIZSOJL,X
TIZOLJS,X
TIZOLSJ,X
TIZOJLS,X
TIZOJSL,X
TIZOSLJ,X
TIZOSJL,X
TIOLJSZ,X
TIOLJZS,X
TIOLSJZ,X
TIOLSZJ,X
TIOLZJS,X
TIOLZSJ,X
TIOJLSZ,X
TIOJLZS,X
TIOJSLZ,X
TIOJSZL,X
TIOJZLS,X
TIOJZSL,X
TIOSLJZ,X
TIOSLZJ,X
TIOSJLZ,X
TIOSJZL,X
TIOSZLJ,X
TIOSZJL,X
TIOZLJS,X
TIOZLSJ,X
TIOZJLS,X
TIOZJSL,X
TIOZSLJ,X
TIOZSJL,X
TLIJSZO,X
TLIJSOZ,X
TLIJZSO,X
TLIJZOS,X
TLIJOSZ,X
TLIJOZS,X
TLISJZO,X
TLISJOZ,X
TLISZJO,X
TLISZOJ,X
TLISOJZ,X
TLISOZJ,X
TLIZJSO,X
TLIZJOS,X
TLIZSJO,X
TLIZSOJ,X
TLIZOJS,X
TLIZOSJ,X
TLIOJSZ,X
TLIOJZS,X
TLIOSJZ,X
TLIOSZJ,X
TLIOZJS,X
TLIOZSJ,X
TLJISZO,X
TLJISOZ,X
TLJIZSO,X
TLJIZOS,X
TLJIOSZ,X
TLJIOZS,X
TLJSIZO,X
TLJSIOZ,X
TLJSZIO,X
TLJSZOI,X
TLJSOIZ,X
TLJSOZI,X
TLJZISO,X
TLJZIOS,X
TLJZSIO,X
TLJZSOI,X
TLJZOIS,X
TLJZOSI,X
TLJOISZ,X
TLJOIZS,X
TLJOSIZ,X
TLJOSZI,X
TLJOZIS,X
TLJOZSI,X
TLSIJZO,X
TLSIJOZ,X
TLSIZJO,X
TLSIZOJ,X
TLSIOJZ,X
TLSIOZJ,X
TLSJIZO,X
TLSJIOZ,X
TLSJZIO,X
TLSJZOI,X
TLSJOIZ,X
TLSJOZI,X
TLSZIJO,X
TLSZIOJ,X
TLSZJIO,X
TLSZJOI,X
TLSZOIJ,X
TLSZOJI,X
TLSOIJZ,X
TLSOIZJ,X
TLSOJIZ,X
TLSOJZI,X
TLSOZIJ,X
TLSOZJI,X
TLZIJSO,X
TLZIJOS,X
TLZISJO,X
TLZISOJ,X
TLZIOJS,X
TLZIOSJ,X
TLZJISO,X
TLZJIOS,X
TLZJSIO,X
TLZJSOI,X
TLZJOIS,X
TLZJOSI,X
TLZSIJO,X
TLZSIOJ,X
TLZSJIO,X
TLZSJOI,X
TLZSOIJ,X
TLZSOJI,X
TLZOIJS,X
TLZOISJ,X
TLZOJIS,X
TLZOJSI,X
TLZOSIJ,X
TLZOSJI,X
TLOIJSZ,X
TLOIJZS,X
TLOISJZ,X
TLOISZJ,X
TLOIZJS,X
TLOIZSJ,X
TLOJISZ,X
TLOJIZS,X
TLOJSIZ,X
TLOJSZI,X
TLOJZIS,X
TLOJZSI,X
TLOSIJZ,X
TLOSIZJ,X
TLOSJIZ,X
TLOSJZI,X
TLOSZIJ,X
TLOSZJI,X
TLOZIJS,X
TLOZISJ,X
TLOZJIS,X
TLOZJSI,X
TLOZSIJ,X
TLOZSJI,X
TJILSZO,X
TJILSOZ,X
TJILZSO,X
TJILZOS,X
TJILOSZ,X
TJILOZS,X
TJISLZO,X
TJISLOZ,X
TJISZLO,X
TJISZOL,X
TJISOLZ,X
TJISOZL,X
TJIZLSO,X
TJIZLOS,X
TJIZSLO,X
TJIZSOL,X
TJIZOLS,X
TJIZOSL,X
TJIOLSZ,X
TJIOLZS,X
TJIOSLZ,X
TJIOSZL,X
TJIOZLS,X
TJIOZSL,X
TJLISZO,X
TJLISOZ,X
TJLIZSO,X
TJLIZOS,X
TJLIOSZ,X
TJLIOZS,X
TJLSIZO,X
TJLSIOZ,X
TJLSZIO,O
TJLSZOI,O
TJLSOIZ,O
TJLSOZI,O
TJLZISO,O
TJLZIOS,O
TJLZSIO,O
TJLZSOI,O
TJLZOIS,O
TJLZOSI,O
TJLOISZ,O
TJLOIZS,O
TJLOSIZ,O
TJLOSZI,O
TJLOZIS,O
TJLOZSI,O
TJSILZO,X
TJSILOZ,X
TJSIZLO,X
TJSIZOL,X
TJSIOLZ,X
TJSIOZL,X
TJSLIZO,X
TJSLIOZ,X
TJSLZIO,O
TJSLZOI,O
TJSLOIZ,O
TJSLOZI,O
TJSZILO,O
TJSZIOL,O
TJSZLIO,O
TJSZLOI,O
TJSZOIL,O
TJSZOLI,O
TJSOILZ,O
TJSOIZL,O
TJSOLIZ,O
TJSOLZI,O
TJSOZIL,O
TJSOZLI,O
TJZILSO,O
TJZILOS,O
TJZISLO,O
TJZISOL,O
TJZIOLS,O
TJZIOSL,O
TJZLISO,O
TJZLIOS,O
TJZLSIO,O
TJZLSOI,O
TJZLOIS,O
TJZLOSI,O
TJZSILO,O
TJZSIOL,O
TJZSLIO,O
TJZSLOI,O
TJZSOIL,O
TJZSOLI,O
TJZOILS,O
TJZOISL,O
TJZOLIS,O
TJZOLSI,O
TJZOSIL,O
TJZOSLI,O
TJOILSZ,O
TJOILZS,O
TJOISLZ,O
TJOISZL,O
TJOIZLS,O
TJOIZSL,O
TJOLISZ,O
TJOLIZS,O
TJOLSIZ,O
TJOLSZI,O
TJOLZIS,O
TJOLZSI,O
TJOSILZ,O
TJOSIZL,O
TJOSLIZ,O
TJOSLZI,O
TJOSZIL,O
TJOSZLI,O
TJOZILS,O
TJOZISL,O
TJOZLIS,O
TJOZLSI,O
TJOZSIL,O
TJOZSLI,O
TSILJZO,X
TSILJOZ,X
TSILZJO,X
TSILZOJ,X
TSILOJZ,X
TSILOZJ,X
TSIJLZO,X
TSIJLOZ,X
TSIJZLO,X
TSIJZOL,X
TSIJOLZ,X
TSIJOZL,X
TSIZLJO,X
TSIZLOJ,X
TSIZJLO,X
TSIZJOL,X
TSIZOLJ,X
TSIZOJL,X
TSIOLJZ,X
TSIOLZJ,X
TSIOJLZ,X
TSIOJZL,X
TSIOZLJ,X
TSIOZJL,X
TSLIJZO,X
TSLIJOZ,X
TSLIZJO,X
TSLIZOJ,X
TSLIOJZ,X
TSLIOZJ,X
TSLJIZO,X
TSLJIOZ,X
TSLJZIO,X
TSLJZOI,X
TSLJOIZ,X
TSLJOZI,X
TSLZIJO,X
TSLZIOJ,X
TSLZJIO,X
TSLZJOI,X
TSLZOIJ,X
TSLZOJI,X
TSLOIJZ,X
TSLOIZJ,X
TSLOJIZ,X
TSLOJZI,X
TSLOZIJ,X
TSLOZJI,X
TSJILZO,X
TSJILOZ,X
