sequence,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je5EJvhF0hB6nBTjB3?lBlrBOqB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeuEJvhF6nBTjBxlB8?rBFmBXqB,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je5EJvhFigBTjBcqB/?rBGsBFsB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeWFJvhFxgBSoBXmB8?rBlnBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeFAJvhFXhB+nBTjBq?pBxqB8rB,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je5EJvhFSnBTjBOqB/?rBlqBUsB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeCAJvhFGjBllBRnB/?rBUnBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeWFJvhFThBSoB8rBl?nBRqBXqB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeCAJvhFGjBxlBlnBX?mB8rBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeFBJvhFGjBClB3nBx?qB8rBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je1FJvhFRiBSoBWqBU?nB/rBzpB
TSJZOLI,O,O,O,X,X,X,X,X,X,X,X
TSJOILZ,O,X,X,X,X,O,X,X,O,X,X
TSJOIZL,O,X,O,X,X,X,X,X,X,X,X
TSJOLIZ,O,X,X,X,X,O,X,X,O,X,X
TSJOLZI,O,O,X,X,X,X,X,X,X,X,X
TSJOZIL,O,O,O,X,X,X,X,X,X,X,X
TSJOZLI,O,O,O,X,X,X,X,X,X,X,X
TSZILJO,O,O,O,X,X,X,X,X,X,X,X
TSZILOJ,O,O,O,X,X,X,X,X,X,X,X
TSZIJLO,O,O,O,X,X,X,X,X,X,X,X
TSZIJOL,O,O,O,X,X,X,X,X,X,X,X
TSZIOLJ,O,O,O,X,X,X,X,X,X,X,X
TSZIOJL,O,O,O,X,X,X,X,X,X,X,X
TSZLIJO,O,O,O,X,X,X,X,X,X,X,X
TSZLIOJ,O,O,O,X,X,X,X,X,X,X,X
TSZLJIO,O,O,O,X,X,X,X,X,X,X,X
TSZLJOI,O,O,O,X,X,X,X,X,X,X,X
TSZLOIJ,O,O,O,X,X,X,X,X,X,X,X
TSZLOJI,O,O,O,X,X,X,X,X,X,X,X
TSZJILO,O,O,O,X,X,X,X,X,X,X,X
TSZJIOL,O,O,O,X,X,X,X,X,X,X,X
TSZJLIO,O,O,O,X,X,X,X,X,X,X,X
TSZJLOI,O,O,O,X,X,X,X,X,X,X,X
TSZJOIL,O,O,O,X,X,X,X,X,X,X,X
TSZJOLI,O,O,O,X,X,X,X,X,X,X,X
TSZOILJ,O,O,O,X,X,X,X,X,X,X,X
TSZOIJL,O,O,O,X,X,X,X,X,X,X,X
TSZOLIJ,O,O,O,X,X,X,X,X,X,X,X
TSZOLJI,O,O,O,X,X,X,X,X,X,X,X
TSZOJIL,O,O,O,X,X,X,X,X,X,X,X
TSZOJLI,O,O,O,X,X,X,X,X,X,X,X
TSOILJZ,O,X,X,X,X,O,X,X,O,X,X
TSOILZJ,O,X,X,X,X,X,X,X,X,X,X
TSOIJLZ,O,X,X,X,X,O,X,X,O,X,X
TSOIJZL,O,X,O,X,X,X,X,X,X,X,X
TSOIZLJ,O,X,O,X,X,X,X,X,X,X,X
TSOIZJL,O,X,O,X,X,X,X,X,X,X,X
TSOLIJZ,O,X,X,X,X,O,X,X,O,X,X
TSOLIZJ,O,X,X,X,X,X,X,X,X,X,X
TSOLJIZ,O,X,X,X,X,O,X,X,O,X,X
TSOLJZI,O,O,X,X,X,X,X,X,X,X,X
TSOLZIJ,O,O,X,X,X,X,X,X,X,X,X
TSOLZJI,O,O,X,X,X,X,X,X,X,X,X
TSOJILZ,O,X,X,X,X,O,X,X,O,X,X
TSOJIZL,O,X,O,X,X,X,X,X,X,X,X
TSOJLIZ,O,X,X,X,X,O,X,X,O,X,X
TSOJLZI,O,O,X,X,X,X,X,X,X,X,X
TSOJZIL,O,O,O,X,X,X,X,X,X,X,X
TSOJZLI,O,O,O,X,X,X,X,X,X,X,X
TSOZILJ,O,O,O,X,X,X,X,X,X,X,X
TSOZIJL,O,O,O,X,X,X,X,X,X,X,X
TSOZLIJ,O,O,O,X,X,X,X,X,X,X,X
TSOZLJI,O,O,O,X,X,X,X,X,X,X,X
TSOZJIL,O,O,O,X,X,X,X,X,X,X,X
TSOZJLI,O,O,O,X,X,X,X,X,X,X,X
TZILJSO,O,X,X,X,X,X,O,X,X,X,X
TZILJOS,O,O,X,X,X,X,X,O,X,X,X
TZILSJO,O,X,O,X,X,X,X,X,X,X,X
TZILSOJ,O,X,O,X,X,X,X,X,X,X,X
TZILOJS,O,O,X,X,X,X,X,O,X,X,X
TZILOSJ,O,X,O,X,X,X,X,X,X,X,X
TZIJLSO,O,X,X,X,X,X,O,X,X,X,X
TZIJLOS,O,O,X,X,X,X,X,O,X,X,X
TZIJSLO,O,X,X,X,X,X,X,X,X,X,X
TZIJSOL,O,X,X,X,X,X,X,X,X,X,X
TZIJOLS,O,O,X,X,X,X,X,O,X,X,X
TZIJOSL,O,X,X,X,X,X,X,X,X,X,X
TZISLJO,O,X,O,X,X,X,X,X,X,X,X
TZISLOJ,O,X,O,X,X,X,X,X,X,X,X
TZISJLO,O,X,O,X,X,X,X,X,X,X,X
TZISJOL,O,X,O,X,X,X,X,X,X,X,X
TZISOLJ,O,X,O,X,X,X,X,X,X,X,X
TZISOJL,O,X,O,X,X,X,X,X,X,X,X
TZIOLJS,O,O,X,X,X,X,X,O,X,X,X
TZIOLSJ,O,X,O,X,X,X,X,X,X,X,X
TZIOJLS,O,O,X,X,X,X,X,O,X,X,X
TZIOJSL,O,X,X,X,X,X,X,X,X,X,X
TZIOSLJ,O,X,O,X,X,X,X,X,X,X,X
TZIOSJL,O,X,O,X,X,X,X,X,X,X,X
TZLIJSO,O,X,X,X,X,X,O,X,X,X,X
TZLIJOS,O,O,X,X,X,X,X,O,X,X,X
TZLISJO,O,X,O,X,X,X,X,X,X,X,X
TZLISOJ,O,X,O,X,X,X,X,X,X,X,X
TZLIOJS,O,O,X,X,X,X,X,O,X,X,X
TZLIOSJ,O,X,O,X,X,X,X,X,X,X,X
TZLJISO,O,X,X,X,X,X,O,X,X,X,O
TZLJIOS,O,X,X,X,X,X,X,X,X,X,X
TZLJSIO,O,X,X,X,X,X,X,X,X,X,O
TZLJSOI,O,X,X,X,X,X,X,X,X,X,O
TZLJOIS,O,X,X,X,X,X,X,X,X,X,X
TZLJOSI,O,X,X,X,X,X,X,X,X,X,O
TZLSIJO,O,O,O,O,X,X,X,X,X,X,X
TZLSIOJ,O,O,O,X,X,X,X,X,X,X,X
TZLSJIO,O,O,O,O,X,X,X,X,X,X,X
TZLSJOI,O,O,O,O,X,X,X,X,X,X,X
TZLSOIJ,O,O,O,O,X,X,X,X,X,X,X
TZLSOJI,O,O,O,O,X,X,X,X,X,X,X
TZLOIJS,O,O,X,X,X,X,X,O,X,X,X
TZLOISJ,O,X,O,X,X,X,X,X,X,X,X
TZLOJIS,O,X,X,X,X,X,X,X,X,X,X
TZLOJSI,O,X,X,O,X,X,X,X,X,X,X
TZLOSIJ,O,O,O,O,X,X,X,X,X,X,X
TZLOSJI,O,O,O,O,X,X,X,X,X,X,X
TZJILSO,O,X,X,X,X,X,O,X,X,X,O
TZJILOS,O,X,X,X,X,X,X,X,X,X,X
TZJISLO,O,X,X,X,X,X,X,X,X,X,X
TZJISOL,O,X,X,X,X,X,X,X,X,X,X
TZJIOLS,O,X,X,X,X,X,X,X,X,X,X
TZJIOSL,O,X,X,X,X,X,X,X,X,X,X
TZJLISO,O,X,X,X,X,X,O,X,X,X,O
TZJLIOS,O,X,X,X,X,X,X,X,X,X,X
TZJLSIO,O,X,X,X,X,X,X,X,X,X,O
TZJLSOI,O,X,X,X,X,X,X,X,X,X,O
TZJLOIS,O,X,X,X,X,X,X,X,X,X,X
TZJLOSI,O,X,X,X,X,X,X,X,X,X,O
TZJSILO,O,X,X,X,X,X,X,X,X,X,X
TZJSIOL,O,X,X,X,X,X,X,X,X,X,X
TZJSLIO,O,X,X,X,X,X,X,X,X,X,O
TZJSLOI,O,X,X,X,X,X,X,X,X,X,O
TZJSOIL,O,X,X,X,X,X,X,X,X,X,X
TZJSOLI,O,X,X,X,X,X,X,X,X,X,X
TZJOILS,O,X,X,X,X,X,X,X,O,X,X
TZJOISL,O,X,X,X,X,X,X,X,X,X,X
TZJOLIS,O,X,X,X,X,X,X,X,O,X,X
TZJOLSI,O,X,X,X,X,X,X,X,X,X,O
TZJOSIL,O,X,X,X,X,X,X,X,X,X,X
TZJOSLI,O,X,X,X,X,X,X,X,X,X,X
TZSILJO,O,O,O,O,X,X,X,X,X,X,X
TZSILOJ,O,O,O,X,X,X,X,X,X,X,X
TZSIJLO,O,O,O,O,X,X,X,X,X,X,X
TZSIJOL,O,O,O,X,X,X,X,X,X,X,X
TZSIOLJ,O,O,O,X,X,X,X,X,X,X,X
TZSIOJL,O,O,O,X,X,X,X,X,X,X,X
TZSLIJO,O,O,O,O,X,X,X,X,X,X,X
TZSLIOJ,O,O,O,X,X,X,X,X,X,X,X
TZSLJIO,O,O,O,O,X,X,X,X,X,X,X
TZSLJOI,O,O,O,O,X,X,X,X,X,X,X
TZSLOIJ,O,O,O,O,X,X,X,X,X,X,X
TZSLOJI,O,O,O,O,X,X,X,X,X,X,X
TZSJILO,O,O,O,O,X,X,X,X,X,X,X
TZSJIOL,O,O,O,X,X,X,X,X,X,X,X
TZSJLIO,O,O,O,O,X,X,X,X,X,X,X
TZSJLOI,O,O,O,O,X,X,X,X,X,X,X
TZSJOIL,O,O,O,X,X,X,X,X,X,X,X
TZSJOLI,O,O,O,X,X,X,X,X,X,X,X
TZSOILJ,O,O,O,O,X,X,X,X,X,X,X
TZSOIJL,O,O,O,O,X,X,X,X,X,X,X
TZSOLIJ,O,O,O,O,X,X,X,X,X,X,X
TZSOLJI,O,O,O,O,X,X,X,X,X,X,X
TZSOJIL,O,O,O,O,X,X,X,X,X,X,X
TZSOJLI,O,O,O,O,X,X,X,X,X,X,X
TZOILJS,O,O,X,X,X,X,X,O,O,X,X
TZOILSJ,O,X,O,X,X,X,X,X,X,X,X
TZOIJLS,O,O,X,X,X,X,X,O,O,X,X
TZOIJSL,O,X,X,X,X,X,X,X,X,X,X
TZOISLJ,O,X,O,X,X,X,X,X,X,X,X
TZOISJL,O,X,O,X,X,X,X,X,X,X,X
TZOLIJS,O,O,X,X,X,X,X,O,O,X,X
TZOLISJ,O,X,O,X,X,X,X,X,X,X,X
TZOLJIS,O,X,X,X,X,X,X,X,O,X,X
TZOLJSI,O,X,X,O,X,X,X,X,X,X,X
TZOLSIJ,O,O,O,O,X,X,X,X,X,X,X
TZOLSJI,O,O,O,O,X,X,X,X,X,X,X
TZOJILS,O,X,X,X,X,X,X,X,O,X,X
TZOJISL,O,X,X,X,X,X,X,X,X,X,X
TZOJLIS,O,X,X,X,X,X,X,X,O,X,X
TZOJLSI,O,X,X,O,X,X,X,X,X,X,X
TZOJSIL,O,X,X,O,X,X,X,X,X,X,X
TZOJSLI,O,X,X,O,X,X,X,X,X,X,X
TZOSILJ,O,O,O,O,X,X,X,X,X,X,X
TZOSIJL,O,O,O,O,X,X,X,X,X,X,X
TZOSLIJ,O,O,O,O,X,X,X,X,X,X,X
TZOSLJI,O,O,O,O,X,X,X,X,X,X,X
TZOSJIL,O,O,O,O,X,X,X,X,X,X,X
TZOSJLI,O,O,O,O,X,X,X,X,X,X,X
TOILJSZ,O,X,X,X,X,X,O,X,O,X,X
TOILJZS,O,X,X,X,X,X,O,X,O,X,X
TOILSJZ,O,X,X,X,X,X,O,X,O,X,X
TOILSZJ,O,X,X,X,X,X,X,X,X,X,X
TOILZJS,O,X,X,X,X,X,O,X,O,X,X
TOILZSJ,O,X,X,X,X,X,X,X,X,X,X
TOIJLSZ,O,X,X,X,X,X,O,X,O,X,X
TOIJLZS,O,X,X,X,X,X,O,X,O,X,X
TOIJSLZ,O,X,X,X,X,O,O,X,O,X,X
TOIJSZL,O,X,X,X,X,X,X,X,X,X,X
TOIJZLS,O,X,X,X,X,X,O,X,O,X,X
TOIJZSL,O,X,X,X,X,X,X,X,X,X,X
TOISLJZ,O,X,X,X,X,O,O,X,O,X,X
TOISLZJ,O,X,X,X,X,X,X,X,X,X,X
TOISJLZ,O,X,X,X,X,O,O,X,O,X,X
TOISJZL,O,X,O,X,X,X,X,X,X,X,X
TOISZLJ,O,X,O,X,X,X,X,X,X,X,X
TOISZJL,O,X,O,X,X,X,X,X,X,X,X
TOIZLJS,O,X,X,X,X,X,O,X,O,X,X
TOIZLSJ,O,X,O,X,X,X,X,X,X,X,X
TOIZJLS,O,X,X,X,X,X,O,X,O,X,X
TOIZJSL,O,X,X,X,X,X,X,X,X,X,X
TOIZSLJ,O,X,O,X,X,X,X,X,X,X,X
TOIZSJL,O,X,O,X,X,X,X,X,X,X,X
TOLIJSZ,O,X,X,X,O,X,O,X,O,X,X
TOLIJZS,O,X,X,X,O,X,O,X,O,X,X
TOLISJZ,O,X,X,X,O,X,O,X,O,X,X
TOLISZJ,O,X,X,X,X,X,X,X,X,X,X
TOLIZJS,O,X,X,X,O,X,O,X,O,X,X
TOLIZSJ,O,X,X,X,X,X,X,X,X,X,X
TOLJISZ,O,X,X,X,O,X,O,X,O,X,X
TOLJIZS,O,X,X,X,O,X,O,X,O,X,X
TOLJSIZ,O,X,X,X,O,X,O,X,O,X,X
TOLJSZI,O,X,X,X,X,X,X,X,X,X,X
TOLJZIS,O,X,X,X,O,X,O,X,O,X,X
TOLJZSI,O,X,X,O,X,X,X,X,X,X,X
TOLSIJZ,O,X,X,X,O,X,O,X,O,X,X
TOLSIZJ,O,X,X,X,X,X,X,X,X,X,X
TOLSJIZ,O,X,X,X,O,X,O,X,O,X,X
TOLSJZI,O,O,X,X,X,X,X,X,X,X,X
TOLSZIJ,O,O,X,X,X,X,X,X,X,X,X
TOLSZJI,O,O,X,X,X,X,X,X,X,X,X
TOLZIJS,O,O,X,X,O,X,O,X,O,X,X
TOLZISJ,O,X,X,X,X,X,X,X,X,X,X
TOLZJIS,O,X,X,X,O,X,O,X,O,X,X
TOLZJSI,O,X,X,O,X,X,X,X,X,X,X
TOLZSIJ,O,O,X,O,X,X,X,X,X,X,X
TOLZSJI,O,O,X,O,X,X,X,X,X,X,X
TOJILSZ,O,X,X,X,X,X,O,X,O,X,X
TOJILZS,O,X,X,X,X,X,O,X,O,X,X
TOJISLZ,O,X,X,X,X,O,O,X,O,X,X
TOJISZL,O,X,X,X,X,X,X,X,X,X,X
TOJIZLS,O,X,X,X,X,X,O,X,O,X,X
TOJIZSL,O,X,X,X,X,X,X,X,X,X,X
TOJLISZ,O,X,X,X,O,X,O,X,O,X,X
TOJLIZS,O,X,X,X,O,X,O,X,O,X,X
TOJLSIZ,O,X,X,X,O,X,O,X,O,X,X
TOJLSZI,O,X,X,X,X,X,X,X,X,X,X
TOJLZIS,O,X,X,X,O,X,O,X,O,X,X
TOJLZSI,O,X,X,O,X,X,X,X,X,X,X
TOJSILZ,O,X,X,X,X,O,O,X,O,X,X
TOJSIZL,O,X,X,X,X,X,X,X,X,X,X
TOJSLIZ,O,X,X,X,X,O,O,X,O,X,X
TOJSLZI,O,X,X,X,X,X,X,X,X,X,X
TOJSZIL,O,X,X,X,X,X,X,X,X,X,X
TOJSZLI,O,X,X,X,X,X,X,X,X,X,X
TOJZILS,O,X,X,X,X,X,O,X,O,X,X
TOJZISL,O,X,X,X,X,X,X,X,X,X,X
TOJZLIS,O,X,X,X,X,X,O,X,O,X,X
TOJZLSI,O,X,X,O,X,X,X,X,X,X,X
TOJZSIL,O,X,X,O,X,X,X,X,X,X,X
TOJZSLI,O,X,X,O,X,X,X,X,X,X,X
TOSILJZ,O,X,X,X,X,O,O,X,O,X,X
TOSILZJ,O,X,X,X,X,X,X,X,X,X,X
TOSIJLZ,O,X,X,X,X,O,O,X,O,X,X
TOSIJZL,O,X,O,X,X,X,X,X,X,X,X
TOSIZLJ,O,X,O,X,X,X,X,X,X,X,X
TOSIZJL,O,X,O,X,X,X,X,X,X,X,X
TOSLIJZ,O,X,X,X,X,O,O,X,O,X,X
TOSLIZJ,O,X,X,X,X,X,X,X,X,X,X
TOSLJIZ,O,X,X,X,X,O,O,X,O,X,X
TOSLJZI,O,O,X,X,X,X,X,X,X,X,X
TOSLZIJ,O,O,X,X,X,X,X,X,X,X,X
TOSLZJI,O,O,X,X,X,X,X,X,X,X,X
TOSJILZ,O,X,X,X,X,O,O,X,O,X,X
TOSJIZL,O,X,O,X,X,X,X,X,X,X,X
TOSJLIZ,O,X,X,X,X,O,O,X,O,X,X
TOSJLZI,O,O,X,X,X,X,X,X,X,X,X
TOSJZIL,O,O,O,X,X,X,X,X,X,X,X
TOSJZLI,O,O,O,X,X,X,X,X,X,X,X
TOSZILJ,O,O,O,X,X,X,X,X,X,X,X
TOSZIJL,O,O,O,X,X,X,X,X,X,X,X
TOSZLIJ,O,O,O,X,X,X,X,X,X,X,X
TOSZLJI,O,O,O,X,X,X,X,X,X,X,X
TOSZJIL,O,O,O,X,X,X,X,X,X,X,X
TOSZJLI,O,O,O,X,X,X,X,X,X,X,X
TOZILJS,O,O,X,X,X,X,O,X,O,X,X
TOZILSJ,O,X,O,X,X,X,X,X,X,X,X
TOZIJLS,O,O,X,X,X,X,O,X,O,X,X
TOZIJSL,O,X,X,X,X,X,X,X,X,X,X
TOZISLJ,O,X,O,X,X,X,X,X,X,X,X
TOZISJL,O,X,O,X,X,X,X,X,X,X,X
TOZLIJS,O,O,X,X,X,X,O,X,O,X,X
TOZLISJ,O,X,O,X,X,X,X,X,X,X,X
TOZLJIS,O,X,X,X,X,X,O,X,O,X,X
TOZLJSI,O,X,X,O,X,X,X,X,X,X,X
TOZLSIJ,O,O,O,O,X,X,X,X,X,X,X
TOZLSJI,O,O,O,O,X,X,X,X,X,X,X
TOZJILS,O,X,X,X,X,X,O,X,O,X,X
TOZJISL,O,X,X,X,X,X,X,X,X,X,X
TOZJLIS,O,X,X,X,X,X,O,X,O,X,X
TOZJLSI,O,X,X,O,X,X,X,X,X,X,X
TOZJSIL,O,X,X,O,X,X,X,X,X,X,X
TOZJSLI,O,X,X,O,X,X,X,X,X,X,X
TOZSILJ,O,O,O,O,X,X,X,X,X,X,X
TOZSIJL,O,O,O,O,X,X,X,X,X,X,X
TOZSLIJ,O,O,O,O,X,X,X,X,X,X,X
TOZSLJI,O,O,O,O,X,X,X,X,X,X,X
TOZSJIL,O,O,O,O,X,X,X,X,X,X,X
TOZSJLI,O,O,O,O,X,X,X,X,X,X,X
ITLJSZO,O,X,X,X,X,X,O,X,X,O,X
ITLJSOZ,O,X,X,X,X,X,O,X,X,X,X
ITLJZSO,O,X,X,X,X,X,O,X,X,X,X
ITLJZOS,O,X,X,X,X,X,X,O,X,X,X
ITLJOSZ,O,X,X,X,X,X,O,X,X,X,X
ITLJOZS,O,X,X,X,X,X,X,X,X,X,X
ITLSJZO,O,X,X,X,X,X,O,X,X,O,X
ITLSJOZ,O,X,X,X,X,X,O,X,X,X,X
ITLSZJO,O,X,X,X,X,X,X,X,X,O,X
ITLSZOJ,O,X,X,X,X,X,X,X,X,O,X
ITLSOJZ,O,X,X,X,X,X,X,X,X,X,X
ITLSOZJ,O,X,X,X,X,X,X,X,X,X,X
ITLZJSO,O,X,X,X,X,X,O,X,X,X,X
ITLZJOS,O,X,X,X,X,X,X,O,X,X,X
ITLZSJO,O,X,X,X,X,X,X,X,X,X,X
ITLZSOJ,O,X,X,X,X,X,X,X,X,X,X
ITLZOJS,O,X,X,X,X,X,X,O,X,X,X
ITLZOSJ,O,X,X,X,X,X,X,X,X,X,X
ITLOJSZ,O,X,X,X,X,X,O,X,X,X,X
ITLOJZS,O,X,X,X,X,X,X,X,X,X,X
ITLOSJZ,O,X,X,X,X,X,X,X,X,X,X
ITLOSZJ,O,X,X,X,X,X,X,X,X,X,X
ITLOZJS,O,X,X,X,X,X,X,X,X,X,X
ITLOZSJ,O,X,X,X,X,X,X,X,X,X,X
ITJLSZO,O,X,X,X,X,X,O,X,X,O,X
ITJLSOZ,O,X,X,X,X,X,O,X,X,X,X
ITJLZSO,O,X,X,X,X,X,O,X,X,X,X
ITJLZOS,O,X,X,X,X,X,X,O,X,X,X
ITJLOSZ,O,X,X,X,X,X,O,X,X,X,X
ITJLOZS,O,X,X,X,X,X,X,X,X,X,X
ITJSLZO,O,X,X,X,X,X,O,X,X,O,X
ITJSLOZ,O,X,X,X,X,O,O,X,X,X,X
ITJSZLO,O,X,X,X,X,X,X,X,X,X,X
ITJSZOL,O,X,X,X,X,X,X,X,X,X,X
ITJSOLZ,O,X,X,X,X,O,X,X,X,X,X
ITJSOZL,O,X,X,X,X,X,X,X,X,X,X
ITJZLSO,O,X,X,X,X,X,O,X,X,X,X
ITJZLOS,O,X,X,X,X,X,X,O,X,X,X
ITJZSLO,O,X,X,X,X,X,X,X,X,X,X
ITJZSOL,O,X,X,X,X,X,X,X,X,X,X
ITJZOLS,O,X,X,X,X,X,X,O,X,X,X
ITJZOSL,O,X,X,X,X,X,X,X,X,X,X
ITJOLSZ,O,X,X,X,X,X,O,X,O,X,X
ITJOLZS,O,X,X,X,X,X,O,X,O,X,X
ITJOSLZ,O,X,X,X,X,O,O,X,O,X,X
ITJOSZL,O,X,X,X,X,X,X,X,X,X,X
ITJOZLS,O,X,X,X,X,X,O,X,O,X,X
ITJOZSL,O,X,X,X,X,X,X,X,X,X,X
ITSLJZO,O,X,X,X,X,X,O,X,X,O,X
ITSLJOZ,O,X,X,X,X,O,O,X,X,X,X
ITSLZJO,O,X,X,X,X,X,X,X,X,O,X
ITSLZOJ,O,X,X,X,X,X,X,X,X,O,X
ITSLOJZ,O,X,X,X,X,O,X,X,X,X,X
ITSLOZJ,O,X,X,X,X,X,X,X,X,X,X
ITSJLZO,O,X,X,X,X,X,O,X,X,O,X
ITSJLOZ,O,X,X,X,X,O,O,X,X,X,X
ITSJZLO,O,X,O,X,X,X,X,X,X,X,X
ITSJZOL,O,X,O,X,X,X,X,X,X,X,X
ITSJOLZ,O,X,X,X,X,O,X,X,X,X,X
ITSJOZL,O,X,O,X,X,X,X,X,X,X,X
ITSZLJO,O,X,O,X,X,X,X,X,X,X,X
ITSZLOJ,O,X,O,X,X,X,X,X,X,X,X
ITSZJLO,O,X,O,X,X,X,X,X,X,X,X
ITSZJOL,O,X,O,X,X,X,X,X,X,X,X
ITSZOLJ,O,X,O,X,X,X,X,X,X,X,X
ITSZOJL,O,X,O,X,X,X,X,X,X,X,X
ITSOLJZ,O,X,X,X,X,O,X,X,X,X,X
ITSOLZJ,O,X,X,X,X,X,X,X,X,X,X
ITSOJLZ,O,X,X,X,X,O,X,X,X,X,X
ITSOJZL,O,X,O,X,X,X,X,X,X,X,X
ITSOZLJ,O,X,O,X,X,X,X,X,X,X,X
ITSOZJL,O,X,O,X,X,X,X,X,X,X,X
ITZLJSO,O,X,X,X,X,X,O,X,X,X,X
ITZLJOS,O,X,X,X,X,X,X,O,X,X,X
ITZLSJO,O,X,O,X,X,X,X,X,X,X,X
ITZLSOJ,O,X,O,X,X,X,X,X,X,X,X
ITZLOJS,O,X,X,X,X,X,X,O,X,X,X
ITZLOSJ,O,X,O,X,X,X,X,X,X,X,X
ITZJLSO,O,X,X,X,X,X,O,X,X,X,X
ITZJLOS,O,X,X,X,X,X,X,O,X,X,X
ITZJSLO,O,X,X,X,X,X,X,X,X,X,X
ITZJSOL,O,X,X,X,X,X,X,X,X,X,X
ITZJOLS,O,X,X,X,X,X,X,O,X,X,X
ITZJOSL,O,X,X,X,X,X,X,X,X,X,X
ITZSLJO,O,X,O,X,X,X,X,X,X,X,X
ITZSLOJ,O,X,O,X,X,X,X,X,X,X,X
ITZSJLO,O,X,O,X,X,X,X,X,X,X,X
ITZSJOL,O,X,O,X,X,X,X,X,X,X,X
ITZSOLJ,O,X,O,X,X,X,X,X,X,X,X
ITZSOJL,O,X,O,X,X,X,X,X,X,X,X
ITZOLJS,O,X,X,X,X,X,X,O,X,X,X
ITZOLSJ,O,X,O,X,X,X,X,X,X,X,X
ITZOJLS,O,X,X,X,X,X,X,O,X,X,X
ITZOJSL,O,X,X,X,X,X,X,X,X,X,X
ITZOSLJ,O,X,O,X,X,X,X,X,X,X,X
ITZOSJL,O,X,O,X,X,X,X,X,X,X,X
ITOLJSZ,O,X,X,X,X,X,O,X,O,X,X
ITOLJZS,O,X,X,X,X,X,O,X,O,X,X
ITOLSJZ,O,X,X,X,X,X,O,X,O,X,X
ITOLSZJ,O,X,X,X,X,X,X,X,X,X,X
ITOLZJS,O,X,X,X,X,X,O,X,O,X,X
ITOLZSJ,O,X,X,X,X,X,X,X,X,X,X
ITOJLSZ,O,X,X,X,X,X,O,X,O,X,X
ITOJLZS,O,X,X,X,X,X,O,X,O,X,X
ITOJSLZ,O,X,X,X,X,O,O,X,O,X,X
ITOJSZL,O,X,X,X,X,X,X,X,X,X,X
ITOJZLS,O,X,X,X,X,X,O,X,O,X,X
ITOJZSL,O,X,X,X,X,X,X,X,X,X,X
ITOSLJZ,O,X,X,X,X,O,O,X,O,X,X
ITOSLZJ,O,X,X,X,X,X,X,X,X,X,X
ITOSJLZ,O,X,X,X,X,O,O,X,O,X,X
ITOSJZL,O,X,O,X,X,X,X,X,X,X,X
ITOSZLJ,O,X,O,X,X,X,X,X,X,X,X
ITOSZJL,O,X,O,X,X,X,X,X,X,X,X
ITOZLJS,O,X,X,X,X,X,O,X,O,X,X
ITOZLSJ,O,X,O,X,X,X,X,X,X,X,X
ITOZJLS,O,X,X,X,X,X,O,X,O,X,X
ITOZJSL,O,X,X,X,X,X,X,X,X,X,X
ITOZSLJ,O,X,O,X,X,X,X,X,X,X,X
ITOZSJL,O,X,O,X,X,X,X,X,X,X,X
ILTJSZO,O,X,X,X,O,X,O,X,X,O,X
ILTJSOZ,O,X,X,X,O,X,O,X,X,X,X
ILTJZSO,O,X,X,X,O,X,O,X,X,X,X
ILTJZOS,O,X,X,X,O,X,X,O,X,X,X
ILTJOSZ,O,X,X,X,O,X,O,X,X,X,X
ILTJOZS,O,X,X,X,O,X,X,X,X,X,X
ILTSJZO,O,X,X,X,O,X,O,X,X,O,X
ILTSJOZ,O,X,X,X,O,X,O,X,X,X,X
ILTSZJO,O,X,X,X,X,X,X,X,X,O,X
ILTSZOJ,O,X,X,X,X,X,X,X,X,O,X
ILTSOJZ,O,X,X,X,O,X,X,X,X,X,X
ILTSOZJ,O,X,X,X,X,X,X,X,X,X,X
ILTZJSO,O,X,X,X,O,X,O,X,X,X,X
ILTZJOS,O,X,X,X,O,X,X,O,X,X,X
ILTZSJO,O,X,X,X,X,X,X,X,X,X,X
ILTZSOJ,O,X,X,X,X,X,X,X,X,X,X
ILTZOJS,O,X,X,X,O,X,X,O,X,X,X
ILTZOSJ,O,X,X,X,X,X,X,X,X,X,X
ILTOJSZ,O,X,X,X,O,X,O,X,X,X,X
ILTOJZS,O,X,X,X,O,X,X,X,X,X,X
ILTOSJZ,O,X,X,X,O,X,X,X,X,X,X
ILTOSZJ,O,X,X,X,X,X,X,X,X,X,X
ILTOZJS,O,X,X,X,O,X,X,X,X,X,X
ILTOZSJ,O,X,X,X,X,X,X,X,X,X,X
ILJTSZO,O,X,X,X,O,X,O,X,X,O,X
ILJTSOZ,O,X,X,X,O,X,O,X,X,X,X
ILJTZSO,O,X,X,X,O,X,O,X,X,X,O
ILJTZOS,O,X,X,X,O,X,X,O,X,X,X
ILJTOSZ,O,X,X,X,O,X,O,X,X,X,X
