sequence,v115@UhC8BeC8BeD8AeB8Jel/IvhFUhBanB5nBTjB/pBOqB,v115@UhC8BeC8BeD8AeB8JeUBJvhFanB5nBTjB/pBFlBmpB
TILJSZO,O,X
TILJSOZ,O,X
TILJZSO,O,X
TILJZOS,O,X
TILJOSZ,O,X
TILJOZS,O,X
TILSJZO,O,O
TILSJOZ,O,O
TILSZJO,O,O
TILSZOJ,O,O
TILSOJZ,O,O
TILSOZJ,O,O
TILZJSO,O,X
TILZJOS,O,X
TILZSJO,O,O
TILZSOJ,O,O
TILZOJS,O,X
TILZOSJ,O,O
TILOJSZ,O,X
TILOJZS,O,X
TILOSJZ,O,O
TILOSZJ,O,O
TILOZJS,O,X
TILOZSJ,O,O
TIJLSZO,O,X
TIJLSOZ,O,X
TIJLZSO,O,X
TIJLZOS,O,X
TIJLOSZ,O,X
TIJLOZS,O,X
TIJSLZO,O,X
TIJSLOZ,O,X
TIJSZLO,O,X
TIJSZOL,O,X
TIJSOLZ,O,X
TIJSOZL,O,X
TIJZLSO,O,X
TIJZLOS,O,X
TIJZSLO,O,X
TIJZSOL,O,X
TIJZOLS,O,X
TIJZOSL,O,X
TIJOLSZ,O,X
TIJOLZS,O,X
TIJOSLZ,O,X
TIJOSZL,O,X
TIJOZLS,O,X
TIJOZSL,O,X
TISLJZO,O,O
TISLJOZ,O,O
TISLZJO,O,O
TISLZOJ,O,O
TISLOJZ,O,O
TISLOZJ,O,O
TISJLZO,O,O
TISJLOZ,O,O
TISJZLO,O,O
TISJZOL,O,O
TISJOLZ,O,O
TISJOZL,O,O
TISZLJO,O,O
TISZLOJ,O,O
TISZJLO,O,O
TISZJOL,O,O
TISZOLJ,O,O
TISZOJL,O,O
TISOLJZ,O,O
TISOLZJ,O,O
TISOJLZ,O,O
TISOJZL,O,O
TISOZLJ,O,O
TISOZJL,O,O
TIZLJSO,O,X
TIZLJOS,O,X
TIZLSJO,O,O
TIZLSOJ,O,O
TIZLOJS,O,X
TIZLOSJ,O,O
TIZJLSO,O,X
TIZJLOS,O,X
TIZJSLO,O,X
