sequence,v115@FhB8HeB8IeD8AeB8BeB8JeOEJvhFxgBTiBClB0mBlq?B3sB,v115@FhB8HeB8IeD8AeB8BeB8JeKEJvhFWlBxgBTiB0mBlq?B3sB,v115@FhB8HeB8IeD8AeB8BeB8Jei/IvhFzgBGiB3kBlqBRs?BUsB,v115@FhB8HeB8IeD8AeB8BeB8JeKEJvhFzfBRhBcnBGmBlq?B3sB,v115@FhB8HeB8IeD8AeB8BeB8Jex/IvhFmhBqnBTkB/qBFm?BUsB,v115@FhB8HeB8IeD8AeB8BeB8JeOEJvhF0gBxhBzkBFnBCr?B3sB,v115@FhB8HeB8IeD8AeB8BeB8JeOEJvhF8kBzgBlqBRsBfs?B6sB,v115@FhB8HeB8IeD8AeB8BeB8JexAJvhFTiBikBuqB1rB0k?B3sB,v115@FhB8HeB8IeD8AeB8BeB8Jei/IvhF3gBWnB1pB8qBRs?BTsB,v115@FhB8HeB8IeD8AeB8BeB8Jel/IvhF3gBCiB2pB8qBRs?BTsB
TILJSZO,O,O,O,O,O,X,X,O,O,O
TILJSOZ,O,O,O,O,O,X,X,O,X,X
TILJZSO,O,O,X,X,X,X,X,O,O,O
TILJZOS,O,O,X,X,X,X,X,O,O,O
TILJOSZ,O,O,O,O,O,X,X,O,X,X
TILJOZS,O,O,X,X,X,X,X,O,O,O
TILSJZO,O,O,O,O,X,X,X,O,O,X
TILSJOZ,O,O,O,O,X,X,X,O,X,X
TILSZJO,O,O,O,O,X,X,X,X,O,X
TILSZOJ,O,O,O,O,X,X,X,X,O,X
TILSOJZ,O,O,O,O,X,X,X,O,X,X
TILSOZJ,O,X,O,O,X,X,X,X,X,X
TILZJSO,O,O,X,X,X,X,O,X,O,O
TILZJOS,O,O,X,X,X,X,O,X,O,O
TILZSJO,O,O,X,X,X,X,X,X,O,O
TILZSOJ,O,O,X,X,X,X,X,X,O,O
TILZOJS,O,O,X,X,X,X,O,X,O,X
TILZOSJ,O,O,X,X,X,X,X,X,O,X
TILOJSZ,O,X,O,O,O,X,X,O,X,X
TILOJZS,O,X,X,X,X,X,X,O,O,X
TILOSJZ,O,X,O,O,X,X,X,X,X,X
TILOSZJ,O,X,O,O,X,X,X,X,X,X
TILOZJS,O,X,X,X,X,X,O,X,O,X
TILOZSJ,O,X,X,X,X,X,X,X,O,X
TIJLSZO,O,X,O,O,X,X,X,O,O,O
TIJLSOZ,O,X,O,O,X,X,X,O,X,X
TIJLZSO,O,X,X,X,X,X,X,O,O,O
TIJLZOS,O,X,X,X,X,X,X,O,O,O
TIJLOSZ,O,X,O,O,X,X,X,O,X,X
TIJLOZS,O,X,X,X,X,X,X,O,O,O
TIJSLZO,O,X,O,O,X,X,X,O,O,O
TIJSLOZ,O,X,O,O,X,X,X,O,X,X
TIJSZLO,O,X,O,O,X,X,X,O,O,O
TIJSZOL,O,X,O,O,X,X,X,O,O,O
TIJSOLZ,O,X,O,X,X,X,X,O,X,X
TIJSOZL,X,X,O,X,X,X,X,O,X,X
TIJZLSO,O,X,X,X,X,X,O,O,O,O
TIJZLOS,O,X,X,X,X,X,O,O,O,O
