sequence,v115@GhA8IeA8DeA8AeB8AeA8CeE8AeA8Je/EJvhF1lB6mB?TiBZoBUlB2uB,v115@GhA8IeA8DeA8AeB8AeA8CeE8AeA8Je0AJvhF6mBTiB?ZoBlkBOpBXqB
IJOSZTL,O,O
IJOSZLT,O,O
IJOZTLS,O,X
IJOZTSL,O,X
IJOZLTS,O,X
IJOZLST,O,O
IJOZSTL,O,O
IJOZSLT,O,O
ISTLJZO,O,O
ISTLJOZ,O,O
ISTLZJO,X,O
ISTLZOJ,X,O
ISTLOJZ,O,O
ISTLOZJ,X,O
ISTJLZO,O,O
ISTJLOZ,O,O
ISTJZLO,O,O
ISTJZOL,O,O
ISTJOLZ,O,O
ISTJOZL,O,O
ISTZLJO,X,O
ISTZLOJ,X,O
ISTZJLO,X,O
ISTZJOL,X,O
ISTZOLJ,X,O
ISTZOJL,X,O
ISTOLJZ,O,O
ISTOLZJ,X,O
ISTOJLZ,O,O
ISTOJZL,O,O
ISTOZLJ,X,O
ISTOZJL,X,O
ISLTJZO,O,O
ISLTJOZ,O,O
ISLTZJO,X,O
ISLTZOJ,X,O
ISLTOJZ,O,O
ISLTOZJ,X,O
ISLJTZO,O,O
ISLJTOZ,O,O
ISLJZTO,O,O
ISLJZOT,O,O
ISLJOTZ,O,O
ISLJOZT,O,O
ISLZTJO,X,O
ISLZTOJ,X,O
ISLZJTO,X,O
ISLZJOT,X,O
ISLZOTJ,X,O
ISLZOJT,X,O
ISLOTJZ,O,O
ISLOTZJ,X,O
ISLOJTZ,O,O
ISLOJZT,O,O
ISLOZTJ,X,O
ISLOZJT,X,O
ISJTLZO,O,O
ISJTLOZ,O,O
ISJTZLO,O,O
ISJTZOL,O,O
ISJTOLZ,O,O
ISJTOZL,O,O
ISJLTZO,O,O
ISJLTOZ,O,O
ISJLZTO,O,O
ISJLZOT,O,O
ISJLOTZ,O,O
ISJLOZT,O,O
ISJZTLO,O,O
ISJZTOL,O,O
ISJZLTO,O,O
ISJZLOT,O,O
ISJZOTL,O,O
ISJZOLT,O,O
ISJOTLZ,O,O
ISJOTZL,O,O
ISJOLTZ,O,O
ISJOLZT,O,O
ISJOZTL,O,O
ISJOZLT,O,O
ISZTLJO,X,O
ISZTLOJ,X,O
ISZTJLO,X,O
ISZTJOL,X,O
ISZTOLJ,X,O
ISZTOJL,X,O
ISZLTJO,X,O
ISZLTOJ,X,O
ISZLJTO,X,O
ISZLJOT,X,O
ISZLOTJ,X,O
ISZLOJT,X,O
ISZJTLO,X,O
ISZJTOL,X,O
ISZJLTO,X,O
ISZJLOT,X,O
ISZJOTL,X,O
ISZJOLT,X,O
ISZOTLJ,X,O
ISZOTJL,X,O
ISZOLTJ,X,O
ISZOLJT,X,O
ISZOJTL,X,O
ISZOJLT,X,O
ISOTLJZ,O,O
ISOTLZJ,X,O
ISOTJLZ,O,O
ISOTJZL,O,O
ISOTZLJ,X,O
ISOTZJL,X,O
ISOLTJZ,O,O
ISOLTZJ,X,O
ISOLJTZ,O,O
ISOLJZT,O,O
ISOLZTJ,X,O
ISOLZJT,X,O
ISOJTLZ,O,O
ISOJTZL,O,O
ISOJLTZ,O,O
ISOJLZT,O,O
ISOJZTL,O,O
ISOJZLT,O,O
ISOZTLJ,X,O
ISOZTJL,X,O
ISOZLTJ,X,O
ISOZLJT,X,O
ISOZJTL,X,O
ISOZJLT,X,O
IZTLJSO,O,X
IZTLJOS,O,X
IZTLSJO,X,O
IZTLSOJ,X,O
IZTLOJS,O,X
IZTLOSJ,X,O
IZTJLSO,O,X
IZTJLOS,O,X
IZTJSLO,O,X
IZTJSOL,O,X
IZTJOLS,O,X
IZTJOSL,O,X
IZTSLJO,X,O
IZTSLOJ,X,O
IZTSJLO,X,O
IZTSJOL,X,O
IZTSOLJ,X,O
IZTSOJL,X,O
IZTOLJS,O,X
IZTOLSJ,X,O
IZTOJLS,O,X
IZTOJSL,O,X
IZTOSLJ,X,O
IZTOSJL,X,O
IZLTJSO,O,X
IZLTJOS,O,X
IZLTSJO,X,O
IZLTSOJ,X,O
IZLTOJS,O,X
IZLTOSJ,X,O
IZLJTSO,O,X
IZLJTOS,O,X
IZLJSTO,O,O
IZLJSOT,O,O
IZLJOTS,O,X
IZLJOST,O,O
IZLSTJO,X,O
IZLSTOJ,X,O
IZLSJTO,X,O
IZLSJOT,X,O
IZLSOTJ,X,O
IZLSOJT,X,O
IZLOTJS,O,X
IZLOTSJ,X,O
IZLOJTS,O,X
IZLOJST,O,O
IZLOSTJ,X,O
IZLOSJT,X,O
IZJTLSO,O,X
IZJTLOS,O,X
IZJTSLO,O,X
IZJTSOL,O,X
IZJTOLS,O,X
IZJTOSL,O,X
IZJLTSO,O,X
IZJLTOS,O,X
IZJLSTO,O,O
IZJLSOT,O,O
IZJLOTS,O,X
IZJLOST,O,O
IZJSTLO,O,O
IZJSTOL,O,O
IZJSLTO,O,O
IZJSLOT,O,O
IZJSOTL,O,O
IZJSOLT,O,O
IZJOTLS,O,X
IZJOTSL,O,X
IZJOLTS,O,X
IZJOLST,O,O
IZJOSTL,O,O
IZJOSLT,O,O
IZSTLJO,X,O
IZSTLOJ,X,O
IZSTJLO,X,O
IZSTJOL,X,O
IZSTOLJ,X,O
IZSTOJL,X,O
IZSLTJO,X,O
IZSLTOJ,X,O
IZSLJTO,X,O
IZSLJOT,X,O
IZSLOTJ,X,O
IZSLOJT,X,O
IZSJTLO,X,O
IZSJTOL,X,O
IZSJLTO,X,O
IZSJLOT,X,O
IZSJOTL,X,O
IZSJOLT,X,O
IZSOTLJ,X,O
IZSOTJL,X,O
IZSOLTJ,X,O
IZSOLJT,X,O
IZSOJTL,X,O
IZSOJLT,X,O
IZOTLJS,O,X
IZOTLSJ,X,O
IZOTJLS,O,X
IZOTJSL,O,X
IZOTSLJ,X,O
IZOTSJL,X,O
IZOLTJS,O,X
IZOLTSJ,X,O
IZOLJTS,O,X
IZOLJST,O,O
IZOLSTJ,X,O
IZOLSJT,X,O
IZOJTLS,O,X
IZOJTSL,O,X
IZOJLTS,O,X
IZOJLST,O,O
IZOJSTL,O,O
IZOJSLT,O,O
IZOSTLJ,X,O
IZOSTJL,X,O
IZOSLTJ,X,O
IZOSLJT,X,O
IZOSJTL,X,O
IZOSJLT,X,O
IOTLJSZ,O,X
IOTLJZS,O,X
IOTLSJZ,O,O
IOTLSZJ,X,O
IOTLZJS,O,X
IOTLZSJ,X,O
IOTJLSZ,O,X
IOTJLZS,O,X
IOTJSLZ,O,X
IOTJSZL,O,X
IOTJZLS,O,X
IOTJZSL,O,X
IOTSLJZ,O,O
IOTSLZJ,X,O
IOTSJLZ,O,O
IOTSJZL,O,O
IOTSZLJ,X,O
IOTSZJL,X,O
IOTZLJS,O,X
IOTZLSJ,X,O
IOTZJLS,O,X
IOTZJSL,O,X
IOTZSLJ,X,O
IOTZSJL,X,O
IOLTJSZ,O,X
IOLTJZS,O,X
IOLTSJZ,O,O
IOLTSZJ,X,O
IOLTZJS,O,X
IOLTZSJ,X,O
IOLJTSZ,O,X
IOLJTZS,O,X
IOLJSTZ,O,O
IOLJSZT,O,O
IOLJZTS,O,X
IOLJZST,O,O
IOLSTJZ,O,O
IOLSTZJ,X,O
IOLSJTZ,O,O
IOLSJZT,O,O
IOLSZTJ,X,O
IOLSZJT,X,O
IOLZTJS,O,X
IOLZTSJ,X,O
IOLZJTS,O,X
IOLZJST,O,O
IOLZSTJ,X,O
IOLZSJT,X,O
IOJTLSZ,O,X
IOJTLZS,O,X
IOJTSLZ,O,X
IOJTSZL,O,X
IOJTZLS,O,X
IOJTZSL,O,X
IOJLTSZ,O,X
IOJLTZS,O,X
IOJLSTZ,O,O
IOJLSZT,O,O
IOJLZTS,O,X
IOJLZST,O,O
IOJSTLZ,O,O
IOJSTZL,O,O
IOJSLTZ,O,O
IOJSLZT,O,O
IOJSZTL,O,O
IOJSZLT,O,O
IOJZTLS,O,X
IOJZTSL,O,X
IOJZLTS,O,X
IOJZLST,O,O
IOJZSTL,O,O
IOJZSLT,O,O
IOSTLJZ,O,O
IOSTLZJ,X,O
IOSTJLZ,O,O
IOSTJZL,O,O
IOSTZLJ,X,O
IOSTZJL,X,O
IOSLTJZ,O,O
IOSLTZJ,X,O
IOSLJTZ,O,O
IOSLJZT,O,O
IOSLZTJ,X,O
IOSLZJT,X,O
IOSJTLZ,O,O
IOSJTZL,O,O
IOSJLTZ,O,O
IOSJLZT,O,O
IOSJZTL,O,O
IOSJZLT,O,O
IOSZTLJ,X,O
IOSZTJL,X,O
IOSZLTJ,X,O
IOSZLJT,X,O
IOSZJTL,X,O
IOSZJLT,X,O
IOZTLJS,O,X
IOZTLSJ,X,O
IOZTJLS,O,X
IOZTJSL,O,X
IOZTSLJ,X,O
IOZTSJL,X,O
IOZLTJS,O,X
IOZLTSJ,X,O
IOZLJTS,O,X
IOZLJST,O,O
IOZLSTJ,X,O
IOZLSJT,X,O
IOZJTLS,O,X
IOZJTSL,O,X
IOZJLTS,O,X
IOZJLST,O,O
IOZJSTL,O,O
IOZJSLT,O,O
IOZSTLJ,X,O
IOZSTJL,X,O
IOZSLTJ,X,O
IOZSLJT,X,O
IOZSJTL,X,O
IOZSJLT,X,O
LTIJSZO,O,X
LTIJSOZ,O,X
LTIJZSO,O,X
LTIJZOS,O,X
LTIJOSZ,O,X
LTIJOZS,O,X
LTISJZO,O,O
LTISJOZ,O,O
LTISZJO,X,O
LTISZOJ,X,O
LTISOJZ,O,O
LTISOZJ,X,O
LTIZJSO,O,X
LTIZJOS,O,X
LTIZSJO,X,O
LTIZSOJ,X,O
LTIZOJS,O,X
LTIZOSJ,X,O
LTIOJSZ,O,X
LTIOJZS,O,X
LTIOSJZ,O,O
LTIOSZJ,X,O
LTIOZJS,O,X
LTIOZSJ,X,O
LTJISZO,O,X
LTJISOZ,O,X
LTJIZSO,O,X
LTJIZOS,O,X
LTJIOSZ,O,X
LTJIOZS,O,X
LTJSIZO,O,X
LTJSIOZ,O,X
LTJSZIO,O,X
LTJSZOI,O,X
LTJSOIZ,O,X
LTJSOZI,O,X
LTJZISO,O,X
LTJZIOS,O,X
LTJZSIO,O,X
LTJZSOI,O,X
LTJZOIS,O,X
LTJZOSI,O,X
LTJOISZ,O,X
LTJOIZS,O,X
LTJOSIZ,O,X
LTJOSZI,O,X
LTJOZIS,O,X
LTJOZSI,O,X
LTSIJZO,O,O
LTSIJOZ,O,O
LTSIZJO,X,O
LTSIZOJ,X,O
LTSIOJZ,O,O
LTSIOZJ,X,O
LTSJIZO,O,O
LTSJIOZ,O,O
LTSJZIO,O,O
LTSJZOI,O,O
LTSJOIZ,O,O
LTSJOZI,O,O
LTSZIJO,X,O
LTSZIOJ,X,O
LTSZJIO,X,O
LTSZJOI,X,O
LTSZOIJ,X,O
LTSZOJI,X,O
LTSOIJZ,O,O
LTSOIZJ,X,O
LTSOJIZ,O,O
LTSOJZI,O,O
LTSOZIJ,X,O
LTSOZJI,X,O
LTZIJSO,O,X
LTZIJOS,O,X
LTZISJO,X,O
LTZISOJ,X,O
LTZIOJS,O,X
LTZIOSJ,X,O
LTZJISO,O,X
LTZJIOS,O,X
LTZJSIO,O,X
LTZJSOI,O,X
LTZJOIS,O,X
LTZJOSI,O,X
LTZSIJO,X,O
LTZSIOJ,X,O
LTZSJIO,X,O
LTZSJOI,X,O
LTZSOIJ,X,O
LTZSOJI,X,O
LTZOIJS,O,X
LTZOISJ,X,O
LTZOJIS,O,X
LTZOJSI,O,X
LTZOSIJ,X,O
LTZOSJI,X,O
LTOIJSZ,O,X
LTOIJZS,O,X
LTOISJZ,O,O
LTOISZJ,X,O
LTOIZJS,O,X
LTOIZSJ,X,O
LTOJISZ,O,X
LTOJIZS,O,X
LTOJSIZ,O,X
LTOJSZI,O,X
LTOJZIS,O,X
LTOJZSI,O,X
LTOSIJZ,O,O
LTOSIZJ,X,O
LTOSJIZ,O,O
LTOSJZI,O,O
LTOSZIJ,X,O
LTOSZJI,X,O
LTOZIJS,O,X
LTOZISJ,X,O
LTOZJIS,O,X
LTOZJSI,O,X
LTOZSIJ,X,O
LTOZSJI,X,O
LITJSZO,O,X
LITJSOZ,O,X
LITJZSO,O,X
LITJZOS,O,X
LITJOSZ,O,X
LITJOZS,O,X
LITSJZO,O,O
LITSJOZ,O,O
LITSZJO,X,O
LITSZOJ,X,O
LITSOJZ,O,O
LITSOZJ,X,O
LITZJSO,O,X
LITZJOS,O,X
LITZSJO,X,O
LITZSOJ,X,O
LITZOJS,O,X
LITZOSJ,X,O
LITOJSZ,O,X
LITOJZS,O,X
LITOSJZ,O,O
LITOSZJ,X,O
LITOZJS,O,X
LITOZSJ,X,O
LIJTSZO,O,X
LIJTSOZ,O,X
LIJTZSO,O,X
LIJTZOS,O,X
LIJTOSZ,O,X
LIJTOZS,O,X
LIJSTZO,O,O
LIJSTOZ,O,O
LIJSZTO,O,O
LIJSZOT,O,O
LIJSOTZ,O,O
LIJSOZT,O,O
LIJZTSO,O,X
LIJZTOS,O,X
LIJZSTO,O,O
LIJZSOT,O,O
LIJZOTS,O,X
LIJZOST,O,O
LIJOTSZ,O,X
LIJOTZS,O,X
LIJOSTZ,O,O
LIJOSZT,O,O
LIJOZTS,O,X
LIJOZST,O,O
LISTJZO,O,O
LISTJOZ,O,O
LISTZJO,X,O
LISTZOJ,X,O
LISTOJZ,O,O
LISTOZJ,X,O
LISJTZO,O,O
LISJTOZ,O,O
LISJZTO,O,O
LISJZOT,O,O
LISJOTZ,O,O
LISJOZT,O,O
LISZTJO,X,O
LISZTOJ,X,O
LISZJTO,X,O
LISZJOT,X,O
LISZOTJ,X,O
LISZOJT,X,O
LISOTJZ,O,O
LISOTZJ,X,O
LISOJTZ,O,O
LISOJZT,O,O
LISOZTJ,X,O
LISOZJT,X,O
LIZTJSO,O,X
LIZTJOS,O,X
LIZTSJO,X,O
LIZTSOJ,X,O
LIZTOJS,O,X
LIZTOSJ,X,O
LIZJTSO,O,X
LIZJTOS,O,X
LIZJSTO,O,O
LIZJSOT,O,O
LIZJOTS,O,X
LIZJOST,O,O
LIZSTJO,X,O
LIZSTOJ,X,O
LIZSJTO,X,O
LIZSJOT,X,O
LIZSOTJ,X,O
LIZSOJT,X,O
LIZOTJS,O,X
LIZOTSJ,X,O
LIZOJTS,O,X
LIZOJST,O,O
LIZOSTJ,X,O
LIZOSJT,X,O
LIOTJSZ,O,X
LIOTJZS,O,X
LIOTSJZ,O,O
LIOTSZJ,X,O
LIOTZJS,O,X
LIOTZSJ,X,O
LIOJTSZ,O,X
LIOJTZS,O,X
LIOJSTZ,O,O
LIOJSZT,O,O
LIOJZTS,O,X
LIOJZST,O,O
LIOSTJZ,O,O
LIOSTZJ,X,O
LIOSJTZ,O,O
LIOSJZT,O,O
LIOSZTJ,X,O
LIOSZJT,X,O
LIOZTJS,O,X
LIOZTSJ,X,O
LIOZJTS,O,X
LIOZJST,O,O
LIOZSTJ,X,O
LIOZSJT,X,O
LJTISZO,O,X
LJTISOZ,O,X
LJTIZSO,O,X
LJTIZOS,O,X
LJTIOSZ,O,X
LJTIOZS,O,X
LJTSIZO,O,X
LJTSIOZ,O,X
LJTSZIO,O,X
LJTSZOI,O,X
LJTSOIZ,O,X
LJTSOZI,O,X
LJTZISO,O,X
LJTZIOS,O,X
LJTZSIO,O,X
LJTZSOI,O,X
LJTZOIS,O,X
LJTZOSI,O,X
LJTOISZ,O,X
LJTOIZS,O,X
LJTOSIZ,O,X
LJTOSZI,O,X
LJTOZIS,O,X
LJTOZSI,O,X
LJITSZO,O,X
LJITSOZ,O,X
LJITZSO,O,X
LJITZOS,O,X
LJITOSZ,O,X
LJITOZS,O,X
LJISTZO,O,O
LJISTOZ,O,O
LJISZTO,O,O
LJISZOT,O,O
LJISOTZ,O,O
LJISOZT,O,O
LJIZTSO,O,X
LJIZTOS,O,X
LJIZSTO,O,O
LJIZSOT,O,O
LJIZOTS,O,X
LJIZOST,O,O
LJIOTSZ,O,X
LJIOTZS,O,X
LJIOSTZ,O,O
LJIOSZT,O,O
LJIOZTS,O,X
LJIOZST,O,O
LJSTIZO,O,O
LJSTIOZ,O,O
LJSTZIO,O,O
LJSTZOI,O,O
LJSTOIZ,O,O
LJSTOZI,O,O
LJSITZO,O,O
LJSITOZ,O,O
LJSIZTO,O,O
LJSIZOT,O,O
LJSIOTZ,O,O
LJSIOZT,O,O
LJSZTIO,O,O
LJSZTOI,O,O
LJSZITO,O,O
LJSZIOT,O,O
LJSZOTI,O,O
LJSZOIT,O,O
LJSOTIZ,O,O
LJSOTZI,O,O
LJSOITZ,O,O
LJSOIZT,O,O
LJSOZTI,O,O
LJSOZIT,O,O
LJZTISO,O,X
LJZTIOS,O,X
LJZTSIO,O,X
LJZTSOI,O,X
LJZTOIS,O,X
LJZTOSI,O,X
LJZITSO,O,X
LJZITOS,O,X
LJZISTO,O,O
LJZISOT,O,O
LJZIOTS,O,X
LJZIOST,O,O
LJZSTIO,O,O
LJZSTOI,O,O
LJZSITO,O,O
LJZSIOT,O,O
LJZSOTI,O,O
LJZSOIT,O,O
LJZOTIS,O,X
LJZOTSI,O,X
LJZOITS,O,X
LJZOIST,O,O
LJZOSTI,O,O
LJZOSIT,O,O
LJOTISZ,O,X
LJOTIZS,O,X
LJOTSIZ,O,X
LJOTSZI,O,X
LJOTZIS,O,X
LJOTZSI,O,X
LJOITSZ,O,X
LJOITZS,O,X
LJOISTZ,O,O
LJOISZT,O,O
LJOIZTS,O,X
LJOIZST,O,O
LJOSTIZ,O,O
LJOSTZI,O,O
LJOSITZ,O,O
LJOSIZT,O,O
LJOSZTI,O,O
LJOSZIT,O,O
LJOZTIS,O,X
LJOZTSI,O,X
LJOZITS,O,X
LJOZIST,O,O
LJOZSTI,O,O
LJOZSIT,O,O
LSTIJZO,O,O
LSTIJOZ,O,O
LSTIZJO,X,O
LSTIZOJ,X,O
LSTIOJZ,O,O
LSTIOZJ,X,O
LSTJIZO,O,O
LSTJIOZ,O,O
LSTJZIO,O,O
LSTJZOI,O,O
LSTJOIZ,O,O
LSTJOZI,O,O
LSTZIJO,X,O
LSTZIOJ,X,O
LSTZJIO,X,O
LSTZJOI,X,O
LSTZOIJ,X,O
LSTZOJI,X,O
LSTOIJZ,O,O
LSTOIZJ,X,O
LSTOJIZ,O,O
LSTOJZI,O,O
LSTOZIJ,X,O
LSTOZJI,X,O
LSITJZO,O,O
LSITJOZ,O,O
LSITZJO,X,O
LSITZOJ,X,O
LSITOJZ,O,O
LSITOZJ,X,O
LSIJTZO,O,O
LSIJTOZ,O,O
LSIJZTO,O,O
LSIJZOT,O,O
LSIJOTZ,O,O
LSIJOZT,O,O
LSIZTJO,X,O
LSIZTOJ,X,O
LSIZJTO,X,O
LSIZJOT,X,O
LSIZOTJ,X,O
LSIZOJT,X,O
LSIOTJZ,O,O
LSIOTZJ,X,O
LSIOJTZ,O,O
LSIOJZT,O,O
LSIOZTJ,X,O
LSIOZJT,X,O
LSJTIZO,O,O
LSJTIOZ,O,O
LSJTZIO,O,O
LSJTZOI,O,O
LSJTOIZ,O,O
LSJTOZI,O,O
LSJITZO,O,O
LSJITOZ,O,O
LSJIZTO,O,O
LSJIZOT,O,O
LSJIOTZ,O,O
LSJIOZT,O,O
LSJZTIO,O,O
LSJZTOI,O,O
LSJZITO,O,O
LSJZIOT,O,O
LSJZOTI,O,O
LSJZOIT,O,O
LSJOTIZ,O,O
LSJOTZI,O,O
LSJOITZ,O,O
LSJOIZT,O,O
LSJOZTI,O,O
LSJOZIT,O,O
LSZTIJO,X,O
LSZTIOJ,X,O
LSZTJIO,X,O
LSZTJOI,X,O
LSZTOIJ,X,O
LSZTOJI,X,O
LSZITJO,X,O
LSZITOJ,X,O
LSZIJTO,X,O
LSZIJOT,X,O
LSZIOTJ,X,O
LSZIOJT,X,O
LSZJTIO,X,O
LSZJTOI,X,O
LSZJITO,X,O
LSZJIOT,X,O
LSZJOTI,X,O
LSZJOIT,X,O
LSZOTIJ,X,O
LSZOTJI,X,O
LSZOITJ,X,O
LSZOIJT,X,O
LSZOJTI,X,O
LSZOJIT,X,O
LSOTIJZ,O,O
LSOTIZJ,X,O
LSOTJIZ,O,O
LSOTJZI,O,O
LSOTZIJ,X,O
LSOTZJI,X,O
LSOITJZ,O,O
LSOITZJ,X,O
LSOIJTZ,O,O
LSOIJZT,O,O
LSOIZTJ,X,O
LSOIZJT,X,O
LSOJTIZ,O,O
LSOJTZI,O,O
LSOJITZ,O,O
LSOJIZT,O,O
LSOJZTI,O,O
LSOJZIT,O,O
LSOZTIJ,X,O
LSOZTJI,X,O
LSOZITJ,X,O
LSOZIJT,X,O
LSOZJTI,X,O
LSOZJIT,X,O
LZTIJSO,O,X
LZTIJOS,O,X
LZTISJO,X,O
LZTISOJ,X,O
LZTIOJS,O,X
LZTIOSJ,X,O
LZTJISO,O,X
LZTJIOS,O,X
LZTJSIO,O,X
LZTJSOI,O,X
LZTJOIS,O,X
LZTJOSI,O,X
LZTSIJO,X,O
LZTSIOJ,X,O
LZTSJIO,X,O
LZTSJOI,X,O
LZTSOIJ,X,O
LZTSOJI,X,O
LZTOIJS,O,X
LZTOISJ,X,O
LZTOJIS,O,X
LZTOJSI,O,X
LZTOSIJ,X,O
LZTOSJI,X,O
LZITJSO,O,X
LZITJOS,O,X
LZITSJO,X,O
LZITSOJ,X,O
LZITOJS,O,X
LZITOSJ,X,O
LZIJTSO,O,X
LZIJTOS,O,X
LZIJSTO,O,O
LZIJSOT,O,O
LZIJOTS,O,X
LZIJOST,O,O
LZISTJO,X,O
LZISTOJ,X,O
LZISJTO,X,O
LZISJOT,X,O
LZISOTJ,X,O
LZISOJT,X,O
LZIOTJS,O,X
LZIOTSJ,X,O
LZIOJTS,O,X
LZIOJST,O,O
LZIOSTJ,X,O
LZIOSJT,X,O
LZJTISO,O,X
LZJTIOS,O,X
LZJTSIO,O,X
LZJTSOI,O,X
LZJTOIS,O,X
LZJTOSI,O,X
LZJITSO,O,X
LZJITOS,O,X
LZJISTO,O,O
LZJISOT,O,O
LZJIOTS,O,X
LZJIOST,O,O
LZJSTIO,O,O
LZJSTOI,O,O
LZJSITO,O,O
LZJSIOT,O,O
LZJSOTI,O,O
LZJSOIT,O,O
LZJOTIS,O,X
LZJOTSI,O,X
LZJOITS,O,X
LZJOIST,O,O
LZJOSTI,O,O
LZJOSIT,O,O
LZSTIJO,X,O
LZSTIOJ,X,O
LZSTJIO,X,O
LZSTJOI,X,O
LZSTOIJ,X,O
LZSTOJI,X,O
LZSITJO,X,O
LZSITOJ,X,O
LZSIJTO,X,O
LZSIJOT,X,O
LZSIOTJ,X,O
LZSIOJT,X,O
LZSJTIO,X,O
LZSJTOI,X,O
LZSJITO,X,O
LZSJIOT,X,O
LZSJOTI,X,O
LZSJOIT,X,O
LZSOTIJ,X,O
LZSOTJI,X,O
LZSOITJ,X,O
LZSOIJT,X,O
LZSOJTI,X,O
LZSOJIT,X,O
LZOTIJS,O,X
LZOTISJ,X,O
LZOTJIS,O,X
LZOTJSI,O,X
LZOTSIJ,X,O
LZOTSJI,X,O
LZOITJS,O,X
LZOITSJ,X,O
LZOIJTS,O,X
LZOIJST,O,O
LZOISTJ,X,O
LZOISJT,X,O
LZOJTIS,O,X
LZOJTSI,O,X
LZOJITS,O,X
LZOJIST,O,O
LZOJSTI,O,O
LZOJSIT,O,O
LZOSTIJ,X,O
LZOSTJI,X,O
LZOSITJ,X,O
LZOSIJT,X,O
LZOSJTI,X,O
LZOSJIT,X,O
LOTIJSZ,O,X
LOTIJZS,O,X
LOTISJZ,O,O
LOTISZJ,X,O
LOTIZJS,O,X
LOTIZSJ,X,O
LOTJISZ,O,X
LOTJIZS,O,X
LOTJSIZ,O,X
LOTJSZI,O,X
LOTJZIS,O,X
LOTJZSI,O,X
LOTSIJZ,O,O
LOTSIZJ,X,O
LOTSJIZ,O,O
LOTSJZI,O,O
LOTSZIJ,X,O
LOTSZJI,X,O
LOTZIJS,O,X
LOTZISJ,X,O
LOTZJIS,O,X
LOTZJSI,O,X
LOTZSIJ,X,O
LOTZSJI,X,O
LOITJSZ,O,X
LOITJZS,O,X
LOITSJZ,O,O
LOITSZJ,X,O
LOITZJS,O,X
LOITZSJ,X,O
LOIJTSZ,O,X
LOIJTZS,O,X
LOIJSTZ,O,O
LOIJSZT,O,O
LOIJZTS,O,X
LOIJZST,O,O
LOISTJZ,O,O
LOISTZJ,X,O
LOISJTZ,O,O
LOISJZT,O,O
LOISZTJ,X,O
LOISZJT,X,O
LOIZTJS,O,X
LOIZTSJ,X,O
LOIZJTS,O,X
LOIZJST,O,O
LOIZSTJ,X,O
LOIZSJT,X,O
LOJTISZ,O,X
LOJTIZS,O,X
LOJTSIZ,O,X
LOJTSZI,O,X
LOJTZIS,O,X
LOJTZSI,O,X
LOJITSZ,O,X
LOJITZS,O,X
LOJISTZ,O,O
LOJISZT,O,O
LOJIZTS,O,X
LOJIZST,O,O
LOJSTIZ,O,O
LOJSTZI,O,O
LOJSITZ,O,O
LOJSIZT,O,O
LOJSZTI,O,O
LOJSZIT,O,O
LOJZTIS,O,X
LOJZTSI,O,X
LOJZITS,O,X
LOJZIST,O,O
LOJZSTI,O,O
LOJZSIT,O,O
LOSTIJZ,O,O
LOSTIZJ,X,O
LOSTJIZ,O,O
LOSTJZI,O,O
LOSTZIJ,X,O
LOSTZJI,X,O
LOSITJZ,O,O
LOSITZJ,X,O
LOSIJTZ,O,O
LOSIJZT,O,O
LOSIZTJ,X,O
LOSIZJT,X,O
LOSJTIZ,O,O
LOSJTZI,O,O
LOSJITZ,O,O
LOSJIZT,O,O
LOSJZTI,O,O
LOSJZIT,O,O
LOSZTIJ,X,O
LOSZTJI,X,O
LOSZITJ,X,O
LOSZIJT,X,O
LOSZJTI,X,O
LOSZJIT,X,O
LOZTIJS,O,X
LOZTISJ,X,O
LOZTJIS,O,X
LOZTJSI,O,X
LOZTSIJ,X,O
LOZTSJI,X,O
LOZITJS,O,X
LOZITSJ,X,O
LOZIJTS,O,X
LOZIJST,O,O
LOZISTJ,X,O
LOZISJT,X,O
LOZJTIS,O,X
LOZJTSI,O,X
LOZJITS,O,X
LOZJIST,O,O
LOZJSTI,O,O
LOZJSIT,O,O
LOZSTIJ,X,O
LOZSTJI,X,O
LOZSITJ,X,O
LOZSIJT,X,O
LOZSJTI,X,O
LOZSJIT,X,O
JTILSZO,O,X
JTILSOZ,O,X
JTILZSO,O,X
JTILZOS,O,X
JTILOSZ,O,X
JTILOZS,O,X
JTISLZO,O,X
JTISLOZ,O,X
JTISZLO,O,X
JTISZOL,O,X
JTISOLZ,O,X
JTISOZL,O,X
JTIZLSO,O,X
JTIZLOS,O,X
JTIZSLO,O,X
JTIZSOL,O,X
JTIZOLS,O,X
JTIZOSL,O,X
JTIOLSZ,O,X
JTIOLZS,O,X
JTIOSLZ,O,X
JTIOSZL,O,X
JTIOZLS,O,X
JTIOZSL,O,X
JTLISZO,O,X
JTLISOZ,O,X
JTLIZSO,O,X
JTLIZOS,O,X
JTLIOSZ,O,X
JTLIOZS,O,X
JTLSIZO,O,X
JTLSIOZ,O,X
JTLSZIO,O,X
JTLSZOI,O,X
JTLSOIZ,O,X
JTLSOZI,O,X
JTLZISO,O,X
JTLZIOS,O,X
JTLZSIO,O,X
JTLZSOI,O,X
JTLZOIS,O,X
JTLZOSI,O,X
JTLOISZ,O,X
JTLOIZS,O,X
JTLOSIZ,O,X
JTLOSZI,O,X
JTLOZIS,O,X
JTLOZSI,O,X
JTSILZO,O,X
JTSILOZ,O,X
JTSIZLO,O,X
JTSIZOL,O,X
JTSIOLZ,O,X
JTSIOZL,O,X
JTSLIZO,O,X
JTSLIOZ,O,X
JTSLZIO,O,X
