sequence,v115@JhA8AeA8EeE8EeD8DeA8KeT/IvhFlgBumB3iB5oB8s?BywB,v115@JhA8AeA8EeE8EeD8DeA8KeT/IvhFlgBUiB5oB+rBys?B3sB
TLIOZSJ,O,X
TLJISZO,X,X
TLJISOZ,X,X
TLJIZSO,O,X
TLJIZOS,O,O
TLJIOSZ,X,X
TLJIOZS,O,O
TLJSIZO,X,X
TLJSIOZ,X,X
TLJSZIO,X,X
TLJSZOI,X,X
TLJSOIZ,X,X
TLJSOZI,X,X
TLJZISO,O,X
TLJZIOS,O,O
TLJZSIO,O,X
TLJZSOI,O,X
TLJZOIS,O,O
TLJZOSI,O,X
TLJOISZ,X,X
TLJOIZS,O,O
TLJOSIZ,X,X
TLJOSZI,X,X
TLJOZIS,O,O
TLJOZSI,O,X
TLSIJZO,X,X
TLSIJOZ,X,X
TLSIZJO,X,X
TLSIZOJ,X,X
TLSIOJZ,X,X
TLSIOZJ,X,X
TLSJIZO,X,X
TLSJIOZ,X,X
TLSJZIO,X,X
TLSJZOI,X,X
TLSJOIZ,X,X
TLSJOZI,X,X
TLSZIJO,X,X
TLSZIOJ,X,X
TLSZJIO,X,X
TLSZJOI,X,X
TLSZOIJ,X,X
TLSZOJI,X,X
TLSOIJZ,X,X
TLSOIZJ,X,X
TLSOJIZ,X,X
TLSOJZI,X,X
TLSOZIJ,X,X
TLSOZJI,X,X
TLZIJSO,O,X
TLZIJOS,O,X
TLZISJO,O,X
TLZISOJ,O,X
TLZIOJS,O,X
TLZIOSJ,O,X
TLZJISO,O,X
TLZJIOS,O,X
TLZJSIO,O,X
TLZJSOI,O,X
TLZJOIS,O,X
TLZJOSI,O,X
TLZSIJO,O,X
TLZSIOJ,O,X
TLZSJIO,O,X
TLZSJOI,O,X
TLZSOIJ,O,X
TLZSOJI,O,X
TLZOIJS,O,X
TLZOISJ,O,X
TLZOJIS,O,X
TLZOJSI,O,X
TLZOSIJ,O,X
TLZOSJI,O,X
TLOIJSZ,X,X
TLOIJZS,O,O
TLOISJZ,X,X
TLOISZJ,X,X
TLOIZJS,O,X
TLOIZSJ,O,X
TLOJISZ,X,X
TLOJIZS,O,O
