sequence,v115@OhA8BeA8AeA8DeF8DeC8Je/EJvhFRgBcmBOnBTjB6q?B1wB,v115@OhA8BeA8AeA8DeF8DeC8Je/EJvhFFgBxhBTjBqqBmm?B0rB,v115@OhA8BeA8AeA8DeF8DeC8Je/EJvhFRgBFiBTjB6qB0m?B2wB,v115@OhA8BeA8AeA8DeF8DeC8Jex/IvhFOnBTjBlkBCmB0r?BXrB,v115@OhA8BeA8AeA8DeF8DeC8Je/EJvhFUgBFhBOnBTjBSr?BRwB
TILJSZO,X,X,X,X,X
TILJSOZ,X,X,X,X,X
TILJZSO,X,X,X,X,X
TILJZOS,X,X,X,X,X
TILJOSZ,X,X,X,X,X
TILJOZS,X,X,X,X,X
TILSJZO,X,X,X,X,X
TILSJOZ,X,X,X,X,X
TILSZJO,X,X,X,X,X
TILSZOJ,X,X,X,X,X
TILSOJZ,X,X,X,X,X
TILSOZJ,X,X,X,X,X
TILZJSO,X,X,X,X,X
TILZJOS,X,X,X,X,X
TILZSJO,X,X,X,X,X
TILZSOJ,X,X,X,X,X
TILZOJS,X,X,X,X,X
TILZOSJ,X,X,X,X,X
TILOJSZ,X,X,X,X,X
TILOJZS,X,X,X,X,X
TILOSJZ,X,X,X,X,X
TILOSZJ,X,X,X,X,X
TILOZJS,X,X,X,X,X
TILOZSJ,X,X,X,X,X
TIJLSZO,X,X,X,X,X
TIJLSOZ,X,X,X,X,X
TIJLZSO,X,X,X,X,X
TIJLZOS,X,X,X,X,X
TIJLOSZ,X,X,X,X,X
TIJLOZS,X,X,X,X,X
TIJSLZO,X,X,X,X,X
TIJSLOZ,X,X,X,X,X
TIJSZLO,X,X,X,X,X
TIJSZOL,X,X,X,X,X
TIJSOLZ,X,X,X,X,X
TIJSOZL,X,X,X,X,X
TIJZLSO,X,X,X,X,X
TIJZLOS,X,X,X,O,X
TIJZSLO,X,X,X,X,X
TIJZSOL,X,X,X,X,X
TIJZOLS,X,X,X,O,X
TIJZOSL,X,X,X,X,X
TIJOLSZ,X,X,X,X,X
TIJOLZS,X,X,X,X,X
TIJOSLZ,X,X,X,X,X
TIJOSZL,X,X,X,X,X
TIJOZLS,X,X,X,O,X
TIJOZSL,X,X,X,X,X
TISLJZO,X,X,X,X,X
TISLJOZ,X,X,X,X,X
TISLZJO,X,X,X,X,X
TISLZOJ,X,X,X,X,X
TISLOJZ,X,X,X,X,X
TISLOZJ,X,X,X,X,X
TISJLZO,X,X,X,X,X
TISJLOZ,X,X,X,X,X
TISJZLO,X,X,X,X,X
TISJZOL,X,X,X,X,X
TISJOLZ,X,X,X,X,X
TISJOZL,X,X,X,X,X
TISZLJO,X,X,X,X,X
TISZLOJ,X,X,X,X,X
TISZJLO,X,X,X,X,X
TISZJOL,X,X,X,X,X
TISZOLJ,X,X,X,X,X
TISZOJL,X,X,X,X,X
TISOLJZ,X,X,X,X,X
TISOLZJ,X,X,X,X,X
TISOJLZ,X,X,X,X,X
TISOJZL,X,X,X,X,X
TISOZLJ,X,X,X,X,X
TISOZJL,X,X,X,X,X
TIZLJSO,X,X,X,X,X
TIZLJOS,X,X,X,O,X
TIZLSJO,X,X,X,X,X
TIZLSOJ,X,X,X,X,X
TIZLOJS,X,X,X,O,X
TIZLOSJ,X,X,X,X,X
TIZJLSO,X,X,X,X,X
TIZJLOS,X,X,X,O,X
TIZJSLO,X,X,X,X,X
TIZJSOL,X,X,X,X,X
TIZJOLS,X,X,X,O,X
TIZJOSL,X,X,X,X,X
TIZSLJO,X,X,X,X,X
TIZSLOJ,X,X,X,X,X
TIZSJLO,X,X,X,X,X
TIZSJOL,X,X,X,X,X
TIZSOLJ,X,X,X,X,X
TIZSOJL,X,X,X,X,X
TIZOLJS,X,X,X,O,X
TIZOLSJ,X,X,X,X,X
TIZOJLS,X,X,X,O,X
TIZOJSL,X,X,X,X,X
TIZOSLJ,X,X,X,X,X
TIZOSJL,X,X,X,X,X
TIOLJSZ,X,X,X,X,X
TIOLJZS,X,X,X,X,X
TIOLSJZ,X,X,X,X,X
TIOLSZJ,X,X,X,X,X
TIOLZJS,X,X,X,X,X
TIOLZSJ,X,X,X,X,X
TIOJLSZ,X,X,X,X,X
TIOJLZS,X,X,X,X,X
TIOJSLZ,X,X,X,X,X
TIOJSZL,X,X,X,X,X
TIOJZLS,X,X,X,O,X
TIOJZSL,X,X,X,X,X
TIOSLJZ,X,X,X,X,X
TIOSLZJ,X,X,X,X,X
TIOSJLZ,X,X,X,X,X
TIOSJZL,X,X,X,X,X
TIOSZLJ,X,X,X,X,X
TIOSZJL,X,X,X,X,X
TIOZLJS,X,X,X,O,X
TIOZLSJ,X,X,X,X,X
TIOZJLS,X,X,X,O,X
TIOZJSL,X,X,X,X,X
TIOZSLJ,X,X,X,X,X
TIOZSJL,X,X,X,X,X
TLIJSZO,X,X,X,X,X
TLIJSOZ,X,X,X,X,X
TLIJZSO,X,X,X,X,X
TLIJZOS,X,X,X,X,X
TLIJOSZ,X,X,X,X,X
TLIJOZS,X,X,X,X,X
TLISJZO,X,X,X,X,X
TLISJOZ,X,X,X,X,X
TLISZJO,X,X,X,X,X
TLISZOJ,X,X,X,X,X
TLISOJZ,X,X,X,X,X
TLISOZJ,X,X,X,X,X
TLIZJSO,X,X,X,X,X
TLIZJOS,X,X,X,X,X
TLIZSJO,X,X,X,X,X
TLIZSOJ,X,X,X,X,X
TLIZOJS,X,X,X,X,X
TLIZOSJ,X,X,X,X,X
TLIOJSZ,X,X,X,X,X
TLIOJZS,X,X,X,X,X
TLIOSJZ,X,X,X,X,X
TLIOSZJ,X,X,X,X,X
TLIOZJS,X,X,X,X,X
TLIOZSJ,X,X,X,X,X
TLJISZO,X,X,X,X,X
TLJISOZ,X,X,X,X,X
TLJIZSO,X,X,X,X,X
TLJIZOS,X,X,X,X,X
TLJIOSZ,X,X,X,X,X
TLJIOZS,X,X,X,X,X
TLJSIZO,X,X,X,X,X
TLJSIOZ,X,X,X,X,X
TLJSZIO,O,X,X,X,X
TLJSZOI,O,X,X,X,X
TLJSOIZ,X,X,X,X,X
TLJSOZI,O,X,X,X,X
TLJZISO,X,X,X,X,X
TLJZIOS,X,X,X,X,X
TLJZSIO,O,X,X,X,X
TLJZSOI,O,X,X,X,X
TLJZOIS,X,X,X,X,X
TLJZOSI,O,X,X,X,X
TLJOISZ,X,X,X,X,X
TLJOIZS,X,X,X,X,X
TLJOSIZ,X,X,X,X,X
TLJOSZI,O,X,X,X,X
TLJOZIS,X,X,X,X,X
TLJOZSI,O,X,X,X,X
TLSIJZO,X,X,X,X,X
TLSIJOZ,X,X,X,X,X
TLSIZJO,X,X,X,X,X
TLSIZOJ,X,X,X,X,X
TLSIOJZ,X,X,O,X,X
TLSIOZJ,X,X,X,X,X
TLSJIZO,X,X,X,X,X
TLSJIOZ,X,X,X,X,X
TLSJZIO,O,X,X,X,X
TLSJZOI,O,X,X,X,X
TLSJOIZ,X,X,X,X,X
TLSJOZI,O,X,X,X,X
TLSZIJO,O,X,X,X,X
TLSZIOJ,O,X,X,X,X
TLSZJIO,O,X,X,X,X
TLSZJOI,O,X,X,X,X
TLSZOIJ,O,X,X,X,X
TLSZOJI,O,X,X,X,X
TLSOIJZ,X,X,O,X,X
TLSOIZJ,X,X,X,X,X
TLSOJIZ,X,X,X,X,X
TLSOJZI,O,X,X,X,X
TLSOZIJ,O,X,X,X,X
TLSOZJI,O,X,X,X,X
TLZIJSO,X,X,X,X,X
TLZIJOS,X,X,X,X,X
TLZISJO,X,X,X,X,X
TLZISOJ,X,X,X,X,X
TLZIOJS,X,X,X,X,X
TLZIOSJ,X,X,X,X,X
TLZJISO,X,X,X,X,X
TLZJIOS,X,X,X,X,X
TLZJSIO,O,X,X,X,X
TLZJSOI,O,X,X,X,X
TLZJOIS,X,X,X,X,X
TLZJOSI,O,X,X,X,X
TLZSIJO,O,X,X,X,X
TLZSIOJ,O,X,X,X,X
TLZSJIO,O,X,X,X,X
TLZSJOI,O,X,X,X,X
TLZSOIJ,O,X,X,X,X
TLZSOJI,O,X,X,X,X
TLZOIJS,X,X,X,X,X
TLZOISJ,X,X,X,X,X
TLZOJIS,X,X,X,X,X
TLZOJSI,O,X,X,X,X
TLZOSIJ,O,X,X,X,X
TLZOSJI,O,X,X,X,X
TLOIJSZ,X,X,X,X,X
TLOIJZS,X,X,X,X,X
TLOISJZ,X,X,X,X,X
TLOISZJ,X,X,X,X,X
TLOIZJS,X,X,X,X,X
TLOIZSJ,X,X,X,X,X
TLOJISZ,X,X,X,X,X
TLOJIZS,X,X,X,X,X
TLOJSIZ,X,X,X,X,X
TLOJSZI,O,X,X,X,X
TLOJZIS,X,X,X,X,X
TLOJZSI,O,X,X,X,X
TLOSIJZ,X,X,O,X,X
TLOSIZJ,X,X,X,X,X
TLOSJIZ,X,X,X,X,X
TLOSJZI,O,X,X,X,X
TLOSZIJ,O,X,X,X,X
TLOSZJI,O,X,X,X,X
TLOZIJS,X,X,X,X,X
TLOZISJ,X,X,X,X,X
TLOZJIS,X,X,X,X,X
TLOZJSI,O,X,X,X,X
TLOZSIJ,O,X,X,X,X
TLOZSJI,O,X,X,X,X
TJILSZO,X,X,X,X,X
TJILSOZ,X,X,X,X,X
TJILZSO,X,X,X,X,X
TJILZOS,X,X,X,X,X
TJILOSZ,X,X,X,X,X
TJILOZS,X,X,X,X,X
TJISLZO,X,X,X,X,X
TJISLOZ,X,X,X,X,X
TJISZLO,X,X,X,X,X
TJISZOL,X,X,X,X,X
TJISOLZ,X,X,X,X,X
TJISOZL,X,X,X,X,X
