sequence,v115@RhB8AeA8FeI8KeT/IvhFOlBlhB3iB5oBUrByxB,v115@RhB8AeA8FeI8KeT/IvhFOlB/nBaoB5oBFrB0rB
TILJSZO,X,X
TILJSOZ,X,O
TILJZSO,X,X
TILJZOS,X,X
TILJOSZ,X,O
TILJOZS,X,X
TILSJZO,X,X
TILSJOZ,X,O
TILSZJO,X,X
TILSZOJ,X,X
TILSOJZ,X,O
TILSOZJ,X,X
TILZJSO,X,X
TILZJOS,X,X
TILZSJO,X,X
TILZSOJ,X,X
TILZOJS,X,X
TILZOSJ,X,X
TILOJSZ,X,O
TILOJZS,X,X
TILOSJZ,X,O
TILOSZJ,X,X
TILOZJS,X,X
TILOZSJ,X,X
TIJLSZO,X,X
TIJLSOZ,X,O
TIJLZSO,X,X
TIJLZOS,X,X
TIJLOSZ,X,O
TIJLOZS,X,X
TIJSLZO,X,X
TIJSLOZ,X,O
TIJSZLO,X,X
TIJSZOL,X,X
TIJSOLZ,X,O
TIJSOZL,X,X
TIJZLSO,X,X
TIJZLOS,X,X
TIJZSLO,X,X
TIJZSOL,X,X
TIJZOLS,X,X
TIJZOSL,X,X
TIJOLSZ,X,O
TIJOLZS,X,X
TIJOSLZ,X,O
TIJOSZL,X,X
TIJOZLS,X,X
TIJOZSL,X,X
TISLJZO,X,X
TISLJOZ,X,O
TISLZJO,X,X
TISLZOJ,X,X
TISLOJZ,X,O
TISLOZJ,X,X
TISJLZO,X,X
TISJLOZ,X,O
TISJZLO,X,X
TISJZOL,X,X
TISJOLZ,X,O
TISJOZL,X,X
TISZLJO,X,X
TISZLOJ,X,X
TISZJLO,X,X
TISZJOL,X,X
TISZOLJ,X,X
TISZOJL,X,X
TISOLJZ,X,O
TISOLZJ,X,X
TISOJLZ,X,O
TISOJZL,X,X
TISOZLJ,X,X
TISOZJL,X,X
TIZLJSO,X,X
TIZLJOS,X,X
TIZLSJO,X,X
TIZLSOJ,X,X
TIZLOJS,X,X
TIZLOSJ,X,X
TIZJLSO,X,X
TIZJLOS,X,X
TIZJSLO,X,X
TIZJSOL,X,X
TIZJOLS,X,X
TIZJOSL,X,X
TIZSLJO,X,X
TIZSLOJ,X,X
TIZSJLO,X,X
TIZSJOL,X,X
TIZSOLJ,X,X
TIZSOJL,X,X
TIZOLJS,X,X
TIZOLSJ,X,X
TIZOJLS,X,X
TIZOJSL,X,X
TIZOSLJ,X,X
TIZOSJL,X,X
TIOLJSZ,X,O
TIOLJZS,X,X
TIOLSJZ,X,O
TIOLSZJ,X,X
TIOLZJS,X,X
TIOLZSJ,X,X
TIOJLSZ,X,O
TIOJLZS,X,X
TIOJSLZ,X,O
TIOJSZL,X,X
TIOJZLS,X,X
TIOJZSL,X,X
TIOSLJZ,X,O
TIOSLZJ,X,X
TIOSJLZ,X,O
TIOSJZL,X,X
TIOSZLJ,X,X
TIOSZJL,X,X
TIOZLJS,X,X
TIOZLSJ,X,X
TIOZJLS,X,X
TIOZJSL,X,X
TIOZSLJ,X,X
TIOZSJL,X,X
TLIJSZO,X,X
TLIJSOZ,X,O
TLIJZSO,X,X
TLIJZOS,X,X
TLIJOSZ,X,O
TLIJOZS,X,X
TLISJZO,X,X
TLISJOZ,X,O
TLISZJO,X,X
TLISZOJ,X,X
TLISOJZ,X,O
TLISOZJ,X,X
TLIZJSO,X,X
TLIZJOS,X,X
TLIZSJO,X,X
TLIZSOJ,X,X
TLIZOJS,X,X
TLIZOSJ,X,X
TLIOJSZ,X,O
TLIOJZS,X,X
TLIOSJZ,X,O
TLIOSZJ,X,X
TLIOZJS,X,X
TLIOZSJ,X,X
TLJISZO,X,X
TLJISOZ,X,O
TLJIZSO,X,X
TLJIZOS,X,X
TLJIOSZ,X,O
TLJIOZS,X,X
TLJSIZO,X,X
TLJSIOZ,X,O
TLJSZIO,X,X
TLJSZOI,X,X
TLJSOIZ,X,O
TLJSOZI,X,X
TLJZISO,X,X
TLJZIOS,X,X
TLJZSIO,X,X
TLJZSOI,X,X
TLJZOIS,X,X
TLJZOSI,X,X
