sequence,v115@ShB8AeC8DeF8BeA8JeZEJvhFzfBulB3hBFjB6sBctB,v115@ShB8AeC8DeF8BeA8JeZEJvhFzfBulB3hBlnBctBCtB,v115@ShB8AeC8DeF8BeA8Jex/IvhF0hB6nBOpBllBToBXtB,v115@ShB8AeC8DeF8BeA8Jex/IvhF0hB6nBTjBOpBllBXtB
TILJSZO,X,X,X,X
TILJSOZ,X,X,X,X
TILJZSO,X,X,X,X
TILJZOS,X,X,X,X
TILJOSZ,X,X,X,X
TILJOZS,X,X,X,X
TILSJZO,X,X,X,X
TILSJOZ,X,X,X,X
TILSZJO,X,X,X,X
TILSZOJ,X,X,X,X
TILSOJZ,X,X,X,X
TILSOZJ,X,X,X,X
TILZJSO,X,X,X,X
TILZJOS,X,X,X,X
TILZSJO,X,X,X,X
TILZSOJ,X,X,X,X
TILZOJS,X,X,X,X
TILZOSJ,X,X,X,X
TILOJSZ,X,X,X,X
TILOJZS,X,X,X,X
TILOSJZ,X,X,X,X
TILOSZJ,X,X,X,X
TILOZJS,X,X,X,X
TILOZSJ,X,X,X,X
TIJLSZO,X,X,X,X
TIJLSOZ,X,X,X,X
TIJLZSO,X,X,X,X
TIJLZOS,X,X,X,X
TIJLOSZ,X,X,X,X
TIJLOZS,X,X,X,X
TIJSLZO,X,X,X,X
TIJSLOZ,X,X,X,X
TIJSZLO,X,X,X,X
TIJSZOL,X,X,X,X
TIJSOLZ,X,X,X,X
TIJSOZL,X,X,X,X
TIJZLSO,X,X,X,X
TIJZLOS,X,X,X,X
TIJZSLO,X,X,X,X
TIJZSOL,X,X,X,X
TIJZOLS,X,X,X,X
TIJZOSL,X,X,X,X
TIJOLSZ,X,X,X,X
TIJOLZS,X,X,X,X
TIJOSLZ,X,X,X,X
TIJOSZL,X,X,X,X
TIJOZLS,X,X,X,X
TIJOZSL,X,X,X,X
TISLJZO,X,X,X,X
TISLJOZ,X,X,X,X
TISLZJO,X,X,X,X
TISLZOJ,X,X,X,O
TISLOJZ,X,X,X,X
TISLOZJ,X,X,X,O
TISJLZO,X,X,X,X
TISJLOZ,X,X,X,X
TISJZLO,X,X,X,X
TISJZOL,X,X,X,X
TISJOLZ,X,X,X,X
TISJOZL,X,X,X,X
TISZLJO,X,X,X,X
TISZLOJ,X,X,X,O
TISZJLO,X,X,X,X
TISZJOL,X,X,X,X
TISZOLJ,X,X,X,O
TISZOJL,X,X,X,X
TISOLJZ,X,X,X,X
TISOLZJ,X,X,X,O
TISOJLZ,X,X,X,X
TISOJZL,X,X,X,X
TISOZLJ,X,X,X,O
TISOZJL,X,X,X,X
TIZLJSO,X,X,X,X
TIZLJOS,X,X,X,X
TIZLSJO,X,X,X,X
TIZLSOJ,X,X,X,O
TIZLOJS,X,X,X,X
TIZLOSJ,X,X,X,X
TIZJLSO,X,X,X,X
TIZJLOS,X,X,X,X
TIZJSLO,X,X,X,X
TIZJSOL,X,X,X,X
TIZJOLS,X,X,X,X
TIZJOSL,X,X,X,X
TIZSLJO,X,X,X,X
TIZSLOJ,X,X,X,O
TIZSJLO,X,X,X,X
TIZSJOL,X,X,X,X
TIZSOLJ,X,X,X,O
TIZSOJL,X,X,X,X
TIZOLJS,X,X,X,X
TIZOLSJ,X,X,X,X
TIZOJLS,X,X,X,X
TIZOJSL,X,X,X,X
TIZOSLJ,X,X,X,X
TIZOSJL,X,X,X,X
TIOLJSZ,X,X,X,X
TIOLJZS,X,X,X,X
TIOLSJZ,X,X,X,X
TIOLSZJ,X,X,X,X
TIOLZJS,X,X,X,X
