sequence,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFmdB5jBcmBT?iBKtBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhF6jBFhBmiB3?mBcsBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhF6jBFhBXiB8?nBmrBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFTeBFhB0iB3?mB+tBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFmdB5jBFiBT?mBcsBKtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFTeBFhBXiBS?tBmrBUtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFyiB+jBFhB3?mBcsBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFmdB5jBTmBi?nBUtBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Le08IvhFxdBamBGjBf?sBlnBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Le+DJvhFUhBRiB3iBi?mBFsBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFxdBFiBTmBc?sBOtB6tB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lem8IvhFzdB5jBFhB3?mBcsBKtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFTdBcmBynB5?oBOtBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lez9IvhF5jBFhB2nBf?sBimBUtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFKiBzdBcmBO?tB5oBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFTmBxnBFnBG?tBctBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeFBJvhFxiBXjBasB+?tBTrB0sB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFTdBcmBxnBO?tB6tBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFFiBTmBxsBG?tBctBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeFBJvhFxiB0iBasB+?tBTrBXtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Le09IvhF6jBRhBOmBf?sBlnBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFcmBxiBTiBO?tB6tBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFxdBFiBTmBc?sB6tBOtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeU+IvhFFhBXiBSoBx?rBTtBmrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex9IvhFFhBXjBasB+?tB0sBTrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeVBJvhFajB5jBTiB3?hBmrBUtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeTCJvhF0mBXoB5oBF?mBatBmrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFTeBUhBFiBf?tB6tBmrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex9IvhFFhBXiBcsBO?tB6tBTrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex9IvhFFhB0iBasB+?tBXtBTrB
TIJLSZO,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
TIJLSOZ,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O
TIJLZOS,X,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSOLZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJZLSO,X,O,O,O,X,X,X,X,X,X,X,O,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TIJZLOS,X,O,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TIJZSLO,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X
TIJZSOL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TIJZOLS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJZOSL,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TIJOLSZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJOZLS,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJOZSL,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TISLJZO,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISLOJZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISJLZO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISJZOL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISZLJO,X,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZLOJ,X,O,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZJLO,X,O,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZJOL,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISZOLJ,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TISZOJL,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TISOLJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISOLZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TISOJLZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISOJZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TISOZLJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TISOZJL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TIZLJSO,O,O,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZLJOS,O,O,O,X,X,O,X,X,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZLSJO,O,X,O,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZLSOJ,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZLOSJ,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZJLSO,X,O,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZJLOS,X,O,O,O,X,X,X,X,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZJSLO,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TIZJSOL,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TIZJOLS,X,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZJOSL,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TIZSLJO,O,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJLO,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TIZSJOL,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TIZSOLJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
TIZSOJL,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIZOLJS,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZOLSJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZOJLS,X,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZOJSL,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZOSLJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
TIZOSJL,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIOLJSZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOLZJS,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOJZLS,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOSJLZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOSJZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TIOSZLJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TIOSZJL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TIOZLJS,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOZJLS,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIOZSJL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLIJSZO,O,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
TLIJSOZ,O,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,X,X,O,O,O,X,X,X,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TLIJZOS,O,X,X,O,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISJZO,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIZJSO,O,O,O,X,O,O,X,X,X,X,X,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIZJOS,O,O,O,X,O,O,X,X,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIZSJO,O,X,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,O,O,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIOZJS,O,O,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
TLJISOZ,O,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,X,X,O,O,O,X,X,X,X,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O
TLJIZOS,O,X,X,O,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
TLJSIOZ,O,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TLJSZOI,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TLJSOIZ,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,O,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJZISO,O,X,X,O,O,O,X,X,X,X,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,O
