sequence,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeZ/IvhFufB3bBTeBy?lB0iBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeZ/IvhFCbBehBTeBX?gB0iBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jei6IvhFzbBckB2lBx?iBXjBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeZ/IvhFWgBTeBylB0?iBfqBlqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeT6IvhFmbB0gBxiBX?jBikBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jei7IvhFOkBzgBxiB0?fBXjBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jex6IvhFygBTeBOkB0?iBfqBlqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeT6IvhFlbBykB8lBx?iBXjBmpB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeT+IvhFRgB0iBlkB3?lBOkBiqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jei7IvhF0fBzgBxiBO?kBXjBFqB
TILJSZO,O,O,X,X,X,X,X,X,X,X
TILJSOZ,O,O,X,X,X,X,X,X,X,X
TILJZSO,O,O,O,X,O,X,X,X,X,X
TILJZOS,O,O,O,X,O,X,X,X,X,X
TILJOSZ,O,O,X,X,X,O,X,X,X,X
TILJOZS,O,X,O,X,O,O,X,X,X,X
TILSJZO,O,X,X,X,X,X,X,X,X,X
TILSJOZ,O,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,X,X,O,X,X,X,X,X
TILSZOJ,O,X,X,X,O,X,X,X,X,X
TILSOJZ,O,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,X,X,O,X,X,X,X,X
TILZJSO,O,O,O,X,O,X,X,X,X,X
TILZJOS,O,O,O,X,O,X,X,X,X,X
TILZSJO,O,X,O,X,O,X,X,X,X,X
TILZSOJ,O,X,X,X,O,X,X,X,X,X
TILZOJS,O,O,O,X,O,X,X,X,X,O
TILZOSJ,O,X,X,X,O,X,X,X,X,O
TILOJSZ,O,O,X,X,X,O,X,X,X,X
TILOJZS,O,X,X,X,O,O,X,X,X,O
TILOSJZ,O,X,X,X,X,O,X,X,X,X
TILOSZJ,O,X,X,X,O,X,X,X,X,O
TILOZJS,O,X,X,X,O,O,X,X,X,O
TILOZSJ,O,X,X,X,O,X,X,X,X,O
TIJLSZO,O,O,X,X,X,X,X,X,X,X
TIJLSOZ,O,O,X,X,X,X,X,X,X,X
TIJLZSO,O,O,O,X,O,X,X,O,X,X
TIJLZOS,O,O,O,X,O,X,X,O,X,X
TIJLOSZ,O,O,X,X,X,O,X,X,X,X
TIJLOZS,O,X,O,X,O,O,X,O,X,X
TIJSLZO,O,O,X,X,X,X,X,X,X,X
TIJSLOZ,O,O,X,X,X,X,X,X,X,X
TIJSZLO,O,O,O,X,X,X,X,X,X,X
TIJSZOL,O,O,O,X,X,X,X,X,X,X
TIJSOLZ,O,O,X,X,X,O,X,X,X,X
TIJSOZL,X,O,O,X,X,X,X,X,X,X
TIJZLSO,O,O,O,X,O,X,X,O,X,X
TIJZLOS,O,O,O,X,O,X,X,O,X,X
TIJZSLO,O,O,O,X,O,X,X,O,X,X
TIJZSOL,O,O,O,X,X,X,X,X,X,X
TIJZOLS,O,O,O,X,O,O,X,O,X,O
TIJZOSL,O,O,O,X,X,X,X,X,X,X
TIJOLSZ,O,O,X,X,X,O,X,X,X,X
TIJOLZS,O,X,O,X,X,O,X,X,X,O
TIJOSLZ,O,O,X,X,X,O,X,X,X,X
TIJOSZL,X,O,O,X,X,X,X,X,X,X
TIJOZLS,O,O,O,X,X,O,X,X,X,O
TIJOZSL,O,O,O,X,X,X,X,X,X,X
TISLJZO,O,X,X,O,X,X,X,X,X,X
TISLJOZ,O,X,X,X,X,X,X,X,X,X
TISLZJO,O,X,X,O,O,X,X,X,O,X
TISLZOJ,O,X,X,O,O,X,X,X,O,X
TISLOJZ,O,X,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,X,O,X,X,X,X,X
TISJLZO,O,O,X,O,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,X,X,X,X,X
TISJZLO,O,O,O,O,X,X,X,X,O,X
TISJZOL,O,O,O,O,X,X,X,X,O,X
TISJOLZ,O,O,X,X,X,O,X,X,X,X
TISJOZL,X,O,O,X,X,X,X,X,X,X
TISZLJO,O,X,O,O,O,X,X,X,O,X
TISZLOJ,O,X,X,O,O,X,X,X,O,X
TISZJLO,O,O,O,O,O,X,X,X,O,X
TISZJOL,O,O,O,O,X,X,X,X,O,X
TISZOLJ,O,X,X,O,X,X,X,X,O,O
TISZOJL,O,O,X,O,X,X,X,X,O,X
TISOLJZ,O,X,X,X,X,O,X,X,X,X
TISOLZJ,O,X,X,X,X,X,X,X,X,O
TISOJLZ,O,O,X,X,X,O,X,X,X,X
TISOJZL,X,O,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,X,X,X,X,X,O,O
TISOZJL,X,X,X,X,X,X,X,X,O,X
TIZLJSO,O,O,O,X,O,X,X,O,X,X
TIZLJOS,O,O,O,X,O,X,X,O,X,X
TIZLSJO,O,X,O,X,O,X,X,X,X,X
TIZLSOJ,O,X,X,X,O,X,X,X,X,X
TIZLOJS,O,O,O,X,O,X,X,X,X,O
TIZLOSJ,O,X,X,X,O,X,X,X,X,O
TIZJLSO,O,O,O,X,O,X,X,O,X,X
TIZJLOS,O,O,O,X,O,X,X,O,X,X
TIZJSLO,O,O,O,X,O,X,X,O,X,X
TIZJSOL,O,O,O,X,X,X,X,X,X,X
TIZJOLS,O,O,O,X,O,O,X,O,X,O
TIZJOSL,O,O,O,X,X,X,X,X,X,X
TIZSLJO,O,X,O,O,O,X,X,X,O,X
TIZSLOJ,O,X,X,O,O,X,X,X,O,X
TIZSJLO,O,O,O,O,O,X,X,O,O,X
TIZSJOL,O,O,O,O,X,X,X,X,O,X
TIZSOLJ,O,X,X,O,X,X,X,X,O,O
TIZSOJL,O,O,X,O,X,X,X,X,O,X
TIZOLJS,O,O,O,X,O,O,X,X,X,O
TIZOLSJ,O,X,X,X,O,X,X,X,X,O
TIZOJLS,O,O,O,X,O,O,X,O,X,O
TIZOJSL,O,O,O,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,O,X,X,X,X,O,O
TIZOSJL,O,O,X,O,X,X,X,X,O,X
TIOLJSZ,O,O,X,X,X,O,X,X,X,X
TIOLJZS,O,X,X,X,O,O,X,X,X,O
TIOLSJZ,O,X,X,X,X,O,X,X,X,X
TIOLSZJ,O,X,X,X,O,X,X,X,X,O
TIOLZJS,O,X,X,X,O,O,X,X,X,O
TIOLZSJ,O,X,X,X,O,X,X,X,X,O
TIOJLSZ,O,O,X,X,X,O,X,X,X,X
TIOJLZS,O,X,O,X,X,O,X,X,X,O
TIOJSLZ,O,O,X,X,X,O,X,X,X,X
TIOJSZL,X,O,O,X,X,X,X,X,X,X
TIOJZLS,O,O,O,X,X,O,X,X,X,O
TIOJZSL,O,O,O,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,X,X,O,X,X,X,X
TIOSLZJ,O,X,X,X,X,X,X,X,X,O
TIOSJLZ,O,O,X,X,X,O,X,X,X,X
TIOSJZL,X,O,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,X,X,X,X,O
TIOSZJL,X,X,X,X,X,X,X,X,X,X
TIOZLJS,O,O,O,X,O,O,X,X,X,O
TIOZLSJ,O,X,X,X,O,X,X,X,X,O
TIOZJLS,O,O,O,X,O,O,X,X,X,O
TIOZJSL,O,O,O,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,X,X,X,X,X,X,O
TIOZSJL,O,O,X,X,X,X,X,X,X,X
TLIJSZO,O,O,X,X,X,X,X,X,X,X
TLIJSOZ,O,O,X,X,X,X,X,X,X,X
TLIJZSO,O,O,O,X,O,X,X,X,X,X
TLIJZOS,O,O,O,X,O,X,X,X,X,X
TLIJOSZ,O,O,X,X,X,O,X,X,X,X
TLIJOZS,O,X,O,X,O,O,X,X,X,X
TLISJZO,O,X,X,X,X,X,X,X,X,X
TLISJOZ,O,X,X,X,X,X,X,X,X,X
TLISZJO,O,X,X,X,O,X,X,X,X,X
TLISZOJ,O,X,X,X,O,X,X,X,X,X
TLISOJZ,O,X,X,X,X,X,X,X,X,X
TLISOZJ,O,X,X,X,O,X,X,X,X,X
TLIZJSO,O,O,O,X,O,X,X,X,X,X
TLIZJOS,O,O,O,X,O,X,X,X,X,X
TLIZSJO,O,X,O,X,O,X,X,X,X,X
TLIZSOJ,O,X,X,X,O,X,X,X,X,X
TLIZOJS,O,O,O,X,O,X,X,X,X,O
TLIZOSJ,O,X,X,X,O,X,X,X,X,O
TLIOJSZ,O,O,X,X,X,O,X,X,X,X
TLIOJZS,O,X,X,X,O,O,X,X,X,O
TLIOSJZ,O,X,X,X,X,O,X,X,X,X
TLIOSZJ,O,X,X,X,O,X,X,X,X,O
TLIOZJS,O,X,X,X,O,O,X,X,X,O
TLIOZSJ,O,X,X,X,O,X,X,X,X,O
TLJISZO,O,O,X,X,X,X,X,X,X,X
TLJISOZ,O,O,X,X,X,X,X,X,X,X
TLJIZSO,O,O,O,X,O,X,X,X,X,X
TLJIZOS,O,O,O,X,O,X,X,X,X,X
TLJIOSZ,O,O,X,X,X,O,X,X,X,X
TLJIOZS,O,X,O,X,O,O,X,X,X,X
TLJSIZO,O,O,X,X,X,X,X,X,X,X
TLJSIOZ,O,O,X,X,X,X,X,X,X,X
TLJSZIO,O,O,X,X,X,X,X,X,X,X
TLJSZOI,O,O,X,X,X,X,X,X,X,X
TLJSOIZ,O,O,X,X,X,X,X,X,X,X
TLJSOZI,O,O,X,X,X,X,X,X,X,X
TLJZISO,O,O,O,X,O,X,X,X,X,X
TLJZIOS,O,O,O,X,O,X,X,X,X,X
TLJZSIO,O,O,O,X,O,X,X,X,X,X
TLJZSOI,O,O,O,X,O,X,X,X,X,X
TLJZOIS,O,O,O,X,O,X,X,X,X,X
TLJZOSI,O,O,O,X,O,X,X,X,X,X
TLJOISZ,O,O,X,X,X,O,X,X,X,X
TLJOIZS,O,X,O,X,O,O,X,X,X,X
TLJOSIZ,O,O,X,X,X,O,X,X,X,X
TLJOSZI,O,O,X,X,X,X,X,X,X,X
TLJOZIS,O,X,O,X,O,O,X,X,X,X
TLJOZSI,O,X,O,X,O,X,X,X,X,X
TLSIJZO,O,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,X,X,X,X,X,X,X,X,X
TLSIZJO,O,X,X,X,O,X,X,X,O,X
