sequence,v115@FhB8HeB8IeD8AeB8BeB8JeOEJvhFxgBTiBClB0mBlq?B3sB,v115@FhB8HeB8IeD8AeB8BeB8JeKEJvhFWlBxgBTiB0mBlq?B3sB,v115@FhB8HeB8IeD8AeB8BeB8Jex/IvhFmhBqnBTkB/qBFm?BUsB,v115@FhB8HeB8IeD8AeB8BeB8JeOEJvhF0gBxhBzkBFnBCr?B3sB,v115@FhB8HeB8IeD8AeB8BeB8Jei/IvhFzgBGiB3kBlqBRs?BUsB,v115@FhB8HeB8IeD8AeB8BeB8JeKEJvhFzfBRhBcnBGmBlq?B3sB,v115@FhB8HeB8IeD8AeB8BeB8JeOEJvhF8kBzgBlqBRsBfs?B6sB,v115@FhB8HeB8IeD8AeB8BeB8JexAJvhFTiBikBuqB1rB0k?B3sB,v115@FhB8HeB8IeD8AeB8BeB8Jei/IvhF3gBWnB1pB8qBRs?BTsB,v115@FhB8HeB8IeD8AeB8BeB8Jel/IvhF3gBCiB2pB8qBRs?BTsB
TIJZSLO,O,X,X,X,O,X,O,O,O,O
TIJZSOL,O,X,X,X,O,X,O,O,O,O
TIJZOLS,O,X,X,X,X,X,O,O,O,O
TIJZOSL,O,X,X,X,O,X,O,X,O,O
TIJOLSZ,X,X,X,X,O,X,X,O,X,X
TIJOLZS,X,X,X,X,X,X,X,O,O,O
TIJOSLZ,X,X,X,X,O,X,X,O,X,X
TIJOSZL,X,X,X,X,O,X,X,O,X,X
TIJOZLS,X,X,X,X,X,X,O,O,O,O
TIJOZSL,X,X,X,X,O,X,O,X,O,O
TISLJZO,O,O,X,X,O,O,X,O,O,X
TISLJOZ,O,O,X,X,O,O,X,O,X,X
TISLZJO,O,O,X,X,O,O,X,X,O,X
TISLZOJ,O,O,X,X,O,O,X,X,O,X
TISLOJZ,O,O,X,X,O,O,X,O,X,X
TISLOZJ,O,X,X,X,O,O,X,X,X,X
TISJLZO,O,X,X,X,O,O,X,O,O,X
TISJLOZ,O,X,X,X,O,O,X,O,X,X
TISJZLO,O,X,X,X,O,O,X,O,O,X
TISJZOL,O,X,X,X,O,O,X,O,O,X
TISJOLZ,O,X,X,X,O,X,X,O,X,X
TISJOZL,X,X,X,X,O,X,X,O,X,X
TISZLJO,O,O,X,X,O,O,X,X,O,X
TISZLOJ,O,O,X,X,O,O,X,X,O,X
TISZJLO,O,O,X,X,O,O,O,X,O,X
TISZJOL,O,O,X,X,O,O,O,X,O,X
TISZOLJ,O,O,X,X,O,O,X,X,O,X
TISZOJL,O,O,X,X,O,O,O,X,O,X
TISOLJZ,O,O,X,X,O,X,X,O,X,X
TISOLZJ,O,X,X,X,O,X,X,X,X,X
TISOJLZ,O,X,X,X,O,X,X,O,X,X
TISOJZL,X,X,X,X,O,X,X,O,X,X
TISOZLJ,X,X,X,X,O,X,X,X,X,X
TISOZJL,X,X,X,X,O,X,O,X,X,X
TIZLJSO,O,O,O,X,X,X,O,X,O,O
TIZLJOS,O,O,O,X,X,X,O,X,O,O
TIZLSJO,O,O,X,X,X,X,X,X,O,O
TIZLSOJ,O,O,X,X,X,X,X,X,O,O
TIZLOJS,O,O,O,X,X,X,O,X,O,X
TIZLOSJ,O,O,X,X,X,X,X,X,O,X
TIZJLSO,O,O,X,X,X,X,O,X,O,O
TIZJLOS,O,O,X,X,X,X,O,X,O,O
TIZJSLO,O,O,X,X,O,X,O,X,O,O
TIZJSOL,O,O,X,X,O,X,O,X,O,O
TIZJOLS,O,O,X,X,X,X,O,X,O,O
TIZJOSL,O,X,X,X,O,X,O,X,O,O
TIZSLJO,O,O,X,X,O,X,X,X,O,O
TIZSLOJ,O,O,X,X,O,X,X,X,O,O
TIZSJLO,O,O,X,X,O,X,O,X,O,O
TIZSJOL,O,O,X,X,O,X,O,X,O,O
TIZSOLJ,O,O,X,X,O,X,X,X,O,O
TIZSOJL,O,O,X,X,O,X,O,X,O,X
TIZOLJS,O,O,O,X,X,X,O,X,O,X
TIZOLSJ,O,O,X,X,X,X,X,X,O,X
TIZOJLS,O,O,X,X,X,X,O,X,O,X
TIZOJSL,O,X,X,X,O,X,O,X,O,X
TIZOSLJ,O,O,X,X,O,X,X,X,O,X
TIZOSJL,O,O,X,X,O,X,O,X,O,X
TIOLJSZ,X,X,O,X,O,X,X,O,X,X
TIOLJZS,X,X,X,X,X,X,X,O,O,X
TIOLSJZ,X,X,X,X,O,X,X,X,X,X
TIOLSZJ,X,X,X,X,O,X,X,X,X,X
TIOLZJS,X,X,X,X,X,X,O,X,O,X
TIOLZSJ,X,X,X,X,X,X,X,X,O,X
TIOJLSZ,X,X,X,X,O,X,X,O,X,X
TIOJLZS,X,X,X,X,X,X,X,O,O,X
TIOJSLZ,X,X,X,X,O,X,X,O,X,X
TIOJSZL,X,X,X,X,O,X,X,X,X,X
TIOJZLS,X,X,X,X,X,X,O,O,O,X
TIOJZSL,X,X,X,X,O,X,O,X,O,X
TIOSLJZ,X,X,X,X,O,X,X,X,X,X
TIOSLZJ,X,X,X,X,O,X,X,X,X,X
TIOSJLZ,X,X,X,X,O,X,X,X,X,X
TIOSJZL,X,X,X,X,O,X,X,X,X,X
TIOSZLJ,X,X,X,X,O,X,X,X,X,X
TIOSZJL,X,X,X,X,O,X,O,X,X,X
TIOZLJS,X,X,O,X,X,X,O,X,O,X
TIOZLSJ,X,X,X,X,X,X,X,X,O,X
TIOZJLS,X,X,X,X,X,X,O,X,O,X
TIOZJSL,X,X,X,X,O,X,O,X,O,X
TIOZSLJ,X,X,X,X,O,X,X,X,O,X
TIOZSJL,X,X,X,X,O,X,O,X,O,X
TLIJSZO,O,O,O,O,O,O,X,O,O,X
TLIJSOZ,O,O,O,X,O,O,X,O,X,X
TLIJZSO,O,O,X,O,X,X,X,O,O,X
TLIJZOS,O,O,X,O,X,X,X,O,O,X
TLIJOSZ,O,O,O,O,O,O,X,O,X,X
TLIJOZS,O,O,X,O,X,X,X,O,O,X
TLISJZO,O,O,X,O,O,O,X,O,O,X
TLISJOZ,O,O,X,X,O,O,X,O,X,X
TLISZJO,O,O,X,O,O,O,X,X,O,X
TLISZOJ,O,O,X,O,O,O,X,X,O,X
TLISOJZ,O,O,X,O,O,O,X,O,X,X
TLISOZJ,O,X,X,O,O,O,X,X,X,X
TLIZJSO,O,O,X,O,X,X,O,X,O,X
TLIZJOS,O,O,X,O,X,X,O,X,O,X
TLIZSJO,O,O,X,O,X,X,X,X,O,X
TLIZSOJ,O,O,X,O,X,X,X,X,O,X
TLIZOJS,O,O,X,O,X,X,O,X,O,X
TLIZOSJ,O,O,X,O,X,X,X,X,O,X
TLIOJSZ,O,X,O,O,O,O,X,O,X,X
TLIOJZS,O,X,X,O,X,X,X,O,O,X
TLIOSJZ,O,X,X,O,O,O,X,X,X,X
TLIOSZJ,O,X,X,O,O,O,X,X,X,X
TLIOZJS,O,X,X,O,X,X,O,X,O,X
TLIOZSJ,O,X,X,O,X,X,X,X,O,X
TLJISZO,O,O,O,O,X,O,X,O,O,X
TLJISOZ,O,O,O,X,X,O,X,O,X,X
TLJIZSO,O,O,X,O,X,X,X,O,O,X
TLJIZOS,O,O,X,O,X,X,X,O,O,X
TLJIOSZ,O,O,O,O,X,O,X,O,X,X
TLJIOZS,O,O,X,O,X,X,X,O,O,X
TLJSIZO,O,O,O,O,X,O,X,O,X,X
TLJSIOZ,O,O,O,O,X,O,X,O,X,X
TLJSZIO,O,O,O,O,X,O,X,O,X,X
TLJSZOI,O,O,O,O,X,O,X,O,X,X
TLJSOIZ,O,O,O,O,X,O,X,O,X,X
TLJSOZI,O,O,O,O,X,O,X,O,X,X
TLJZISO,O,O,X,O,X,X,X,O,O,X
TLJZIOS,O,O,X,O,X,X,X,O,O,X
TLJZSIO,O,O,O,O,X,O,X,O,O,X
TLJZSOI,O,O,O,O,X,O,X,O,X,X
TLJZOIS,O,O,X,O,X,X,X,O,X,X
TLJZOSI,O,O,O,O,X,O,X,O,X,X
TLJOISZ,O,O,O,O,X,O,X,O,X,X
TLJOIZS,O,O,X,O,X,X,X,O,X,X
TLJOSIZ,O,O,O,O,X,O,X,O,X,X
TLJOSZI,O,O,O,O,X,O,X,O,X,X
TLJOZIS,O,O,X,O,X,X,X,O,X,X
TLJOZSI,O,O,O,O,X,O,X,O,X,X
TLSIJZO,O,O,O,O,O,O,X,O,O,X
TLSIJOZ,O,O,O,O,O,O,X,O,X,X
TLSIZJO,O,O,O,O,O,O,X,X,O,X
TLSIZOJ,O,O,X,O,O,O,X,X,O,X
TLSIOJZ,O,O,O,O,O,O,X,O,X,X
TLSIOZJ,O,X,O,O,O,O,X,X,X,X
TLSJIZO,O,O,O,O,O,O,X,O,X,X
TLSJIOZ,O,O,O,O,O,O,X,O,X,X
TLSJZIO,O,O,O,O,X,O,X,O,X,X
TLSJZOI,O,O,O,O,X,O,X,O,X,X
TLSJOIZ,O,O,O,O,O,O,X,O,X,X
TLSJOZI,O,O,O,O,X,O,X,O,X,X
TLSZIJO,O,O,O,O,O,O,X,X,O,X
TLSZIOJ,O,O,X,O,O,O,X,X,O,X
TLSZJIO,O,O,O,O,X,O,X,O,O,X
TLSZJOI,O,O,O,O,X,O,X,O,X,X
TLSZOIJ,O,O,O,O,O,O,X,X,O,X
TLSZOJI,O,O,O,O,X,O,X,O,X,X
TLSOIJZ,O,O,O,O,O,O,X,O,X,X
TLSOIZJ,O,X,O,O,O,O,X,X,X,X
TLSOJIZ,O,O,O,O,O,O,X,O,X,X
TLSOJZI,O,O,O,O,X,O,X,O,X,X
TLSOZIJ,O,O,O,O,O,O,X,X,X,X
TLSOZJI,O,O,O,O,X,O,X,O,X,X
TLZIJSO,O,O,O,O,X,X,O,X,O,X
TLZIJOS,O,O,O,O,X,X,O,X,O,X
TLZISJO,O,O,X,O,X,X,X,X,O,X
TLZISOJ,O,O,X,O,X,X,X,X,O,X
TLZIOJS,O,O,O,O,X,X,O,X,O,X
TLZIOSJ,O,O,X,O,X,X,X,X,O,X
TLZJISO,O,O,O,O,X,X,O,O,O,X
TLZJIOS,O,O,O,O,X,X,O,O,O,X
TLZJSIO,O,O,O,O,X,O,X,O,O,X
TLZJSOI,O,O,O,O,X,O,X,O,X,X
TLZJOIS,O,O,O,O,X,X,O,O,X,X
TLZJOSI,O,O,O,O,X,O,X,O,X,X
TLZSIJO,O,O,X,O,X,O,X,X,O,X
TLZSIOJ,O,O,X,O,X,O,X,X,O,X
TLZSJIO,O,O,O,O,X,O,X,O,O,X
TLZSJOI,O,O,O,O,X,O,X,O,X,X
TLZSOIJ,O,O,X,O,X,O,X,X,O,X
TLZSOJI,O,O,O,O,X,O,X,O,X,X
TLZOIJS,O,O,O,O,X,X,O,X,O,X
TLZOISJ,O,O,X,O,X,X,X,X,O,X
TLZOJIS,O,O,O,O,X,X,O,O,X,X
TLZOJSI,O,O,O,O,X,O,X,O,X,X
TLZOSIJ,O,O,X,O,X,O,X,X,O,X
TLZOSJI,O,O,O,O,X,O,X,X,X,X
TLOIJSZ,O,X,O,O,O,O,X,O,X,X
TLOIJZS,O,X,X,O,X,X,X,O,O,X
TLOISJZ,O,X,O,O,O,O,X,X,X,X
TLOISZJ,O,X,O,O,O,O,X,X,X,X
TLOIZJS,O,X,X,O,X,X,O,X,O,X
TLOIZSJ,O,X,X,O,X,X,X,X,O,X
TLOJISZ,O,O,O,O,X,O,X,O,X,X
TLOJIZS,O,O,X,O,X,X,X,O,X,X
TLOJSIZ,O,O,O,O,X,O,X,O,X,X
TLOJSZI,O,O,O,O,X,O,X,O,X,X
TLOJZIS,O,O,X,O,X,X,X,O,X,X
TLOJZSI,O,O,O,O,X,O,X,O,X,X
TLOSIJZ,O,O,O,O,O,O,X,O,X,X
TLOSIZJ,O,X,O,O,O,O,X,X,X,X
TLOSJIZ,O,O,O,O,O,O,X,O,X,X
TLOSJZI,O,O,O,O,X,O,X,O,X,X
TLOSZIJ,O,O,O,O,O,O,X,X,X,X
TLOSZJI,O,O,O,O,X,O,X,O,X,X
TLOZIJS,O,O,O,O,X,X,O,X,O,X
TLOZISJ,O,O,X,O,X,X,X,X,O,X
TLOZJIS,O,O,O,O,X,X,O,O,X,X
TLOZJSI,O,O,O,O,X,O,X,O,X,X
TLOZSIJ,O,O,X,O,X,O,X,X,O,X
TLOZSJI,O,O,O,O,X,O,X,X,X,X
TJILSZO,O,X,X,X,O,O,X,O,O,O
TJILSOZ,O,X,X,X,O,O,X,O,X,X
TJILZSO,O,X,X,X,X,X,X,O,O,O
TJILZOS,O,X,X,X,X,X,X,O,O,O
TJILOSZ,O,X,X,X,O,O,X,O,X,X
TJILOZS,O,X,X,X,X,X,X,O,O,O
TJISLZO,O,X,X,X,O,O,X,O,O,O
TJISLOZ,O,X,X,X,O,O,X,O,X,X
TJISZLO,O,X,X,X,O,O,X,O,O,O
TJISZOL,O,X,X,X,O,O,X,O,O,O
TJISOLZ,O,X,X,X,O,X,X,O,X,X
TJISOZL,X,X,X,X,O,X,X,O,X,X
TJIZLSO,O,X,X,X,X,X,O,O,O,O
TJIZLOS,O,X,X,X,X,X,O,O,O,O
TJIZSLO,O,X,X,X,O,X,O,O,O,O
TJIZSOL,O,X,X,X,O,X,O,O,O,O
TJIZOLS,O,X,X,X,X,X,O,O,O,O
TJIZOSL,O,X,X,X,O,X,O,X,O,O
TJIOLSZ,X,X,X,X,O,X,X,O,X,X
TJIOLZS,X,X,X,X,X,X,X,O,O,O
TJIOSLZ,X,X,X,X,O,X,X,O,X,X
TJIOSZL,X,X,X,X,O,X,X,O,X,X
TJIOZLS,X,X,X,X,X,X,O,O,O,O
TJIOZSL,X,X,X,X,O,X,O,X,O,O
TJLISZO,O,O,O,O,X,O,X,O,O,O
TJLISOZ,O,O,O,X,X,O,X,O,X,X
TJLIZSO,O,O,X,O,X,X,X,O,O,O
TJLIZOS,O,O,X,O,X,X,X,O,O,O
TJLIOSZ,O,O,O,X,X,O,X,O,X,X
TJLIOZS,O,O,X,O,X,X,X,O,O,O
TJLSIZO,O,O,O,O,X,O,X,O,X,X
TJLSIOZ,O,O,O,O,X,O,X,O,X,X
TJLSZIO,O,O,O,O,X,O,X,O,X,X
TJLSZOI,O,O,O,O,X,O,X,O,X,X
TJLSOIZ,O,O,O,O,X,O,X,O,X,X
TJLSOZI,O,O,O,O,X,O,X,O,X,X
TJLZISO,O,O,X,O,X,X,X,O,O,O
TJLZIOS,O,O,X,O,X,X,X,O,O,O
TJLZSIO,O,O,O,O,X,O,X,O,O,O
TJLZSOI,O,O,O,O,X,O,X,O,X,X
TJLZOIS,O,O,X,O,X,X,X,O,X,X
TJLZOSI,O,O,O,X,X,O,X,O,X,X
TJLOISZ,O,O,O,X,X,O,X,O,X,X
TJLOIZS,O,O,X,O,X,X,X,O,X,X
TJLOSIZ,O,O,O,X,X,O,X,O,X,X
TJLOSZI,O,O,O,X,X,O,X,O,X,X
TJLOZIS,O,O,X,O,X,X,X,O,X,X
TJLOZSI,O,O,O,X,X,O,X,O,X,X
TJSILZO,O,X,X,X,O,O,X,O,X,O
TJSILOZ,O,X,X,O,O,O,X,O,X,X
TJSIZLO,O,X,X,X,O,O,X,O,X,O
TJSIZOL,O,X,X,O,O,O,X,O,X,O
TJSIOLZ,O,X,X,O,O,X,X,O,X,X
TJSIOZL,X,X,X,O,O,X,X,O,X,X
TJSLIZO,O,O,X,O,O,O,X,O,X,X
TJSLIOZ,O,O,X,O,O,O,X,O,X,X
TJSLZIO,O,O,X,O,X,O,X,O,X,X
TJSLZOI,O,O,X,O,X,O,X,O,X,X
TJSLOIZ,O,O,X,O,O,O,X,O,X,X
TJSLOZI,O,O,X,O,X,O,X,O,X,X
TJSZILO,O,O,X,X,X,O,X,O,X,O
TJSZIOL,O,O,X,O,X,O,X,O,X,O
TJSZLIO,O,O,X,X,X,O,X,O,X,O
TJSZLOI,O,O,X,X,X,O,X,O,X,X
TJSZOIL,O,O,X,O,X,O,X,O,X,O
TJSZOLI,O,O,X,O,X,O,X,O,X,X
TJSOILZ,O,X,X,O,O,X,X,O,X,X
TJSOIZL,X,X,X,O,O,X,X,O,X,X
TJSOLIZ,O,O,X,O,O,O,X,O,X,X
TJSOLZI,O,O,X,O,X,O,X,O,X,X
TJSOZIL,O,X,X,O,X,O,X,O,X,X
TJSOZLI,O,X,X,O,X,O,X,O,X,X
TJZILSO,O,O,X,X,X,X,O,O,O,O
TJZILOS,O,O,X,X,X,X,O,O,O,O
TJZISLO,O,O,X,X,X,X,O,O,O,O
TJZISOL,O,O,X,X,X,X,O,O,O,O
TJZIOLS,O,O,X,X,X,X,O,O,O,O
TJZIOSL,O,X,X,X,X,X,O,X,O,O
TJZLISO,O,O,O,X,X,X,O,O,O,O
TJZLIOS,O,O,O,X,X,X,O,O,O,O
TJZLSIO,O,O,O,X,X,O,X,O,O,O
TJZLSOI,O,O,O,X,X,O,X,O,X,X
TJZLOIS,O,O,O,X,X,X,O,O,X,X
TJZLOSI,O,O,O,X,X,O,X,O,X,X
TJZSILO,O,O,X,X,X,O,O,O,O,O
TJZSIOL,O,O,X,X,X,O,O,O,O,O
TJZSLIO,O,O,X,X,X,O,X,O,O,O
TJZSLOI,O,O,X,X,X,O,X,O,X,X
TJZSOIL,O,O,X,X,X,O,O,O,X,O
TJZSOLI,O,O,X,X,X,O,X,O,X,X
TJZOILS,O,O,X,X,X,X,O,O,X,O
TJZOISL,O,X,X,X,X,X,O,X,X,O
TJZOLIS,O,O,O,X,X,X,O,O,X,X
TJZOLSI,O,O,O,X,X,X,X,O,X,X
TJZOSIL,O,X,X,X,X,X,O,X,X,O
TJZOSLI,O,X,X,X,X,X,X,X,X,X
TJOILSZ,X,X,X,X,O,X,X,O,X,X
TJOILZS,X,X,X,X,X,X,X,O,X,O
TJOISLZ,X,X,X,X,O,X,X,O,X,X
TJOISZL,X,X,X,X,O,X,X,O,X,X
TJOIZLS,X,X,X,X,X,X,O,O,X,O
TJOIZSL,X,X,X,X,O,X,O,X,X,O
TJOLISZ,O,X,O,O,X,O,X,O,X,X
TJOLIZS,O,X,X,O,X,X,X,O,X,X
TJOLSIZ,O,X,O,O,X,O,X,O,X,X
TJOLSZI,O,X,O,O,X,O,X,O,X,X
TJOLZIS,O,X,X,O,X,X,X,O,X,X
TJOLZSI,O,X,O,O,X,O,X,O,X,X
TJOSILZ,O,X,X,O,O,X,X,O,X,X
TJOSIZL,X,X,X,O,O,X,X,O,X,X
TJOSLIZ,O,X,X,O,O,O,X,O,X,X
TJOSLZI,O,X,X,O,X,O,X,O,X,X
TJOSZIL,O,X,X,O,X,O,X,O,X,X
TJOSZLI,O,X,X,O,X,O,X,O,X,X
TJOZILS,O,X,X,O,X,X,O,O,X,O
TJOZISL,O,X,X,O,X,X,O,X,X,O
TJOZLIS,O,X,O,O,X,X,O,O,X,X
TJOZLSI,X,X,O,O,X,X,X,O,X,X
TJOZSIL,O,X,X,O,X,X,O,X,X,O
TJOZSLI,O,X,X,O,X,X,X,X,X,X
TSILJZO,O,O,O,X,O,O,X,O,O,X
TSILJOZ,O,O,O,O,O,O,X,O,X,X
TSILZJO,O,O,O,X,O,O,X,X,O,X
TSILZOJ,O,O,O,X,O,O,X,X,O,X
TSILOJZ,O,O,O,O,O,O,X,O,X,X
TSILOZJ,O,X,O,O,O,O,X,X,X,X
TSIJLZO,O,X,O,X,O,O,X,O,O,X
TSIJLOZ,O,X,O,O,O,O,X,O,X,X
TSIJZLO,O,X,O,X,O,O,X,O,O,X
TSIJZOL,O,X,X,O,O,O,X,O,O,X
TSIJOLZ,O,X,X,O,O,X,X,O,X,X
TSIJOZL,X,X,X,O,O,X,X,O,X,X
TSIZLJO,O,O,O,X,O,O,X,X,O,X
TSIZLOJ,O,O,O,X,O,O,X,X,O,X
TSIZJLO,O,O,O,X,O,O,O,X,O,X
TSIZJOL,O,O,X,O,O,O,O,X,O,X
TSIZOLJ,O,O,O,O,O,O,X,X,O,X
TSIZOJL,O,O,O,O,O,O,O,X,O,X
TSIOLJZ,O,O,O,O,O,X,X,O,X,X
TSIOLZJ,O,X,O,O,O,X,X,X,X,X
TSIOJLZ,O,X,O,O,O,X,X,O,X,X
TSIOJZL,X,X,O,O,O,X,X,O,X,X
TSIOZLJ,X,X,O,O,O,X,X,X,X,X
TSIOZJL,X,X,O,O,O,X,O,X,X,X
TSLIJZO,O,O,O,O,O,O,X,O,O,X
TSLIJOZ,O,O,O,O,O,O,X,O,X,X
TSLIZJO,O,O,O,O,O,O,X,X,O,X
TSLIZOJ,O,O,O,O,O,O,X,X,O,X
TSLIOJZ,O,O,O,O,O,O,X,O,X,X
TSLIOZJ,O,X,O,O,O,O,X,X,X,X
TSLJIZO,O,O,O,O,O,O,X,O,X,X
TSLJIOZ,O,O,O,O,O,O,X,O,X,X
TSLJZIO,O,O,O,O,X,O,X,O,X,X
TSLJZOI,O,O,O,O,X,O,X,O,X,X
TSLJOIZ,O,O,O,O,O,O,X,O,X,X
TSLJOZI,O,O,O,O,X,O,X,O,X,X
TSLZIJO,O,O,O,O,O,O,X,X,O,X
TSLZIOJ,O,O,O,O,O,O,X,X,O,X
TSLZJIO,O,O,O,O,X,O,X,O,O,X
TSLZJOI,O,O,O,O,X,O,X,O,X,X
TSLZOIJ,O,O,O,O,O,O,X,X,O,X
TSLZOJI,O,O,O,O,X,O,X,O,X,X
TSLOIJZ,O,O,O,O,O,O,X,O,X,X
TSLOIZJ,O,X,O,O,O,O,X,X,X,X
TSLOJIZ,O,O,O,O,O,O,X,O,X,X
TSLOJZI,O,O,O,O,X,O,X,O,X,X
TSLOZIJ,O,O,O,O,O,O,X,X,X,X
TSLOZJI,O,O,O,O,X,O,X,O,X,X
TSJILZO,O,X,O,X,O,O,X,O,X,X
TSJILOZ,O,X,O,O,O,O,X,O,X,X
TSJIZLO,O,X,O,X,O,O,X,O,X,X
TSJIZOL,O,X,X,O,O,O,X,O,X,X
TSJIOLZ,O,X,X,O,O,X,X,O,X,X
TSJIOZL,X,X,X,O,O,X,X,O,X,X
TSJLIZO,O,O,O,O,O,O,X,O,X,X
TSJLIOZ,O,O,O,O,O,O,X,O,X,X
TSJLZIO,O,O,O,O,X,O,X,O,X,X
TSJLZOI,O,O,O,O,X,O,X,O,X,X
TSJLOIZ,O,O,O,O,O,O,X,O,X,X
TSJLOZI,O,O,O,O,X,O,X,O,X,X
TSJZILO,O,O,O,X,X,O,X,O,X,X
TSJZIOL,O,O,X,O,X,O,X,O,X,X
TSJZLIO,O,O,O,X,X,O,X,O,X,X
TSJZLOI,O,O,O,X,X,O,X,O,X,X
TSJZOIL,O,O,O,O,X,O,X,O,X,X
TSJZOLI,O,O,O,O,X,O,X,O,X,X
TSJOILZ,O,X,O,O,O,X,X,O,X,X
TSJOIZL,X,X,O,O,O,X,X,O,X,X
TSJOLIZ,O,O,O,O,O,O,X,O,X,X
TSJOLZI,O,O,O,O,X,O,X,O,X,X
TSJOZIL,O,X,O,O,X,O,X,O,X,X
TSJOZLI,O,X,O,O,X,O,X,O,X,X
TSZILJO,O,O,O,X,O,O,X,X,O,X
TSZILOJ,O,O,O,X,O,O,X,X,O,X
TSZIJLO,O,O,O,X,O,O,O,X,O,X
TSZIJOL,O,O,X,O,O,O,O,X,O,X
TSZIOLJ,O,O,O,O,O,O,X,X,O,X
TSZIOJL,O,O,O,O,O,O,O,X,O,X
TSZLIJO,O,O,O,X,O,O,X,X,O,X
TSZLIOJ,O,O,O,X,O,O,X,X,O,X
TSZLJIO,O,O,O,X,X,O,X,O,O,X
TSZLJOI,O,O,O,X,X,O,X,O,X,X
TSZLOIJ,O,O,O,X,O,O,X,X,O,X
TSZLOJI,O,O,O,X,X,O,X,O,X,X
TSZJILO,O,O,O,X,X,O,O,O,O,X
TSZJIOL,O,O,X,O,X,O,O,O,O,X
TSZJLIO,O,O,O,X,X,O,X,O,O,X
TSZJLOI,O,O,O,X,X,O,X,O,X,X
TSZJOIL,O,O,O,O,X,O,O,O,X,X
TSZJOLI,O,O,O,O,X,O,X,O,X,X
TSZOILJ,O,O,O,O,O,O,X,X,O,X
TSZOIJL,O,O,O,O,O,O,O,X,O,X
TSZOLIJ,O,O,O,O,O,O,X,X,O,X
TSZOLJI,O,O,O,O,X,O,X,O,X,X
TSZOJIL,O,O,O,O,X,O,O,O,X,X
TSZOJLI,O,O,O,O,X,O,X,O,X,X
TSOILJZ,O,O,O,O,O,X,X,O,X,X
TSOILZJ,O,X,O,O,O,X,X,X,X,X
TSOIJLZ,O,X,O,O,O,X,X,O,X,X
TSOIJZL,X,X,O,O,O,X,X,O,X,X
TSOIZLJ,X,X,O,O,O,X,X,X,X,X
TSOIZJL,X,X,O,O,O,X,O,X,X,X
