sequence,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhB6oBXmBm?nBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhBynB+oBX?mBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeeFJvhFChBxiBlmBc?sBToB3qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JexAJvhFXiB6oBllBz?nBUqBmrB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeiAJvhFzhBGjBUoBR?qBFsB3qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8Je/FJvhFRhBziB+oBi?mBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JezBJvhFfoB6oBRqBF?sBOqB8qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhBVrBasBG?oBXoBUqB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeyFJvhFUiBGjBfsBV?tBRqBTqB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JemAJvhFUiBFjBfsBS?tBRqBTqB
ILZTOSJ,X,X,X,O,O,X,X,O,X,X
ILZJTSO,O,X,X,O,O,X,X,O,X,O
ILZJTOS,O,X,X,O,O,X,X,O,X,X
ILZJSTO,O,X,X,O,O,O,X,X,X,O
ILZJSOT,O,X,X,O,X,O,X,X,X,O
ILZJOTS,O,X,X,X,O,X,X,X,X,X
ILZJOST,O,X,X,X,X,O,X,X,X,X
ILZSTJO,O,X,X,X,O,O,O,X,O,O
ILZSTOJ,O,X,X,X,O,X,O,X,O,O
ILZSJTO,O,X,X,X,O,O,X,X,O,O
ILZSJOT,O,X,X,X,X,O,X,X,X,O
ILZSOTJ,O,X,X,X,X,X,X,X,O,O
ILZSOJT,O,X,X,X,X,O,X,X,X,O
ILZOTJS,O,X,X,O,O,X,X,X,X,X
ILZOTSJ,X,X,X,O,O,X,X,X,X,X
ILZOJTS,O,X,X,O,O,X,X,X,X,X
ILZOJST,O,X,X,O,X,X,X,X,X,X
ILZOSTJ,O,X,X,O,X,X,X,X,X,X
ILZOSJT,O,X,X,O,X,X,X,X,X,X
ILOTJSZ,X,X,X,X,X,X,X,O,O,O
ILOTJZS,X,X,X,X,O,X,X,O,X,X
ILOTSJZ,X,X,X,X,X,X,X,O,O,O
ILOTSZJ,X,X,X,X,O,X,X,X,O,O
ILOTZJS,X,X,X,X,O,X,X,O,X,X
ILOTZSJ,X,X,X,X,O,X,X,O,X,X
ILOJTSZ,X,X,X,O,X,X,X,O,X,O
ILOJTZS,X,X,X,O,X,X,X,O,X,X
ILOJSTZ,X,X,X,O,X,X,X,X,X,O
ILOJSZT,X,X,X,O,X,X,X,X,X,O
ILOJZTS,X,X,X,O,X,X,X,X,X,X
ILOJZST,X,X,X,O,X,X,X,X,X,X
ILOSTJZ,X,X,X,O,X,X,O,X,O,O
ILOSTZJ,X,X,X,O,X,X,O,X,O,O
ILOSJTZ,X,X,X,O,X,X,X,X,X,O
ILOSJZT,X,X,X,O,X,X,X,X,X,O
ILOSZTJ,X,X,X,O,X,X,X,X,O,O
ILOSZJT,X,X,X,O,X,X,X,X,X,O
ILOZTJS,X,X,X,O,O,X,X,X,X,X
ILOZTSJ,X,X,X,O,O,X,X,X,X,X
ILOZJTS,X,X,X,O,O,X,X,X,X,X
ILOZJST,X,X,X,O,X,X,X,X,X,X
ILOZSTJ,X,X,X,O,X,X,X,X,X,X
ILOZSJT,X,X,X,O,X,X,X,X,X,X
IJTLSZO,O,O,X,O,X,X,X,O,O,O
IJTLSOZ,O,O,X,O,X,X,X,O,O,O
IJTLZSO,O,O,O,O,O,O,X,O,O,O
IJTLZOS,O,O,O,X,O,O,X,O,X,X
IJTLOSZ,X,O,X,O,X,X,X,O,O,O
IJTLOZS,X,O,O,O,O,O,X,O,X,X
IJTSLZO,O,O,X,O,X,X,O,X,O,O
IJTSLOZ,O,O,X,O,X,X,O,X,O,O
IJTSZLO,O,O,X,O,X,X,X,X,O,O
IJTSZOL,O,O,X,O,X,X,X,X,O,O
IJTSOLZ,O,O,X,O,X,X,O,X,O,X
IJTSOZL,X,O,X,O,X,X,X,X,O,X
IJTZLSO,O,O,X,O,O,O,X,O,O,X
IJTZLOS,O,O,X,X,O,O,X,O,X,X
IJTZSLO,O,O,X,O,O,O,X,X,O,X
IJTZSOL,O,O,X,O,O,O,X,X,O,X
IJTZOLS,O,O,X,O,O,O,X,O,X,X
IJTZOSL,X,X,X,O,O,O,X,X,X,X
IJTOLSZ,X,X,X,O,X,X,X,O,O,X
IJTOLZS,X,X,O,O,O,O,X,O,X,X
IJTOSLZ,X,X,X,O,X,X,O,X,O,X
IJTOSZL,X,X,X,O,X,X,X,X,O,X
IJTOZLS,X,X,X,O,O,O,X,X,X,X
IJTOZSL,X,X,X,O,O,O,X,X,X,X
IJLTSZO,O,O,X,O,X,X,X,O,O,O
IJLTSOZ,O,O,X,O,X,X,X,O,O,O
IJLTZSO,O,O,X,O,O,X,X,O,O,O
IJLTZOS,O,O,X,X,O,X,X,O,X,X
IJLTOSZ,X,X,X,O,X,X,X,O,O,O
IJLTOZS,X,X,X,X,O,X,X,O,X,X
IJLSTZO,O,O,X,O,X,X,O,O,O,O
IJLSTOZ,O,O,X,O,X,X,O,O,O,O
IJLSZTO,O,O,X,O,X,X,X,X,O,O
IJLSZOT,O,O,X,O,X,X,X,X,X,O
IJLSOTZ,O,O,X,O,X,X,X,X,X,O
IJLSOZT,O,O,X,O,X,X,X,X,X,O
IJLZTSO,O,O,X,O,O,X,X,O,X,O
IJLZTOS,O,O,X,O,O,X,X,O,X,X
IJLZSTO,O,O,X,O,O,O,X,X,X,O
IJLZSOT,O,O,X,O,X,O,X,X,X,O
IJLZOTS,O,O,X,X,O,X,X,X,X,X
IJLZOST,O,O,X,X,X,O,X,X,X,X
IJLOTSZ,X,X,X,X,X,X,X,O,X,O
IJLOTZS,X,X,X,X,X,X,X,O,X,X
IJLOSTZ,O,O,X,X,X,X,X,X,X,O
IJLOSZT,O,O,X,X,X,X,X,X,X,O
IJLOZTS,O,O,X,X,X,X,X,X,X,X
IJLOZST,O,O,X,X,X,O,X,X,X,X
IJSTLZO,O,O,X,O,X,X,O,X,O,O
IJSTLOZ,O,O,X,O,X,X,O,X,O,O
IJSTZLO,O,O,X,O,X,X,X,X,O,O
IJSTZOL,O,O,X,O,X,X,X,X,O,O
IJSTOLZ,O,O,X,O,X,X,O,X,O,X
IJSTOZL,X,O,X,O,X,X,X,X,O,X
IJSLTZO,O,O,X,O,X,X,O,O,O,O
IJSLTOZ,O,O,X,O,X,X,O,O,O,O
IJSLZTO,O,O,X,O,X,X,X,X,O,O
IJSLZOT,O,O,X,O,X,X,X,X,X,O
IJSLOTZ,O,O,X,O,X,X,X,X,X,O
IJSLOZT,O,O,X,O,X,X,X,X,X,O
IJSZTLO,O,O,X,O,X,X,X,X,O,O
IJSZTOL,O,O,X,O,X,X,X,X,O,O
IJSZLTO,O,O,X,O,X,X,X,X,O,O
IJSZLOT,O,O,X,O,X,X,X,X,X,O
IJSZOTL,O,O,X,O,X,X,X,X,X,O
IJSZOLT,O,O,X,O,X,X,X,X,X,O
IJSOTLZ,O,O,X,O,X,X,X,X,X,X
IJSOTZL,X,O,X,O,X,X,X,X,X,X
IJSOLTZ,O,O,X,O,X,X,X,X,X,O
IJSOLZT,O,O,X,O,X,X,X,X,X,O
IJSOZTL,O,O,X,O,X,X,X,X,X,O
IJSOZLT,O,O,X,O,X,X,X,X,X,O
IJZTLSO,O,O,O,O,O,O,X,O,X,X
IJZTLOS,O,O,O,O,O,O,X,O,X,X
IJZTSLO,O,O,O,O,O,O,X,X,X,X
IJZTSOL,O,O,X,O,O,O,X,X,X,X
IJZTOLS,O,O,O,O,O,O,X,O,X,X
IJZTOSL,X,X,O,O,O,O,X,X,X,X
IJZLTSO,O,O,O,O,O,X,X,O,X,O
IJZLTOS,O,O,O,O,O,X,X,O,X,X
IJZLSTO,O,O,X,O,O,O,X,X,X,O
IJZLSOT,O,O,X,O,X,O,X,X,X,O
IJZLOTS,O,O,X,X,O,X,X,X,X,X
IJZLOST,O,O,X,X,X,O,X,X,X,X
IJZSTLO,O,O,O,O,O,O,X,X,X,O
IJZSTOL,O,O,X,O,O,O,X,X,X,O
IJZSLTO,O,O,X,O,O,O,X,X,X,O
IJZSLOT,O,O,X,O,X,O,X,X,X,O
IJZSOTL,O,O,X,O,X,O,X,X,X,O
IJZSOLT,O,O,X,O,X,O,X,X,X,O
IJZOTLS,O,O,O,O,O,O,X,O,X,X
IJZOTSL,O,X,O,O,O,O,X,X,X,X
IJZOLTS,O,O,O,O,O,X,X,X,X,X
IJZOLST,O,O,X,O,X,O,X,X,X,X
IJZOSTL,O,O,O,O,X,O,X,X,X,X
IJZOSLT,O,O,X,O,X,O,X,X,X,X
IJOTLSZ,X,X,X,O,X,X,X,X,X,X
IJOTLZS,X,X,O,O,X,O,X,X,X,X
IJOTSLZ,X,X,X,O,X,X,X,X,X,X
IJOTSZL,X,X,X,O,X,X,X,X,X,X
IJOTZLS,X,X,O,O,X,O,X,X,X,X
IJOTZSL,X,X,O,O,X,O,X,X,X,X
IJOLTSZ,X,X,X,O,X,X,X,O,X,O
IJOLTZS,X,X,X,O,X,X,X,O,X,X
IJOLSTZ,O,X,X,O,X,X,X,X,X,O
IJOLSZT,O,X,X,O,X,X,X,X,X,O
IJOLZTS,O,X,O,O,X,X,X,X,X,X
IJOLZST,O,X,X,O,X,O,X,X,X,X
IJOSTLZ,O,X,X,O,X,X,X,X,X,X
IJOSTZL,X,X,X,O,X,X,X,X,X,X
IJOSLTZ,O,X,X,O,X,X,X,X,X,O
IJOSLZT,O,X,X,O,X,X,X,X,X,O
IJOSZTL,O,X,O,O,X,X,X,X,X,O
IJOSZLT,O,X,X,O,X,X,X,X,X,O
IJOZTLS,O,X,O,O,X,O,X,X,X,X
IJOZTSL,X,X,O,O,X,O,X,X,X,X
IJOZLTS,O,X,O,O,X,X,X,X,X,X
IJOZLST,O,X,X,O,X,O,X,X,X,X
IJOZSTL,O,X,O,O,X,O,X,X,X,X
IJOZSLT,O,X,X,O,X,O,X,X,X,X
ISTLJZO,O,O,X,X,X,X,O,X,O,O
ISTLJOZ,O,O,X,X,X,X,O,X,O,O
ISTLZJO,O,O,X,X,O,X,O,X,O,O
ISTLZOJ,O,O,X,X,O,X,O,X,O,O
ISTLOJZ,O,O,X,X,X,X,O,X,O,O
ISTLOZJ,O,X,X,X,O,X,O,X,O,O
ISTJLZO,O,O,O,X,X,X,O,X,O,O
ISTJLOZ,O,O,O,X,X,X,O,X,O,O
ISTJZLO,O,O,X,X,X,X,X,X,O,O
ISTJZOL,O,O,X,X,X,X,X,X,O,O
ISTJOLZ,O,O,O,X,X,X,O,X,O,X
ISTJOZL,O,O,X,X,X,X,X,X,O,X
ISTZLJO,O,O,X,X,O,X,O,X,O,O
ISTZLOJ,O,O,X,X,O,X,O,X,O,O
ISTZJLO,O,O,X,X,O,X,X,X,O,O
ISTZJOL,O,O,X,X,O,X,X,X,O,O
ISTZOLJ,O,O,X,X,O,X,O,X,O,X
ISTZOJL,O,O,X,X,O,X,X,X,O,O
ISTOLJZ,O,O,X,X,X,X,O,X,O,X
ISTOLZJ,O,X,X,X,O,X,O,X,O,X
ISTOJLZ,O,O,O,X,X,X,O,X,O,X
ISTOJZL,O,O,X,X,X,X,X,X,O,X
ISTOZLJ,O,O,X,X,O,X,O,X,O,X
ISTOZJL,O,O,X,X,O,X,X,X,O,X
ISLTJZO,O,O,X,X,X,X,O,X,O,O
ISLTJOZ,O,O,X,X,X,X,O,X,O,O
ISLTZJO,O,O,X,X,O,X,O,X,O,O
ISLTZOJ,O,O,X,X,O,X,O,X,O,O
ISLTOJZ,O,O,X,X,X,X,O,X,O,O
ISLTOZJ,O,X,X,X,O,X,O,X,O,O
ISLJTZO,O,O,X,X,X,X,O,X,O,O
ISLJTOZ,O,O,X,X,X,X,O,X,O,O
ISLJZTO,O,O,X,X,X,X,X,X,O,O
ISLJZOT,O,O,X,X,X,X,X,X,X,O
ISLJOTZ,O,O,X,X,X,X,X,X,X,O
ISLJOZT,O,O,X,X,X,X,X,X,X,O
ISLZTJO,O,O,X,X,O,X,O,X,O,O
ISLZTOJ,O,O,X,X,O,X,O,X,O,O
ISLZJTO,O,O,X,X,O,X,X,X,O,O
ISLZJOT,O,O,X,X,X,X,X,X,X,O
ISLZOTJ,O,O,X,X,X,X,X,X,O,O
ISLZOJT,O,O,X,X,X,X,X,X,X,O
ISLOTJZ,O,O,X,X,X,X,O,X,O,O
ISLOTZJ,O,X,X,X,X,X,O,X,O,O
ISLOJTZ,O,O,X,X,X,X,X,X,X,O
ISLOJZT,O,O,X,X,X,X,X,X,X,O
ISLOZTJ,O,X,X,X,X,X,X,X,O,O
ISLOZJT,O,X,X,X,X,X,X,X,X,O
ISJTLZO,O,O,O,X,X,X,O,X,O,O
ISJTLOZ,O,O,O,X,X,X,O,X,O,O
ISJTZLO,O,O,X,X,X,X,X,X,O,O
ISJTZOL,O,O,X,X,X,X,X,X,O,O
ISJTOLZ,O,O,O,X,X,X,O,X,O,X
ISJTOZL,O,O,X,X,X,X,X,X,O,X
ISJLTZO,O,O,O,X,X,X,O,X,O,O
ISJLTOZ,O,O,O,X,X,X,O,X,O,O
ISJLZTO,O,O,O,X,X,X,X,X,O,O
ISJLZOT,O,O,O,X,X,X,X,X,X,O
ISJLOTZ,O,O,O,X,X,X,X,X,X,O
ISJLOZT,O,O,O,X,X,X,X,X,X,O
ISJZTLO,O,O,O,X,X,X,X,X,O,O
ISJZTOL,O,O,O,X,X,X,X,X,O,O
ISJZLTO,O,O,O,X,X,X,X,X,O,O
ISJZLOT,O,O,O,X,X,X,X,X,X,O
ISJZOTL,O,O,O,X,X,X,X,X,X,O
ISJZOLT,O,O,O,X,X,X,X,X,X,O
ISJOTLZ,O,O,O,X,X,X,X,X,X,X
ISJOTZL,O,O,O,X,X,X,X,X,X,X
ISJOLTZ,O,O,O,X,X,X,X,X,X,O
ISJOLZT,O,O,O,X,X,X,X,X,X,O
ISJOZTL,O,O,O,X,X,X,X,X,X,O
ISJOZLT,O,O,O,X,X,X,X,X,X,O
ISZTLJO,O,O,O,X,O,X,O,X,O,O
ISZTLOJ,O,O,X,X,O,X,O,X,O,O
ISZTJLO,O,O,O,X,O,X,X,X,O,O
ISZTJOL,O,O,O,X,O,X,X,X,O,O
ISZTOLJ,O,O,O,X,O,X,O,X,O,X
ISZTOJL,O,O,O,X,O,X,X,X,O,O
ISZLTJO,O,O,O,X,O,X,O,X,O,O
ISZLTOJ,O,O,X,X,O,X,O,X,O,O
ISZLJTO,O,O,O,X,O,X,X,X,O,O
ISZLJOT,O,O,O,X,X,X,X,X,X,O
ISZLOTJ,O,O,X,X,X,X,X,X,O,O
ISZLOJT,O,O,X,X,X,X,X,X,X,O
ISZJTLO,O,O,O,X,O,X,X,X,O,O
ISZJTOL,O,O,O,X,O,X,X,X,O,O
ISZJLTO,O,O,O,X,O,X,X,X,O,O
ISZJLOT,O,O,O,X,X,X,X,X,X,O
ISZJOTL,O,O,O,X,X,X,X,X,X,O
ISZJOLT,O,O,O,X,X,X,X,X,X,O
ISZOTLJ,O,O,O,X,X,X,X,X,O,X
ISZOTJL,O,O,O,X,X,X,X,X,O,O
ISZOLTJ,O,O,O,X,X,X,X,X,O,O
ISZOLJT,O,O,O,X,X,X,X,X,X,O
ISZOJTL,O,O,O,X,X,X,X,X,X,O
ISZOJLT,O,O,O,X,X,X,X,X,X,O
ISOTLJZ,O,O,X,X,X,X,O,X,O,X
ISOTLZJ,O,X,X,X,X,X,O,X,O,X
ISOTJLZ,O,O,O,X,X,X,O,X,O,X
ISOTJZL,O,O,O,X,X,X,X,X,O,X
ISOTZLJ,O,O,O,X,X,X,O,X,O,X
ISOTZJL,O,O,O,X,X,X,X,X,O,X
ISOLTJZ,O,O,X,X,X,X,O,X,O,O
ISOLTZJ,O,X,X,X,X,X,O,X,O,O
ISOLJTZ,O,O,O,X,X,X,X,X,X,O
ISOLJZT,O,O,O,X,X,X,X,X,X,O
ISOLZTJ,O,X,O,X,X,X,X,X,O,O
ISOLZJT,O,X,O,X,X,X,X,X,X,O
ISOJTLZ,O,O,O,X,X,X,X,X,X,X
ISOJTZL,O,O,O,X,X,X,X,X,X,X
ISOJLTZ,O,O,O,X,X,X,X,X,X,O
ISOJLZT,O,O,O,X,X,X,X,X,X,O
ISOJZTL,O,O,O,X,X,X,X,X,X,O
ISOJZLT,O,O,O,X,X,X,X,X,X,O
ISOZTLJ,O,O,O,X,X,X,X,X,O,X
ISOZTJL,O,O,O,X,X,X,X,X,O,O
ISOZLTJ,O,O,O,X,X,X,X,X,O,O
ISOZLJT,O,O,O,X,X,X,X,X,X,O
ISOZJTL,O,O,O,X,X,X,X,X,X,O
ISOZJLT,O,O,O,X,X,X,X,X,X,O
IZTLJSO,O,X,O,X,O,O,X,O,O,X
IZTLJOS,O,X,O,O,O,O,X,O,X,X
IZTLSJO,O,X,O,X,O,O,X,O,O,X
IZTLSOJ,O,X,X,O,O,O,X,O,O,X
IZTLOJS,O,X,X,O,O,X,X,O,X,X
IZTLOSJ,X,X,X,O,O,X,X,O,X,X
IZTJLSO,O,O,O,X,O,O,X,O,O,X
IZTJLOS,O,O,O,O,O,O,X,O,X,X
IZTJSLO,O,O,O,X,O,O,X,X,O,X
IZTJSOL,O,O,O,X,O,O,X,X,O,X
IZTJOLS,O,O,O,O,O,O,X,O,X,X
IZTJOSL,O,X,O,O,O,O,X,X,X,X
IZTSLJO,O,O,O,X,O,O,O,X,O,X
IZTSLOJ,O,O,X,O,O,O,O,X,O,X
IZTSJLO,O,O,O,X,O,O,X,X,O,X
IZTSJOL,O,O,O,X,O,O,X,X,O,X
IZTSOLJ,O,O,O,O,O,O,O,X,O,X
IZTSOJL,O,O,O,O,O,O,X,X,O,X
IZTOLJS,O,X,O,O,O,X,X,O,X,X
IZTOLSJ,X,X,O,O,O,X,X,O,X,X
IZTOJLS,O,O,O,O,O,X,X,O,X,X
IZTOJSL,O,X,O,O,O,X,X,X,X,X
IZTOSLJ,X,X,O,O,O,X,O,X,X,X
IZTOSJL,X,X,O,O,O,X,X,X,X,X
IZLTJSO,O,X,O,X,O,X,X,X,O,O
IZLTJOS,O,X,O,O,O,X,X,X,X,X
IZLTSJO,O,X,O,X,O,X,X,X,O,O
IZLTSOJ,O,X,X,O,O,X,X,X,O,O
IZLTOJS,O,X,X,O,O,X,X,X,X,X
IZLTOSJ,X,X,X,O,O,X,X,X,X,X
IZLJTSO,O,X,O,O,O,X,X,X,X,O
IZLJTOS,O,X,O,O,O,X,X,X,X,X
IZLJSTO,O,X,X,O,O,O,X,X,X,O
IZLJSOT,O,X,X,O,X,O,X,X,X,O
IZLJOTS,O,X,X,X,O,X,X,X,X,X
IZLJOST,O,X,X,X,X,O,X,X,X,X
IZLSTJO,O,X,O,X,O,O,O,X,O,O
IZLSTOJ,O,X,X,X,O,X,O,X,O,O
IZLSJTO,O,X,O,X,O,O,X,X,O,O
IZLSJOT,O,X,O,X,X,O,X,X,X,O
IZLSOTJ,O,X,X,X,X,X,X,X,O,O
IZLSOJT,O,X,X,X,X,O,X,X,X,O
IZLOTJS,O,X,X,O,O,X,X,X,X,X
IZLOTSJ,X,X,X,O,O,X,X,X,X,X
IZLOJTS,O,X,X,O,O,X,X,X,X,X
IZLOJST,O,X,X,O,X,X,X,X,X,X
IZLOSTJ,O,X,X,O,X,X,X,X,X,X
IZLOSJT,O,X,X,O,X,X,X,X,X,X
IZJTLSO,O,O,O,O,O,O,X,O,X,X
IZJTLOS,O,O,O,O,O,O,X,O,X,X
IZJTSLO,O,O,O,O,O,O,X,X,X,X
IZJTSOL,O,O,O,O,O,O,X,X,X,X
IZJTOLS,O,O,O,O,O,O,X,O,X,X
IZJTOSL,X,X,O,O,O,O,X,X,X,X
IZJLTSO,O,O,O,O,O,X,X,X,X,O
IZJLTOS,O,O,O,O,O,X,X,X,X,X
IZJLSTO,O,O,X,O,O,O,X,X,X,O
IZJLSOT,O,O,X,O,X,O,X,X,X,O
IZJLOTS,O,O,X,X,O,X,X,X,X,X
IZJLOST,O,O,X,X,X,O,X,X,X,X
IZJSTLO,O,O,O,O,O,O,X,X,X,O
IZJSTOL,O,O,O,O,O,O,X,X,X,O
IZJSLTO,O,O,O,O,O,O,X,X,X,O
IZJSLOT,O,O,O,O,X,O,X,X,X,O
IZJSOTL,O,O,O,O,X,O,X,X,X,O
IZJSOLT,O,O,O,O,X,O,X,X,X,O
IZJOTLS,O,O,O,O,O,O,X,O,X,X
IZJOTSL,O,X,O,O,O,O,X,X,X,X
IZJOLTS,O,O,O,O,O,X,X,X,X,X
IZJOLST,O,O,X,O,X,O,X,X,X,X
IZJOSTL,O,O,O,O,X,O,X,X,X,X
IZJOSLT,O,O,X,O,X,O,X,X,X,X
IZSTLJO,O,O,O,X,O,O,O,X,O,O
IZSTLOJ,O,O,X,X,O,O,O,X,O,O
IZSTJLO,O,O,O,X,O,O,X,X,O,O
IZSTJOL,O,O,O,X,O,O,X,X,O,O
IZSTOLJ,O,O,O,X,O,O,O,X,O,X
IZSTOJL,O,O,O,X,O,O,X,X,O,O
IZSLTJO,O,O,O,X,O,O,O,X,O,O
IZSLTOJ,O,O,X,X,O,O,O,X,O,O
IZSLJTO,O,O,O,X,O,O,X,X,O,O
IZSLJOT,O,O,O,X,X,O,X,X,X,O
IZSLOTJ,O,O,X,X,X,X,X,X,O,O
IZSLOJT,O,O,X,X,X,O,X,X,X,O
IZSJTLO,O,O,O,X,O,O,X,X,O,O
IZSJTOL,O,O,O,X,O,O,X,X,O,O
IZSJLTO,O,O,O,X,O,O,X,X,O,O
IZSJLOT,O,O,O,X,X,O,X,X,X,O
IZSJOTL,O,O,O,X,X,O,X,X,X,O
IZSJOLT,O,O,O,X,X,O,X,X,X,O
IZSOTLJ,O,O,O,X,X,O,X,X,O,X
IZSOTJL,O,O,O,X,X,O,X,X,O,O
IZSOLTJ,O,O,O,X,X,X,X,X,O,O
IZSOLJT,O,O,O,X,X,O,X,X,X,O
IZSOJTL,O,O,O,X,X,O,X,X,X,O
IZSOJLT,O,O,O,X,X,O,X,X,X,O
IZOTLJS,O,X,O,O,O,X,X,O,X,X
IZOTLSJ,X,X,O,O,O,X,X,O,X,X
IZOTJLS,O,O,O,O,O,X,X,O,X,X
IZOTJSL,O,X,O,O,O,X,X,X,X,X
IZOTSLJ,X,X,O,O,O,X,X,X,X,X
IZOTSJL,X,X,O,O,O,X,X,X,X,X
IZOLTJS,O,X,O,O,O,X,X,X,X,X
IZOLTSJ,X,X,O,O,O,X,X,X,X,X
IZOLJTS,O,X,O,O,O,X,X,X,X,X
IZOLJST,O,X,X,O,X,X,X,X,X,X
IZOLSTJ,O,X,O,O,X,X,X,X,X,X
IZOLSJT,O,X,O,O,X,X,X,X,X,X
IZOJTLS,O,O,O,O,O,X,X,O,X,X
IZOJTSL,O,X,O,O,O,X,X,X,X,X
IZOJLTS,O,O,O,O,O,X,X,X,X,X
IZOJLST,O,O,X,O,X,X,X,X,X,X
IZOJSTL,O,O,O,O,X,X,X,X,X,X
IZOJSLT,O,O,O,O,X,X,X,X,X,X
IZOSTLJ,O,O,O,O,X,X,X,X,X,X
IZOSTJL,O,O,O,O,X,X,X,X,X,X
IZOSLTJ,O,O,O,O,X,X,X,X,X,X
IZOSLJT,O,O,O,O,X,X,X,X,X,X
IZOSJTL,O,O,O,O,X,X,X,X,X,X
IZOSJLT,O,O,O,O,X,X,X,X,X,X
IOTLJSZ,X,X,X,X,X,X,X,X,O,X
IOTLJZS,X,X,X,X,O,X,X,X,X,X
IOTLSJZ,X,X,X,X,X,X,O,X,O,X
IOTLSZJ,X,X,X,X,O,X,O,X,O,X
IOTLZJS,X,X,X,X,O,X,X,X,X,X
IOTLZSJ,X,X,X,X,O,X,X,X,X,X
IOTJLSZ,X,X,X,X,X,X,X,X,O,X
IOTJLZS,X,X,O,X,O,X,X,X,X,X
IOTJSLZ,X,X,X,X,X,X,O,X,O,X
IOTJSZL,X,X,X,X,X,X,X,X,O,X
IOTJZLS,X,X,O,X,O,X,X,X,X,X
IOTJZSL,X,X,O,X,O,X,X,X,X,X
IOTSLJZ,X,X,X,X,X,X,O,X,O,X
IOTSLZJ,X,X,X,X,O,X,O,X,O,X
IOTSJLZ,X,X,O,X,X,X,O,X,O,X
IOTSJZL,X,X,O,X,X,X,X,X,O,X
IOTSZLJ,X,X,O,X,O,X,O,X,O,X
IOTSZJL,X,X,O,X,O,X,X,X,O,X
IOTZLJS,X,X,O,X,O,X,X,X,X,X
IOTZLSJ,X,X,O,X,O,X,X,X,X,X
IOTZJLS,X,X,O,X,O,X,X,X,X,X
IOTZJSL,X,X,O,X,O,X,X,X,X,X
IOTZSLJ,X,X,O,X,O,X,O,X,X,X
IOTZSJL,X,X,O,X,O,X,X,X,X,X
IOLTJSZ,X,X,X,X,X,X,X,X,O,O
IOLTJZS,X,X,X,X,O,X,X,X,X,X
IOLTSJZ,X,X,X,X,X,X,X,X,O,O
IOLTSZJ,X,X,X,X,O,X,X,X,O,O
IOLTZJS,X,X,X,X,O,X,X,X,X,X
IOLTZSJ,X,X,X,X,O,X,X,X,X,X
IOLJTSZ,X,X,X,O,X,X,X,X,X,O
IOLJTZS,X,X,X,O,X,X,X,X,X,X
IOLJSTZ,X,X,X,O,X,X,X,X,X,O
IOLJSZT,X,X,X,O,X,X,X,X,X,O
IOLJZTS,X,X,O,O,X,X,X,X,X,X
IOLJZST,X,X,X,O,X,X,X,X,X,X
IOLSTJZ,X,X,X,O,X,X,O,X,O,O
IOLSTZJ,X,X,X,O,X,X,O,X,O,O
IOLSJTZ,X,X,O,O,X,X,X,X,X,O
IOLSJZT,X,X,O,O,X,X,X,X,X,O
IOLSZTJ,X,X,O,O,X,X,X,X,O,O
IOLSZJT,X,X,O,O,X,X,X,X,X,O
IOLZTJS,X,X,O,O,O,X,X,X,X,X
IOLZTSJ,X,X,O,O,O,X,X,X,X,X
IOLZJTS,X,X,O,O,O,X,X,X,X,X
IOLZJST,X,X,X,O,X,X,X,X,X,X
IOLZSTJ,X,X,O,O,X,X,X,X,X,X
IOLZSJT,X,X,O,O,X,X,X,X,X,X
IOJTLSZ,X,X,X,O,X,X,X,X,X,X
IOJTLZS,X,X,O,O,X,X,X,X,X,X
IOJTSLZ,X,X,X,O,X,X,X,X,X,X
IOJTSZL,X,X,X,O,X,X,X,X,X,X
IOJTZLS,X,X,O,O,X,X,X,X,X,X
IOJTZSL,X,X,O,O,X,X,X,X,X,X
IOJLTSZ,X,X,X,O,X,X,X,X,X,O
IOJLTZS,X,X,X,O,X,X,X,X,X,X
IOJLSTZ,X,X,X,O,X,X,X,X,X,O
IOJLSZT,X,X,X,O,X,X,X,X,X,O
IOJLZTS,X,X,O,O,X,X,X,X,X,X
IOJLZST,X,X,X,O,X,X,X,X,X,X
IOJSTLZ,X,X,O,O,X,X,X,X,X,X
IOJSTZL,X,X,O,O,X,X,X,X,X,X
IOJSLTZ,X,X,O,O,X,X,X,X,X,O
IOJSLZT,X,X,O,O,X,X,X,X,X,O
IOJSZTL,X,X,O,O,X,X,X,X,X,O
IOJSZLT,X,X,O,O,X,X,X,X,X,O
IOJZTLS,X,X,O,O,X,X,X,X,X,X
IOJZTSL,X,X,O,O,X,X,X,X,X,X
IOJZLTS,X,X,O,O,X,X,X,X,X,X
IOJZLST,X,X,X,O,X,X,X,X,X,X
IOJZSTL,X,X,O,O,X,X,X,X,X,X
IOJZSLT,X,X,O,O,X,X,X,X,X,X
IOSTLJZ,X,X,X,O,X,X,O,X,O,X
