sequence,v115@vhH39IcjBOpByrBtsB+tBzpBRwB,v115@vhH//IUbBKpBdqBWrBToBWyBRwB,v115@vhHT1IZkBtpBmlBfsB0nB6tBWwB,v115@vhH/BJcjBOpByrBtsB+tBzpBRwB,v115@vhH//IchBKpBdqBWrBToBWyBRwB,v115@vhH6+IZjBXiB9sB+tBTpB2vB0rB,v115@vhHK6IcjB/lBOpBtsB+tBzpBRwB,v115@vhH++I/fBcnBKpBdqBToBWyBRwB,v115@vhHT5I5oBOpB8pBCmBXnBdtB2wB,v115@vhHT5I5oBikBGmBOsBdtB3pBUrB,v115@vhHT5I5oBOpB8pBfrB6rBOsBdtB,v115@vhHO6I3dBcjBTkBtsB+tByuBRwB,v115@vhHX5IcjBOpByrBtsB+tBzpBRwB,v115@vhH01I/fBKpBdqBWrBToBWyBRwB,v115@vhHu6I8kB6oBznB2uBlqB3rBxxB,v115@vhHT1IcjB/kBalBtsB+tB2uBRwB,v115@vhHT5I/fBGjBKpBdqBUoBWyBRwB,v115@vhHO6IfgBcjBTkBtsB+tByuBRwB,v115@vhHOEJzgB+pBKqBUnB/tBFrBRxB,v115@vhHT/IulBypBlmB3nBctB2wBxuB,v115@vhH8EJWmB6oBznB2uBlqB3rBxxB,v115@vhHz/IOoBKpBUmB/sB+tBFqBRwB,v115@vhH3/I6oBllBRnBTpB2vBmrBUtB,v115@vhHO6IXZBcjBTkBtsB+tByuBRwB,v115@vhHT/I8lBWnB+tBipBlrB3sBRvB,v115@vhHz/I8lBWnB+tBipBlrB3sBRvB,v115@vhHi1I+eBcfBdlB+tBTpB3qBRsB,v115@vhHu7ITfB8lB+tBipBlrB3sBRvB,v115@vhHu7IzfB8lB+tBipBlrB3sBRvB,v115@vhHK6IXZBcjBOpBtsB+tBzpBRwB,v115@vhH01I+eB/fBKpBdqBToBWyBRwB,v115@vhH+7IXhBKoB9rBTnB2uB0qBxxB,v115@vhHK6I3dBcjBOpBtsB+tBzpBRwB,v115@vhH++I/fBUbBKpBdqBToBWyBRwB,v115@vhHT1I3dBcjBifBtsB+tB2uBRwB,v115@vhHx7IfnBKpBdrBznB+tBUqBWxB,v115@vhHx8I8lBmkBtrB+tBTpByvB3sB,v115@vhHx8IylB0kBtrB+tB2uBzqB3sB,v115@vhHT1IXZBcjBifBtsB+tB2uBRwB,v115@vhHK6IOpBTlBNrBUnB/tBWvBRxB,v115@vhHO6I+fBKqBUnB/tBTpBFrBRxB,v115@vhHT1IOkB+pBKqBUnB/tBFrBRxB,v115@vhHO+I+jBKpBUmB/sBFqBTtBRwB,v115@vhHT5IOoBKpBUmB/sB+tBFqBRwB,v115@vhHT1I/kBalBtqB0mB+tB2uBxwB,v115@vhH++IWoBKpBUmB/sBFqBTtBRwB,v115@vhH/6I2kB8lBStBTpB2vBlrBxxB,v115@vhHZ6IqfB8lB+tBTpB2vBlrB3sB,v115@vhHu9IejBKpBUmB/sBFqBTtBRwB,v115@vhHu6I8kBzmBftB6tB2uBlqBxwB,v115@vhHq6IUhB+oBzkBtqB2uB3rBxxB,v115@vhHe+IZkB3hBdsBznBWvBUrBSyB,v115@vhH01ITZB/fB+oBKpBdqBWyBRwB,v115@vhHO/IUhB5oBzkBtqB2uB3rByxB,v115@vhHWAJ8mB3kBzlB+tByuBlsBRwB,v115@vhHeCJ8kBziBStB2uBlqB3rBxxB,v115@vhH2CJ8kBzmBftB6tB2uBlqBxwB,v115@vhH38I0fBtlB2pBasBTrBGtBxuB,v115@vhHU8IymBTjBtqBWtB2uB3rBxxB,v115@vhHi1IcfBdlB5oB+rBTpB3qBmsB,v115@vhHq7IxcBcqBerBtrB+tBTpB3sB,v115@vhHG5I/jBZkBtnBKrBGqBUsBTtB,v115@vhHX5IcjBifBzkBtsB+tB2uBRwB,v115@vhH01I/fBziB+oBKpBdqBWyBRwB,v115@vhHX5IcjBmfBTkBtsB+tByuBRwB,v115@vhH37IWlBTjBKpBdrBUqBGtBRxB,v115@vhHeGJ8mBziB3kB+tByuBlsBRwB,v115@vhHX5IKfBcjBOqBtsB+tBTpBRwB,v115@vhH8EJzgBZnB+rBXoB2uBlqBSyB,v115@vhHu6IzkBtqB0mBftB6tB2uBxwB,v115@vhHe+IWlBKpBTnB/tBUqBFrBRxB,v115@vhHe+IckBXlBesBznBFrBSyBxuB,v115@vhHq6I/oBGlB0nBTpB2vBlrBxxB,v115@vhHT1IdgB/kBRmB+sB6tB2uB0qB,v115@vhHq7IcjB/lBOpBtsB+tBzpBRwB,v115@vhHe9I/fBcnBKpBdqBToBWyBRwB,v115@vhHeAJaoBcqB3mB9sB+tBTpBRwB,v115@vhHq7IcjB/kBTlBtsB+tB2uBRwB,v115@vhHi3IzcBUhB+oBtqB2uB3rBxxB,v115@vhHT3IedBUhB5oBtqB2uB3rByxB,v115@vhHG3IzbBZkB3hBdsBWvBUrBSyB,v115@vhH+DJ0fBfmBKpBFqBGsBTtBRwB,v115@vhH26IZkB8nBtpB+rBKsB3qBTtB,v115@vhH8CJ+jBfmBKpBFqBGsBTtBRwB,v115@vhH++I8kBzmBftB6tB2uBlqBxwB,v115@vhH01I/fB+jBKpBdqBGsBTtBRwB,v115@vhH28IamBcpBTlBtrB+tB3sBRvB,v115@vhH+DJanBcpB3lB9rB+sBTtBRvB,v115@vhHi1IcfBGeBdlB+tBTpB3qBRsB,v115@vhHKDJThBmkBtqB0nB2uB3rBxxB,v115@vhHKDJThBmkBtqBXnB2uBUtBxwB,v115@vhH+/IaoBcqB3mB9sB+tBTpBRwB,v115@vhHK/IOoBcqB3mB9sB+tBTpBRwB,v115@vhH/DJZkBCgBtnB2qBWvBUsBTtB,v115@vhH26IZkB8mBtpBusB3qBywBTtB,v115@vhHS+IfmB5oBzkBdtB2uBWwBUsB,v115@vhHe+IOpB8pBXmBdsBznBSyBxvB,v115@vhHK6IXZBcjBTkBtsB+tB2wBxuB,v115@vhHX5IcjBZkBzkBtsB+tBSvB2wB,v115@vhHX5IcjB2kBtsB+tBTpBiqBRwB,v115@vhHT5I2mB8nB5oBtqB2uB3rByxB,v115@vhHT2I/kBalBtqB0mB+tB2uBxwB,v115@vhHX5IcjBTfBypBtsB+tB2wBxuB,v115@vhHG+I/kBNnBUjB2uBxqBSxBTtB,v115@vhHx3I3cBdnBcqBerBStBTpBWxB,v115@vhHS8IfnB8nB2pBdrBWxBTtBxuB,v115@vhH/6I2kB8lB5oB9rBTpB2vByxB,v115@vhH28I8kBZmBKpBtrB+tBTqB3sB,v115@vhH2CJ5oBOpBXlBlmBatBUrBTsB,v115@vhH/CJTjBxkBlmBipBUrB2xBGtB,v115@vhH/CJOoBxkBlmB+tBipBUrBTsB,v115@vhHO6I+jBKpBUmB/sBFqBTtBRwB,v115@vhH++I8fBZkB9lB+tBzpBXrBisB,v115@vhHi3IUhB+oBzkBtqB2uB3rBxxB,v115@vhHG3IZkB3hBdsBznBWvBUrBSyB,v115@vhHO6IejBKpBUmB/sBFqBTtBRwB,v115@vhH/6I2kB8mB+tBTpBiqBlsBRwB,v115@vhH/6IZkB8mBzkB+tBSvB2wBlsB,v115@vhH8EJzgB5oB+rB3nB2uBlqByxB,v115@vhH++IzfB8lB+tBipBlrB3sBRvB,v115@vhHX5I+jBikBRmB9sBGqB0rBTtB,v115@vhHu6I8kBzgBStB2uBlqB3rBxxB,v115@vhHu6IXgB8lBStBTpB2vBlrBxxB,v115@vhHu6IKlBzgBcpB+tBlrB3sBRvB,v115@vhHO7I+fBKqBUnB/tBTpBFrBRxB,v115@vhHG5IdoB5oBikBuqB3mBzpB0sB,v115@vhHi1IZkBtkBUmBGnBToBXqB2xB,v115@vhH++I8kB6nBToB2uBlqB3rBxxB,v115@vhH++ITfB8lB+tBipBlrB3sBRvB,v115@vhH6+IejBcqB3mB+tBTpBlsBRwB,v115@vhH+/I8mBXjB+tBTpBiqBlsBRwB,v115@vhH5/I8mBXjBKpB+tBTqB2wBlsB,v115@vhH+DJ8lBXiB+sBipBlrBTtBRvB,v115@vhH5DJ8lBXiB+sBKtBTpB2vBlrB,v115@vhHuCJfnBTjBKpBUqBFrBGtBRxB,v115@vhHz6I2kB8lB+tBipBlrB3sBRvB,v115@vhHU+IfnBWoB2pBFrBSxBTtBxuB,v115@vhHz9IWnB5oBKpBetBUqBFrBXsB,v115@vhHz9IWnBcoB2pBFrBXsBSyBxuB,v115@vhHZEJ8mBziBqpB/qB+tB2wBlsB,v115@vhH+AJ/kB0mBCoB2uBlqBTtBxwB,v115@vhHT8I/kB8mByqB+tB2uBlsBRwB,v115@vhHS+I8kBTjBWtB2uBlqB3rBxxB,v115@vhH5+IajB8kB+sB2uBlqB3rBTtB,v115@vhH26IOkBfoBzkBUrBFsBSyBxuB,v115@vhH5+I/kBylB+sB2uB0qBlrBTtB,v115@vhHZ6I/lBymB+tBTpB2vB0rBlsB
comments,J-s-01,J-s-01M,J-01,J-s-02,J-s-02M,J-s-03,J-s-04,J-s-04M,J-02,J-02,J-02,J-s-05,J-s-06,J-s-06M,J-03,J-s-07,J-s-07M,J-s-07,J-04,J-05,J-06,J-07,J-08,J-s-08,J-09,J-10,J-s-09,J-11,J-12,J-s-10,J-s-10M,J-s-11,J-s-12,J-s-12M,J-s-13,J-13,J-13M,J-13M,J-s-14,J-s-15,J-14,J-14,J-15,J-15,J-s-16,J-16,J-17,J-17,J-18,J-19,J-s-17,J-s-17M,J-s-18,J-s-19,J-20,J-21,J-21,J-s-20,J-s-21,J-s-22,J-22,J-s-23,J-s-24,J-s-24M,J-s-24,J-s-25,J-23,J-s-26,J-24,J-s-27,J-25,J-25,J-25M,J-s-28,J-s-29,J-s-29M,J-s-30,J-s-31,J-s-32,J-s-32,J-s-32M,J-26,J-27,J-28,J-29,J-s-33,J-30,J-s-34,J-s-35,J-s-36,J-s-36,J-s-37,J-s-38,J-s-39,J-31,J-31M,J-s-40,J-s-41,J-s-42,J-s-42,J-s-43,J-s-44,J-s-45,J-s-46,J-s-47,J-32,J-s-48,J-33,J-34,J-34,J-34,J-35,J-s-49,J-s-50,J-s-50M,J-36,J-37,J-37,J-38,J-39,J-40,J-41,J-41,J-41,J-42,J-43,J-43M,J-44,J-45,J-46,J-47,J-47,J-48,J-48,J-49,J-49M,J-49,J-49,J-49,J-50,J-51,J-52,J-53,J-53,J-53M,J-54,J-55
score,5271.666666666667,5271.666666666667,5161.8849206349205,5131.507936507936,5131.507936507936,5111.289682539683,5108.9484126984125,5108.9484126984125,5102.400793650793,5102.400793650793,5102.400793650793,5057.142857142857,5002.619047619048,5002.619047619048,4983.392857142857,4974.861111111111,4974.861111111111,4974.861111111111,4974.087301587301,4974.087301587301,4965.873015873016,4964.523809523809,4964.523809523809,4957.480158730159,4952.460317460317,4947.380952380952,4942.023809523809,4931.091269841269,4931.091269841269,4929.940476190476,4929.940476190476,4925.119047619048,4906.111111111111,4906.111111111111,4905.376984126984,4894.523809523809,4894.523809523809,4894.523809523809,4890.416666666667,4883.234126984127,4845.337301587301,4845.337301587301,4845.337301587301,4845.337301587301,4839.563492063492,4825.079365079365,4810.992063492064,4810.992063492064,4808.630952380952,4808.1349206349205,4795.376984126984,4795.376984126984,4790.257936507936,4782.896825396825,4780.238095238095,4771.686507936508,4771.686507936508,4763.710317460317,4763.710317460317,4757.678571428572,4751.825396825398,4750.6349206349205,4748.611111111111,4748.611111111111,4748.611111111111,4738.948412698413,4734.3452380952385,4731.646825396825,4728.908730158731,4707.083333333333,4706.09126984127,4706.09126984127,4706.09126984127,4705.0,4697.678571428572,4697.678571428572,4689.880952380952,4688.075396825397,4687.559523809524,4687.559523809524,4687.559523809524,4671.805555555556,4670.93253968254,4668.710317460317,4661.0317460317465,4655.099206349207,4654.603174603175,4653.214285714285,4650.5952380952385,4648.9682539682535,4648.9682539682535,4648.9682539682535,4646.507936507936,4645.396825396825,4638.888888888889,4638.888888888889,4633.174603174603,4631.9047619047615,4630.416666666667,4630.416666666667,4628.234126984127,4626.111111111111,4625.376984126984,4615.436507936508,4615.337301587301,4611.210317460317,4602.936507936508,4600.972222222223,4597.956349206349,4597.956349206349,4597.956349206349,4590.31746031746,4589.146825396825,4586.726190476191,4586.726190476191,4574.444444444444,4568.253968253968,4568.253968253968,4563.9682539682535,4563.809523809524,4563.194444444444,4540.6547619047615,4540.6547619047615,4540.6547619047615,4540.1984126984125,4526.8849206349205,4526.8849206349205,4522.162698412699,4520.119047619048,4517.976190476191,4517.619047619048,4517.619047619048,4517.619047619048,4517.619047619048,4516.309523809524,4516.309523809524,4516.309523809524,4516.309523809524,4516.309523809524,4497.380952380952,4497.361111111111,4493.591269841269,4491.0515873015875,4491.0515873015875,4491.0515873015875,4485.694444444444,4471.25
TILJSZO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TILJSOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TILJOSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TILSJZO,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X
TILSJOZ,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TILSZJO,X,O,O,X,O,X,X,O,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
TILSZOJ,X,O,O,X,O,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,O,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
TILSOJZ,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TILSOZJ,X,O,O,X,O,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TILZSJO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,O,O,X,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,O,O,X,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TILOJSZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TILOSJZ,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TILOSZJ,X,O,O,X,O,X,X,O,O,X,O,X,X,O,O,X,X,O,X,X,O,X,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TILOZJS,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,O,O,X,X,O,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,O,O,X,X,O,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TIJLSZO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
