sequence,v115@vhETJJ2vBRrBSxBTtB,v115@vhETJJiqBGsBTtBRwB,v115@vhHT5IfnBTjBKpBUqBFrBGtBRxB,v115@vhHT1ITfB8lB+tBipBlrB3sBRvB,v115@vhHT1IOkBfoBzkBUrBFsBSyBxuB,v115@vhHT5I8kB6oBznB2uBlqB3rBxxB,v115@vhHc/I5oBFlB6rBTnBetBTpB3qB,v115@vhH/DJZkBqpBTlBOrBlnBUsBTtB,v115@vhHzAJfnBziBKpBUqBFrBGtBRxB,v115@vhHz/I8lBzhB+tBipBlrB3sBRvB,v115@vhHfGJ0hBziBKpBFqBGsBTtBRwB,v115@vhHz/IXhB8mB+tBTpBiqBlsBRwB,v115@vhHGBJziBKpBUmB/sBFqBTtBRwB,v115@vhHz/IihBcqB3mB+tBTpBlsBRwB,v115@vhHz4IfnBziBKpBUqBFrBGtBRxB,v115@vhHz1IzfB8lB+tBipBlrB3sBRvB,v115@vhH2/IKpBfqBllBcrBTnBToBxxB,v115@vhH2/IKpBfqBllBcrBxnBTsBTtB,v115@vhHSDJTkBTlB/rBFnB8sB+tBxuB,v115@vhHSDJxkB/rBFnB8sB+tBTpBTqB,v115@vhHT6IegBKpBUmB/sBFqBTtBRwB,v115@vhHqCJTeBcqB3mB+tBTpBlsBRwB,v115@vhHX5IcjBTfB+tBTpBiqBlsBRwB,v115@vhH01I/fBTjBKpBFqBGsBTtBRwB,v115@vhHT1I0fBfnB2pBFrBSxBTtBxuB,v115@vhHT5I8lBXjBStBTpB2vBlrBxxB,v115@vhHX5IcjBzfB+tBTpBiqBlsBRwB,v115@vhH01I/fBziBKpBFqBGsBTtBRwB,v115@vhH/CJcjBTfB+tBTpBiqBlsBRwB,v115@vhH//IcgBTjBKpBFqBGsBTtBRwB,v115@vhHT5IcoBmkBXmBTpBFsBSyBxvB,v115@vhHT1I/kB0mBCoB2uBlqBTtBxwB,v115@vhHzAJfnBTjBKpBUqBFrBGtBRxB,v115@vhHT/I8lBzhB+tBipBlrB3sBRvB,v115@vhHfGJ0hBTjBKpBFqBGsBTtBRwB,v115@vhHT/IXhB8mB+tBTpBiqBlsBRwB,v115@vhHGBJTjBKpBUmB/sBFqBTtBRwB,v115@vhHT/IihBcqB3mB+tBTpBlsBRwB,v115@vhHT/IfnB0iBKqBTpBFrBGtBRxB,v115@vhHXAJ8lBTjB+sBipBlrBTtBRvB,v115@vhHT/IGiBKqBUnB/tBTpBFrBRxB,v115@vhHiAJTjBcpB3lB+sBlrBTtBRvB,v115@vhHOEJzhBfoBzkBUrBFsBSyBxuB,v115@vhH8EJzgB6oBznB2uBlqB3rBxxB,v115@vhHOEJfnB0iBzkBFrBSxBTtBxuB,v115@vhHXAJ8lB6oBznBTpB2vBlrBxxB,v115@vhHX+ITfB8lB5oBTpB2vBlrByxB,v115@vhH06IZkBfnBTjBWvBFrBSxBTtB,v115@vhH07ITfBZlBfoBTpBWwBFsBSyB,v115@vhHX9I8kB5nBTjB2uBlqBywBTtB,v115@vhH07IZkBzfBfoBzpBWwBFsBSyB,v115@vhHX9I8kBziB5oB2uBlqBywBzsB,v115@vhHX+IzfB8lB5oBTpB2vBlrByxB,v115@vhH06IZkBfnBziBWvBFrBSxBTtB,v115@vhH26ITfBKqBUnB/tBTpBFrBRxB,v115@vhHS+ITjBcpB3lB+sBlrBTtBRvB,v115@vhHT1I0fBfmBKpBFqBGsBTtBRwB,v115@vhHT5I8mBXjB+tBTpBiqBlsBRwB,v115@vhH0/IfmBziBKpBFqBGsBTtBRwB,v115@vhHz/I8mBXjB+tBTpBiqBlsBRwB,v115@vhHT+IWoBKpBUmB/sBFqBTtBRwB,v115@vhHT6IykBcqB3mB+tBTpBlsBRwB,v115@vhH02I/gBTfBKqBTpBFrBGtBRxB,v115@vhHX4IciBTjB+sBipBlrBTtBRvB,v115@vhHX4IciB6oBznBTpB2vBlrBxxB,v115@vhH02I/gBOkBzkBFrBSxBTtBxuB,v115@vhHcBJ5lBTkBeqBFnB6tBTrB3sB,v115@vhH/BJZnBOpBllBqsBToBUqBTrB,v115@vhHG5I/jBxkB0mBlnBTpBiqBTtB,v115@vhHi1IcfBFlBXmBxnBTpBGsBTtB,v115@vhH/AJchBTfBKqBTpBFrBGtBRxB,v115@vhH/BJciBTjB+sBipBlrBTtBRvB,v115@vhH/BJciB6oBznBTpB2vBlrBxxB,v115@vhH/AJchBOkBzkBFrBSxBTtBxuB,v115@vhHfDJ2kBUmBFnBStBTpBTqBRxB,v115@vhH8/ISoB2pBllB3mBTsBTtBRvB,v115@vhHi1IcfBTeBFlB+tBTpB3qBRsB,v115@vhHG5ITaB/jBKpBlnBRqBUsBTtB,v115@vhHT6IcoBmkBXmBTpBFsBSyBxvB,v115@vhHT+I/kB0mBCoB2uBlqBTtBxwB,v115@vhHi1IcfBFlBWsBTpB3qBTtBxwB,v115@vhHG5I/jByqBlnBTpBUsBTtBxvB,v115@vhHO6IzfBKpBUmB/sBFqBTtBRwB,v115@vhH6+IziBcqB3mB+tBTpBlsBRwB,v115@vhHi1IcfBTbBFlB+tBTpB3qBRsB,v115@vhHG5ITdB/jBKpBlnBRqBUsBTtB,v115@vhHG5I/jBxkB0mBlnBipBzqBTtB,v115@vhHi1IcfBFlBXmBxnBTpBzrBGtB,v115@vhHz8I5jB/pBUlBFmBTnBKtBWxB,v115@vhHZ/IzbB+pBTlBlmB3nBctByvB,v115@vhHX5IcjBTiBStBTpB2vBlrBxxB,v115@vhH01I/fBTgB2pBFrBSxBTtBxuB,v115@vhHT5IciBXjBStBTpB2vBlrBxxB,v115@vhHT1I/gB0fB2pBFrBSxBTtBxuB,v115@vhHT5IfjB5oBikBUmBFnBGqBzsB,v115@vhHT1I8fBZkBllB3mBGoBzpBisB,v115@vhHf9IGeBUjBFnBTpBxqBSxBTtB,v115@vhH87IiaB3fBllBTpB2vBxrBTtB,v115@vhHcFJThBTkBesBqsB/tBFrBxuB,v115@vhHTBJ/nBcpBeqBqqBToBlrBxxB,v115@vhHcFJThBTkBmnBFrBXsBSyBxuB,v115@vhHTBJ/nBClBToB2uB0qBlrBxxB,v115@vhH8/IZkBllBasBGoBzpBXrBzsB,v115@vhHfDJ5oBikBuqBFnBzpB0rBzsB,v115@vhHWDJ/pBRlBFnB6tBTqB0rBzsB,v115@vhHy/IOpBllBRnBctBzpBXrBTsB,v115@vhHc/ISoBFlBWsBTpB3qBTtBxwB,v115@vhH/DJ2kByqBlnBTpBUsBTtBxvB,v115@vhHc/I5oBFlB+rBatBTpB3qBTsB,v115@vhH/DJZkBupBKrBlnBTqBUsBTtB,v115@vhHZ6IGZB/jBtnBTpBiqBUsBTtB,v115@vhHi1I5eBcfBdlBTpB3qBGsBTtB,v115@vhHT/IulBKqBNrBUnB/tBTpBRxB,v115@vhHaHJTjBcpB3lB9rB+sBTtBRvB,v115@vhHc+ITfB5oB2qBlnBTpB3rByxB,v115@vhH/6IZkBTjBFlBSsBWvBUrBTtB,v115@vhHT/IaoBcqB3mB9sB+tBTpBRwB,v115@vhHuEJTjBKpBNqBUmB/sBTtBRwB,v115@vhHG5IzdBcoBXmBTpBFsBSyBxvB,v115@vhHi1IzaB/kB0mB2uBlqBTtBxwB,v115@vhHz/IaoBcqB3mB9sB+tBTpBRwB,v115@vhHuEJziBKpBNqBUmB/sBTtBRwB,v115@vhH++IUhBFlBSsBToBTpB3qBxxB,v115@vhHK6I3hBTkB2qBlnBUsBTtBxuB,v115@vhHi1IcfBdlBWsBTpB3qBTtBxwB,v115@vhHG5I/jBtnByqBTpBUsBTtBxvB,v115@vhHi1IcfBTbBFlBXmB+tBTpBRsB,v115@vhHG5ITdB/jBKpB0mBlnBRqBTtB,v115@vhHT1I/bBifBUlBFmB+tBTpBRsB,v115@vhHc9ITZBGjBKpBlmB3nBRqBTtB,v115@vhHyEJXjBRmB+tBTpBTqB0rBlsB,v115@vhH0/IWoBKpBRmBFqBXrBTsBTtB,v115@vhHZ6IGZB/jBlnBTpBiqBUsBTtB,v115@vhHi1I5eBcfBFlBTpB3qBGsBTtB
JISOLZT,O,O,O,X,X,O,O,O,O,X,O,O,O,O,O,X,X,X,O,O,X,X,O,O,X,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,X,O,O,O,O,X,O,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,X,O,O,O,O,O,X,X,X,O,O,O,X,O
JISOZTL,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O,X,O,O,O,X,O,O,X,X,X,O,O,X,X,O,X,O,O,X,O,O,X,X,X,X,O,O,X,O,O,O,O,X,X,O,X,X,O,X,X,O,O,X,X,X,O,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X,O,O,X,O,X,O,O,O,O,X,X,O,O,X,O,O,O,O,O,X,X,X,O,X,X,O
JISOZLT,X,X,O,X,X,O,O,O,X,X,O,O,O,O,O,X,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,O,X,O,X,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,X,O,O,X,X,O,X,X,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,X,O
JIZTLSO,X,X,X,X,X,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X,O,X,X,O,X,X,O,O,O,X,O,O,O,X,X,O,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X
JIZTLOS,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,O,X,O,O,X,O,O,X,X,X,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JIZTSLO,X,X,X,X,X,O,O,O,X,X,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O,O,O,O,O,X,O,O,X,O,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X
JIZTSOL,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O,X,O,O,O,X,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,O,X,O,O,X,X,O,O,X,X,O,O,X,O,X,X,X,O,X,X,X
JIZTOLS,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X,O,O,O,O,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JIZTOSL,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X,X,X,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X,O,X,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X
JIZLTSO,X,X,O,O,X,O,O,O,O,O,O,O,O,X,O,O,X,X,O,X,X,X,O,X,O,O,O,X,O,X,O,O,O,O,O,O,O,X,O,O,O,X,X,O,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X,O,X,O,O,O,X,O,O,O,X,X,X,X,O,O,X,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,O,O,O,O,X,X
JIZLTOS,X,X,O,O,X,O,O,O,X,X,O,O,X,X,O,O,X,X,O,O,X,X,O,X,O,O,O,X,O,X,O,X,X,X,O,O,O,X,O,O,O,X,X,X,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,O,X,O,O,X,O,O,X,X,X,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X
JIZLSTO,X,X,O,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,O,O,X,X,X,X,O,X,O,O,O,O,O,O,O,X,X,X,X,O,O,O,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,O,O,O,O,X,X
JIZLSOT,X,X,O,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,X,O,O,O,O,X,O,O,O,O,X,O
JIZLOTS,O,O,O,O,X,O,O,O,X,X,O,O,X,X,O,O,X,X,O,O,X,X,O,X,O,O,O,X,O,X,O,X,X,X,O,O,O,X,O,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,O,O,X,O,O,X,O,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,O,O,X,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,O,O,X,O
JIZLOST,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,X,O,X,O,O,O,X,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X,O,O,O,O,O,O
JIZSTLO,X,X,X,X,X,O,O,O,X,X,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O,O,O,O,O,X,O,O,X,O,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X
JIZSTOL,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O,X,O,O,O,X,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,O,O,O,O,X,X,O,O,X,X,O,O,O,O,X,X,X,O,X,X,X
JIZSLTO,X,X,O,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,O,X,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X,O,X,O,O,O,O,O,O,O,X,X,X,X,O,X,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,O,O,O,O,X,X
JIZSLOT,X,X,O,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,O,X,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,X,X,O,O,O,O,X,O,O,X,O,O,X,O,X,O,O,X,X,O,O,X,O,O,O,O,O,O,O,X,X,O,X,O,X,O,X,O,O,X,X,O,O,O,X,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,X,O,O,O,O,X,O,O,O,O,X,O
JIZSOTL,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O,X,O,O,O,X,O,O,X,X,X,O,O,X,X,O,X,O,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O,X,X,O,X,X,O,X,X,O,O,X,X,X,O,O,X,O,O,X,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O,O,X,O,O,X,O,O,X,O,X,O,O,O,O,X,X,O,O,X,X,O,O,O,O,X,X,X,O,X,X,O
JIZSOLT,X,X,O,X,X,O,O,O,X,X,O,O,O,O,O,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,O,X,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,X,X,O,O,O,O,X,O,O,X,O,O,X,O,X,O,O,X,X,O,O,X,O,O,O,O,X,O,O,X,X,O,X,X,X,O,X,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,X,O,O,O,O,X,X,O,O,X,X,O
JIZOTLS,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JIZOTSL,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X,X,X,O,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,O,O,X,O,O,X,O,X,O,X,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X,O
JIZOLTS,O,O,O,X,X,O,O,O,X,X,O,O,X,X,O,X,X,X,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,O,O,X,O,O,X,O,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X,O,O,X,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X,X,O
JIZOLST,O,O,O,X,X,O,O,O,X,X,O,O,O,O,O,X,X,X,O,O,X,X,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,X,O,X,X,X,O,X,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X,O,O,O,X,O,O
JIZOSTL,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O,X,O,O,O,X,O,O,X,X,X,O,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X,O,X,O,O,O,O,X,X,O,X,X,O,X,X,O,O,X,X,X,O,O,X,O,O,X,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O,O,X,O,O,X,O,O,O,O,X,O,O,O,O,X,X,O,O,X,X,O,O,O,O,X,X,X,O,X,O,O
JIZOSLT,X,X,O,X,X,O,O,O,X,X,O,O,O,O,O,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,O,X,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,O,X,O,O,O,O,O,X,O,X,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,X,O,X,X,X,O,X,O,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,O,O,O,O,X,X,O,O,X,O,O
JIOTLSZ,O,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X
JIOTLZS,O,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X
JIOTSLZ,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O,X,X,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X
JIOTSZL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X,X,O,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O
JIOTZLS,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JIOTZSL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JIOLTSZ,O,O,O,X,X,O,O,O,X,X,O,O,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,O,X,X,O,O,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O,O,X,X
JIOLTZS,O,O,O,X,X,O,O,O,X,X,O,O,X,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O,O,X,X
JIOLSTZ,O,O,O,X,X,O,O,O,X,X,O,O,X,X,O,X,X,O,O,O,X,X,X,O,O,O,X,O,X,O,X,O,X,X,O,O,X,O,O,O,X,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,O,O,X,O,X,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X,O,X,X,X,X,O,O,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X,O,O,O,O,O,X
